CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.57066040E+04,   0.51835961E+04,   0.62676549E+04,   0.24560487E+03,   0.27661701E+03
1986,   0.56207857E+04,   0.51579849E+04,   0.61136064E+04,   0.20879205E+03,   0.24383136E+03
1987,   0.71446999E+04,   0.66474512E+04,   0.76689398E+04,   0.21707771E+03,   0.26062188E+03
1988,   0.56553027E+04,   0.52697434E+04,   0.60613407E+04,   0.15456438E+03,   0.20196638E+03
1989,   0.81064202E+04,   0.76051343E+04,   0.86317369E+04,   0.20693205E+03,   0.26191842E+03
1990,   0.88486767E+04,   0.83569716E+04,   0.93614605E+04,   0.19953724E+03,   0.25627076E+03
1991,   0.64233746E+04,   0.60648868E+04,   0.67973001E+04,   0.14006214E+03,   0.18685748E+03
1992,   0.86466700E+04,   0.81180987E+04,   0.92002761E+04,   0.20571092E+03,   0.27609654E+03
1993,   0.13509606E+05,   0.12438455E+05,   0.14647503E+05,   0.47589493E+03,   0.56364056E+03
1994,   0.10621745E+05,   0.99491675E+04,   0.11327377E+05,   0.28511077E+03,   0.35162622E+03
1995,   0.63819651E+04,   0.60240165E+04,   0.67554082E+04,   0.13439256E+03,   0.18659703E+03
1996,   0.18920509E+05,   0.17536715E+05,   0.20383458E+05,   0.63833453E+03,   0.72632735E+03
1997,   0.58617896E+04,   0.55568916E+04,   0.61788886E+04,   0.11989683E+03,   0.15868547E+03
1998,   0.10700757E+05,   0.99434931E+04,   0.11499856E+05,   0.32459366E+03,   0.39709146E+03
1999,   0.55553418E+04,   0.52672670E+04,   0.58549077E+04,   0.10786034E+03,   0.14992032E+03
2000,   0.69949464E+04,   0.66031263E+04,   0.74037041E+04,   0.15225871E+03,   0.20424815E+03
2001,   0.40780150E+04,   0.38364028E+04,   0.43307020E+04,   0.97103237E+02,   0.12610998E+03
2002,   0.39395917E+04,   0.36639603E+04,   0.42302681E+04,   0.11571806E+03,   0.14448761E+03
2003,   0.13762565E+05,   0.12607960E+05,   0.14993575E+05,   0.56019749E+03,   0.60870591E+03
2004,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00
