YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.46148798E+04,   0.40529508E+04,   0.52324537E+04,   0.22128355E+03,   0.30103438E+03
1985, 2,   0.14118944E+05,   0.11453440E+05,   0.17217577E+05,   0.86469718E+03,   0.14722066E+04
1985, 3,   0.66458242E+04,   0.57975484E+04,   0.75825806E+04,   0.30729753E+03,   0.45560073E+03
1985, 4,   0.54857472E+04,   0.47834239E+04,   0.62615726E+04,   0.25032382E+03,   0.37727490E+03
1985, 5,   0.43950770E+04,   0.38506524E+04,   0.49944411E+04,   0.19793131E+03,   0.29192437E+03
1985, 6,   0.21071457E+04,   0.18615458E+04,   0.23759268E+04,   0.93983005E+02,   0.13127564E+03
1985, 7,   0.26077639E+04,   0.21921500E+04,   0.30789643E+04,   0.11912224E+03,   0.22641596E+03
1985, 8,   0.17657425E+04,   0.15545447E+04,   0.19974476E+04,   0.76855114E+02,   0.11303635E+03
1985, 9,   0.14449928E+04,   0.12552462E+04,   0.16551625E+04,   0.61703714E+02,   0.10207546E+03
1985,10,   0.19555273E+04,   0.17312494E+04,   0.22006032E+04,   0.82613612E+02,   0.11978249E+03
1985,11,   0.13784183E+05,   0.11926572E+05,   0.15847579E+05,   0.68120952E+03,   0.10008370E+04
1985,12,   0.10367378E+05,   0.91158980E+04,   0.11741609E+05,   0.45453307E+03,   0.67013194E+03
1986, 1,   0.37742699E+04,   0.33485824E+04,   0.42387178E+04,   0.15665729E+03,   0.22716577E+03
1986, 2,   0.16045098E+05,   0.13972607E+05,   0.18336623E+05,   0.71277618E+03,   0.11138592E+04
1986, 3,   0.12645258E+05,   0.10960714E+05,   0.14514032E+05,   0.54346257E+03,   0.90697159E+03
1986, 4,   0.73493935E+04,   0.64574137E+04,   0.83293851E+04,   0.28696574E+03,   0.47776562E+03
1986, 5,   0.30957465E+04,   0.27585406E+04,   0.34625120E+04,   0.12031512E+03,   0.17965102E+03
1986, 6,   0.17883329E+04,   0.15867315E+04,   0.20082810E+04,   0.68573395E+02,   0.10758093E+03
1986, 7,   0.11343414E+04,   0.10009714E+04,   0.12804203E+04,   0.43181917E+02,   0.71318976E+02
1986, 8,   0.10794967E+04,   0.96560784E+03,   0.12030286E+04,   0.40783454E+02,   0.60587481E+02
