CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.37508392E+03,   0.27962981E+03,   0.49272417E+03,   0.38554918E+02,   0.54487955E+02
1986,   0.33235585E+03,   0.26549866E+03,   0.41091551E+03,   0.27940704E+02,   0.37147295E+02
1987,   0.44099315E+03,   0.33256593E+03,   0.57357435E+03,   0.35730897E+02,   0.61614669E+02
1988,   0.38190366E+03,   0.28410378E+03,   0.50261181E+03,   0.31025430E+02,   0.55874109E+02
1989,   0.55051960E+03,   0.44223169E+03,   0.67726881E+03,   0.41185189E+02,   0.60037146E+02
1990,   0.50020329E+03,   0.41770405E+03,   0.59417525E+03,   0.29794857E+02,   0.45058404E+02
1991,   0.30458540E+03,   0.26442083E+03,   0.34909324E+03,   0.14394373E+02,   0.21612067E+02
1992,   0.54593064E+03,   0.43338021E+03,   0.67876100E+03,   0.39815448E+02,   0.62688286E+02
1993,   0.10849230E+04,   0.81219745E+03,   0.14200817E+04,   0.12200992E+03,   0.15542516E+03
1994,   0.57883297E+03,   0.48691988E+03,   0.68298784E+03,   0.38219437E+02,   0.50058535E+02
1995,   0.32168998E+03,   0.27264981E+03,   0.37696717E+03,   0.16111035E+02,   0.26631652E+02
1996,   0.16738012E+04,   0.12399860E+04,   0.22107579E+04,   0.19629416E+03,   0.24824993E+03
1997,   0.25763927E+03,   0.22460255E+03,   0.29413949E+03,   0.10745397E+02,   0.17748273E+02
1998,   0.65371958E+03,   0.52472747E+03,   0.80478396E+03,   0.53635524E+02,   0.71537407E+02
1999,   0.27478914E+03,   0.23683726E+03,   0.31706177E+03,   0.12344235E+02,   0.20477941E+02
2000,   0.36815684E+03,   0.30699500E+03,   0.43789473E+03,   0.20284088E+02,   0.33423109E+02
2001,   0.18864690E+03,   0.16342478E+03,   0.21663861E+03,   0.93862963E+01,   0.13582699E+02
2002,   0.21166357E+03,   0.17877592E+03,   0.24882493E+03,   0.13552783E+02,   0.17883693E+02
2003,   0.10561482E+04,   0.80851353E+03,   0.13558408E+04,   0.11678960E+03,   0.13989539E+03
2004,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00
