YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.77640560E+04,   0.37775679E+04,   0.14231294E+05,   0.14465991E+04,   0.27040437E+04
1985, 2,   0.56542682E+06,   0.79103195E+05,   0.20347698E+07,   0.27918095E+06,   0.56153853E+06
1985, 3,   0.34227391E+05,   0.12928161E+05,   0.74271584E+05,   0.64700930E+04,   0.16056973E+05
1985, 4,   0.27075795E+05,   0.10815389E+05,   0.56695316E+05,   0.48702228E+04,   0.11973649E+05
1985, 5,   0.29762375E+05,   0.13580588E+05,   0.57043210E+05,   0.52367783E+04,   0.11271971E+05
1985, 6,   0.94584107E+04,   0.52219124E+04,   0.15816102E+05,   0.16480704E+04,   0.27281677E+04
1985, 7,   0.56996386E+05,   0.11349758E+05,   0.17564536E+06,   0.12652529E+05,   0.45223815E+05
1985, 8,   0.10490723E+05,   0.50091111E+04,   0.19484971E+05,   0.18136726E+04,   0.37472293E+04
1985, 9,   0.66102136E+04,   0.23340908E+04,   0.14955562E+05,   0.11216728E+04,   0.33165202E+04
1985,10,   0.52735492E+04,   0.28983426E+04,   0.88481430E+04,   0.87280770E+03,   0.15323864E+04
1985,11,   0.21406684E+06,   0.84121090E+05,   0.45298441E+06,   0.51098358E+05,   0.96346905E+05
1985,12,   0.64797486E+05,   0.27413111E+05,   0.13068409E+06,   0.12294241E+05,   0.26875002E+05
1986, 1,   0.49829815E+04,   0.26833389E+04,   0.84882860E+04,   0.81126938E+03,   0.14960721E+04
1986, 2,   0.16233427E+06,   0.62459170E+05,   0.34816858E+06,   0.37898983E+05,   0.74710854E+05
1986, 3,   0.20076941E+06,   0.40968819E+05,   0.61153840E+06,   0.62776789E+05,   0.15665917E+06
1986, 4,   0.63020048E+05,   0.25332064E+05,   0.13142564E+06,   0.10735302E+05,   0.27679186E+05
1986, 5,   0.12787838E+05,   0.67257067E+04,   0.22164661E+05,   0.19334134E+04,   0.39821570E+04
1986, 6,   0.79243865E+04,   0.40554949E+04,   0.14010385E+05,   0.11835659E+04,   0.25701305E+04
1986, 7,   0.57047726E+04,   0.25521345E+04,   0.11082339E+05,   0.83419121E+03,   0.22142003E+04
1986, 8,   0.41915966E+04,   0.25059515E+04,   0.65964604E+04,   0.61889529E+03,   0.10508978E+04
1986, 9,   0.31014349E+04,   0.18756379E+04,   0.48373527E+04,   0.46265950E+03,   0.76066177E+03
