CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.35586540E+05,   0.31826784E+05,   0.39665125E+05,   0.13167384E+04,   0.20002710E+04
1986,   0.25781414E+05,   0.23184587E+05,   0.28587352E+05,   0.83934531E+03,   0.13786894E+04
1987,   0.38512309E+05,   0.35260126E+05,   0.41981210E+05,   0.10267594E+04,   0.17149355E+04
1988,   0.28350042E+05,   0.25765542E+05,   0.31121466E+05,   0.67048049E+03,   0.13666560E+04
1989,   0.44083111E+05,   0.40871328E+05,   0.47477868E+05,   0.93109107E+03,   0.16856124E+04
1990,   0.45839750E+05,   0.42419551E+05,   0.49459765E+05,   0.96463886E+03,   0.17962760E+04
1991,   0.39982948E+05,   0.36261447E+05,   0.43979678E+05,   0.92236833E+03,   0.19694613E+04
1992,   0.42544060E+05,   0.39187151E+05,   0.46109072E+05,   0.87283091E+03,   0.17661304E+04
1993,   0.68801811E+05,   0.62708063E+05,   0.75322863E+05,   0.17154723E+04,   0.32188350E+04
1994,   0.68962990E+05,   0.63049249E+05,   0.75277324E+05,   0.16877923E+04,   0.31201082E+04
1995,   0.42143660E+05,   0.38840234E+05,   0.45650442E+05,   0.85765636E+03,   0.17376221E+04
1996,   0.12130916E+06,   0.11266031E+06,   0.13043957E+06,   0.27814889E+04,   0.45362198E+04
1997,   0.44446342E+05,   0.40962660E+05,   0.48144461E+05,   0.87570097E+03,   0.18324342E+04
1998,   0.71101246E+05,   0.64905405E+05,   0.77724058E+05,   0.17274628E+04,   0.32708245E+04
1999,   0.24649343E+05,   0.22715138E+05,   0.26702752E+05,   0.48870030E+03,   0.10174386E+04
2000,   0.26191207E+05,   0.24137779E+05,   0.28371071E+05,   0.55864812E+03,   0.10801231E+04
2001,   0.22065740E+05,   0.20146550E+05,   0.24116919E+05,   0.56323712E+03,   0.10130839E+04
2002,   0.21822898E+05,   0.19696214E+05,   0.24114834E+05,   0.69549849E+03,   0.11275296E+04
2003,   0.74480788E+05,   0.67573498E+05,   0.81896924E+05,   0.28869201E+04,   0.36549017E+04
2004,   0.43397469E+05,   0.38905154E+05,   0.48262391E+05,   0.19797024E+04,   0.23878442E+04
