YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.21727582E+02,   0.15864773E+02,   0.29056250E+02,   0.27235452E+01,   0.33741802E+01
1985, 2,   0.50317471E+02,   0.36318059E+02,   0.67954904E+02,   0.62980625E+01,   0.80938188E+01
1985, 3,   0.34363094E+02,   0.25371297E+02,   0.45518332E+02,   0.41168555E+01,   0.51523645E+01
1985, 4,   0.29360865E+02,   0.21751482E+02,   0.38779310E+02,   0.34733328E+01,   0.43544277E+01
1985, 5,   0.43442149E+02,   0.31405267E+02,   0.58590792E+02,   0.50795390E+01,   0.69548244E+01
1985, 6,   0.25458756E+02,   0.18976621E+02,   0.33448439E+02,   0.28721599E+01,   0.37004351E+01
1985, 7,   0.22576851E+02,   0.16831565E+02,   0.29657431E+02,   0.25220586E+01,   0.32795568E+01
1985, 8,   0.83132242E+02,   0.50856888E+02,   0.12850099E+03,   0.14937039E+02,   0.19935408E+02
1985, 9,   0.18311020E+02,   0.13608770E+02,   0.24118514E+02,   0.20894265E+01,   0.26874593E+01
1985,10,   0.13366658E+02,   0.10018223E+02,   0.17478352E+02,   0.14851247E+01,   0.19073878E+01
1985,11,   0.57393668E+03,   0.16265295E+03,   0.14757553E+04,   0.32199839E+03,   0.35019932E+03
1985,12,   0.52634671E+02,   0.36584099E+02,   0.73377120E+02,   0.69334205E+01,   0.94194558E+01
1986, 1,   0.17532666E+02,   0.13188266E+02,   0.22854138E+02,   0.19434253E+01,   0.24712101E+01
1986, 2,   0.25486981E+02,   0.19137595E+02,   0.33273833E+02,   0.27374219E+01,   0.36142171E+01
1986, 3,   0.36506508E+02,   0.27346517E+02,   0.47758659E+02,   0.37562183E+01,   0.52189711E+01
1986, 4,   0.27458588E+02,   0.20874567E+02,   0.35464966E+02,   0.28092941E+01,   0.37296425E+01
1986, 5,   0.21876668E+02,   0.16726179E+02,   0.28115306E+02,   0.21987965E+01,   0.29110827E+01
1986, 6,   0.15877133E+02,   0.12085407E+02,   0.20483980E+02,   0.16252283E+01,   0.21468290E+01
1986, 7,   0.14037221E+02,   0.10741599E+02,   0.18026759E+02,   0.14067410E+01,   0.18620780E+01
1986, 8,   0.13650417E+02,   0.10483830E+02,   0.17474114E+02,   0.13062948E+01,   0.17866155E+01
1986, 9,   0.11521565E+02,   0.88361169E+01,   0.14767493E+02,   0.11161735E+01,   0.15160046E+01
1986,10,   0.87597671E+01,   0.66579759E+01,   0.11315974E+02,   0.91402497E+00,   0.11906954E+01
1986,11,   0.86822637E+01,   0.65813812E+01,   0.11242082E+02,   0.90745454E+00,   0.11914332E+01
1986,12,   0.32774239E+02,   0.23656271E+02,   0.44261513E+02,   0.34416815E+01,   0.52715443E+01
1987, 1,   0.22792536E+02,   0.17328204E+02,   0.29437110E+02,   0.22128919E+01,   0.30953133E+01
1987, 2,   0.32936332E+02,   0.25195801E+02,   0.42308686E+02,   0.31122860E+01,   0.43740521E+01
1987, 3,   0.84748422E+02,   0.59945650E+02,   0.11642639E+03,   0.10201031E+02,   0.14454978E+02
1987, 4,   0.48224713E+03,   0.23258491E+03,   0.88942515E+03,   0.15484150E+03,   0.16996210E+03
1987, 5,   0.87102733E+02,   0.65897981E+02,   0.11297413E+03,   0.85877948E+01,   0.12034608E+02
1987, 6,   0.27791138E+02,   0.21668887E+02,   0.35107153E+02,   0.23357585E+01,   0.34339144E+01
1987, 7,   0.20654186E+02,   0.16216391E+02,   0.25931844E+02,   0.17015769E+01,   0.24823878E+01
1987, 8,   0.13562524E+02,   0.10632999E+02,   0.17049978E+02,   0.11390162E+01,   0.16396283E+01
1987, 9,   0.50580993E+02,   0.33031582E+02,   0.74220153E+02,   0.66141809E+01,   0.10558540E+02
1987,10,   0.11952941E+02,   0.93132344E+01,   0.15108888E+02,   0.10479502E+01,   0.14809920E+01
1987,11,   0.22415847E+02,   0.15235095E+02,   0.31835695E+02,   0.22483512E+01,   0.42518469E+01
