CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.79351166E+02,   0.42454466E+02,   0.13581975E+03,   0.14837783E+02,   0.24067638E+02
1986,   0.36816336E+02,   0.27040544E+02,   0.48987574E+02,   0.46215432E+01,   0.56131708E+01
1987,   0.79629872E+02,   0.57773162E+02,   0.10707006E+03,   0.93386513E+01,   0.12610761E+02
1988,   0.46708810E+02,   0.34794559E+02,   0.61400177E+02,   0.47069626E+01,   0.68031065E+01
1989,   0.65331177E+02,   0.50580996E+02,   0.83043645E+02,   0.67857198E+01,   0.82960547E+01
1990,   0.83770063E+02,   0.63352021E+02,   0.10868826E+03,   0.90104630E+01,   0.11589882E+02
1991,   0.76643264E+02,   0.56761595E+02,   0.10125701E+03,   0.81921696E+01,   0.11378612E+02
1992,   0.84331522E+02,   0.63559580E+02,   0.10974098E+03,   0.89897589E+01,   0.11806546E+02
1993,   0.14975949E+03,   0.10995753E+03,   0.19932569E+03,   0.17222845E+02,   0.22856921E+02
1994,   0.16955936E+03,   0.12602384E+03,   0.22332563E+03,   0.18980609E+02,   0.24881136E+02
1995,   0.11258217E+03,   0.85566526E+02,   0.14543950E+03,   0.11497148E+02,   0.15304967E+02
1996,   0.40849062E+03,   0.25428078E+03,   0.62282978E+03,   0.51901155E+02,   0.94584209E+02
1997,   0.13789619E+03,   0.10752422E+03,   0.17418894E+03,   0.12366394E+02,   0.17034993E+02
1998,   0.28055769E+03,   0.21470506E+03,   0.36027194E+03,   0.27069929E+02,   0.37206678E+02
1999,   0.12354005E+03,   0.98474202E+02,   0.15303800E+03,   0.10225216E+02,   0.13938899E+02
2000,   0.14048044E+03,   0.11370171E+03,   0.17165988E+03,   0.11488394E+02,   0.14803359E+02
2001,   0.22617938E+03,   0.17247409E+03,   0.29134917E+03,   0.22136758E+02,   0.30385855E+02
2002,   0.28621089E+03,   0.20584346E+03,   0.38770887E+03,   0.39179592E+02,   0.46530476E+02
2003,   0.10003797E+04,   0.67325364E+03,   0.14323308E+04,   0.17720462E+03,   0.19445915E+03
2004,   0.72892637E+03,   0.45645568E+03,   0.11061757E+04,   0.15645263E+03,   0.16671901E+03
