YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.50110016E+02,   0.28903171E+02,   0.81066757E+02,   0.91786243E+01,   0.13415015E+02
1985, 2,   0.12184742E+03,   0.63960088E+02,   0.21149508E+03,   0.22743880E+02,   0.38056145E+02
1985, 3,   0.52629389E+02,   0.31413190E+02,   0.82929743E+02,   0.87316422E+01,   0.13235775E+02
1985, 4,   0.32389851E+02,   0.19563025E+02,   0.50569703E+02,   0.51501278E+01,   0.79637670E+01
1985, 5,   0.40726740E+02,   0.24403697E+02,   0.63980530E+02,   0.64999697E+01,   0.10167108E+02
1985, 6,   0.55451608E+02,   0.28444757E+02,   0.97874353E+02,   0.93805975E+01,   0.17923673E+02
1985, 7,   0.17563186E+02,   0.10799531E+02,   0.27039282E+02,   0.27553773E+01,   0.41690629E+01
1985, 8,   0.17392207E+02,   0.10612520E+02,   0.26938116E+02,   0.27560507E+01,   0.41919382E+01
1985, 9,   0.14907437E+02,   0.89762406E+01,   0.23330572E+02,   0.24497826E+01,   0.36870763E+01
1985,10,   0.29665973E+02,   0.15806270E+02,   0.50932283E+02,   0.50707834E+01,   0.90560201E+01
1985,11,   0.45385051E+03,   0.14075684E+03,   0.11090044E+04,   0.11976592E+03,   0.25655242E+03
1985,12,   0.77508158E+02,   0.45366020E+02,   0.12399169E+03,   0.13653428E+02,   0.20211772E+02
1986, 1,   0.27641067E+02,   0.17120574E+02,   0.42311188E+02,   0.42306401E+01,   0.64657202E+01
1986, 2,   0.85431310E+02,   0.50351166E+02,   0.13593952E+03,   0.13029755E+02,   0.21997310E+02
1986, 3,   0.11193356E+03,   0.60091141E+02,   0.19110769E+03,   0.17235305E+02,   0.33769510E+02
1986, 4,   0.53974173E+02,   0.33682411E+02,   0.82132262E+02,   0.75270155E+01,   0.12433364E+02
1986, 5,   0.31775072E+02,   0.19857433E+02,   0.48297377E+02,   0.43119649E+01,   0.72980942E+01
1986, 6,   0.18097847E+02,   0.11267069E+02,   0.27591326E+02,   0.25280441E+01,   0.41894352E+01
1986, 7,   0.14656407E+02,   0.91462512E+01,   0.22302654E+02,   0.21117497E+01,   0.33762405E+01
1986, 8,   0.12261874E+02,   0.75719008E+01,   0.18814594E+02,   0.18827936E+01,   0.28859049E+01
1986, 9,   0.10745455E+02,   0.64748401E+01,   0.16807518E+02,   0.17920925E+01,   0.26540167E+01
