CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.23428209E+04,   0.19558069E+04,   0.27837517E+04,   0.16696579E+03,   0.21139984E+03
1986,   0.12520530E+04,   0.10967730E+04,   0.14230235E+04,   0.71736453E+02,   0.83267649E+02
1987,   0.28491583E+04,   0.25344577E+04,   0.31918676E+04,   0.14023281E+03,   0.16777052E+03
1988,   0.15947875E+04,   0.14287622E+04,   0.17746685E+04,   0.66396892E+02,   0.88271122E+02
1989,   0.22699223E+04,   0.20773033E+04,   0.24754439E+04,   0.81519569E+02,   0.10158882E+03
1990,   0.31037717E+04,   0.28340903E+04,   0.33919798E+04,   0.10747331E+03,   0.14235162E+03
1991,   0.28702813E+04,   0.25987978E+04,   0.31621925E+04,   0.98630724E+02,   0.14376275E+03
1992,   0.28760177E+04,   0.26333515E+04,   0.31348404E+04,   0.88423522E+02,   0.12795866E+03
1993,   0.50395307E+04,   0.45832395E+04,   0.55285822E+04,   0.17615488E+03,   0.24121952E+03
1994,   0.53012972E+04,   0.48305546E+04,   0.58051403E+04,   0.18165800E+03,   0.24867890E+03
1995,   0.29654996E+04,   0.27264905E+04,   0.32196636E+04,   0.83999724E+02,   0.12583434E+03
1996,   0.88156502E+04,   0.80208049E+04,   0.96673063E+04,   0.29715394E+03,   0.42013067E+03
1997,   0.30996833E+04,   0.28592738E+04,   0.33547270E+04,   0.82881973E+02,   0.12641421E+03
1998,   0.59413761E+04,   0.54291483E+04,   0.64885013E+04,   0.19177598E+03,   0.27030453E+03
1999,   0.18795698E+04,   0.17441814E+04,   0.20225789E+04,   0.45500149E+02,   0.71030907E+02
2000,   0.17445768E+04,   0.16261479E+04,   0.18692674E+04,   0.42191886E+02,   0.62028892E+02
2001,   0.24305797E+04,   0.22262138E+04,   0.26485014E+04,   0.73570190E+02,   0.10774968E+03
2002,   0.25913228E+04,   0.23384357E+04,   0.28638903E+04,   0.10391126E+03,   0.13408399E+03
2003,   0.78040679E+04,   0.69739196E+04,   0.87051360E+04,   0.39477856E+03,   0.44179236E+03
2004,   0.45884419E+04,   0.40268215E+04,   0.52059956E+04,   0.27631423E+03,   0.30095201E+03
