YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.35580594E+04,   0.16386860E+04,   0.67761221E+04,   0.92345595E+03,   0.13318600E+04
1985, 2,   0.12125209E+06,   0.22545532E+05,   0.38582326E+06,   0.40948657E+05,   0.10073172E+06
1985, 3,   0.54335937E+04,   0.26158437E+04,   0.10034135E+05,   0.13248304E+04,   0.19196734E+04
1985, 4,   0.21242158E+04,   0.10772869E+04,   0.37802995E+04,   0.51783329E+03,   0.69808780E+03
1985, 5,   0.50159157E+04,   0.22936434E+04,   0.95995899E+04,   0.12045989E+04,   0.18946143E+04
1985, 6,   0.45902011E+05,   0.81382584E+04,   0.14926094E+06,   0.14263854E+05,   0.39340618E+05
1985, 7,   0.87789831E+03,   0.46250120E+03,   0.15197626E+04,   0.21490091E+03,   0.27268283E+03
1985, 8,   0.77471463E+03,   0.40336887E+03,   0.13526998E+04,   0.19094231E+03,   0.24494601E+03
1985, 9,   0.51793159E+03,   0.26026474E+03,   0.92781859E+03,   0.13676323E+03,   0.17246274E+03
1985,10,   0.26342566E+04,   0.97033291E+03,   0.58066779E+04,   0.66329533E+03,   0.12677161E+04
1985,11,   0.13949003E+09,   0.11039448E+08,   0.61546076E+09,   0.13610430E+09,   0.19043191E+09
1985,12,   0.89678005E+04,   0.41427355E+04,   0.17042995E+05,   0.21574620E+04,   0.33439124E+04
1986, 1,   0.78346030E+03,   0.41643457E+03,   0.13474634E+04,   0.18859362E+03,   0.24005282E+03
1986, 2,   0.16540805E+05,   0.71783840E+04,   0.32798129E+05,   0.35502430E+04,   0.66592729E+04
1986, 3,   0.18241777E+06,   0.30549082E+05,   0.60842339E+06,   0.63735422E+05,   0.16216911E+06
1986, 4,   0.60489737E+04,   0.32695067E+04,   0.10275855E+05,   0.12503241E+04,   0.18054799E+04
1986, 5,   0.25275887E+04,   0.13054302E+04,   0.44393422E+04,   0.51287626E+03,   0.80884164E+03
1986, 6,   0.91513557E+03,   0.49866210E+03,   0.15452889E+04,   0.19484034E+03,   0.26963593E+03
1986, 7,   0.64575030E+03,   0.34643301E+03,   0.11030636E+04,   0.14898192E+03,   0.19502592E+03
1986, 8,   0.44664800E+03,   0.22720265E+03,   0.79313387E+03,   0.11854257E+03,   0.14614287E+03
1986, 9,   0.31509570E+03,   0.14897717E+03,   0.58928131E+03,   0.96099260E+02,   0.11402279E+03
1986,10,   0.28940522E+03,   0.13990652E+03,   0.53287967E+03,   0.84577662E+02,   0.10167518E+03
1986,11,   0.47296094E+03,   0.25320308E+03,   0.80915768E+03,   0.10855982E+03,   0.14331056E+03
1986,12,   0.48905549E+04,   0.14230905E+04,   0.12391211E+05,   0.99814115E+03,   0.29193966E+04
1987, 1,   0.11768158E+05,   0.35625479E+04,   0.29157622E+05,   0.23859116E+04,   0.67932672E+04
1987, 2,   0.91260613E+04,   0.41022249E+04,   0.17671307E+05,   0.17122870E+04,   0.35214121E+04
1987, 3,   0.55125142E+05,   0.14779110E+05,   0.14611286E+06,   0.13114002E+05,   0.35177543E+05
1987, 4,   0.79130941E+07,   0.12016558E+07,   0.27527369E+08,   0.49113236E+07,   0.74777190E+07
1987, 5,   0.72815624E+05,   0.25505836E+05,   0.16555313E+06,   0.16585857E+05,   0.36817668E+05
1987, 6,   0.38649958E+04,   0.20609337E+04,   0.66317831E+04,   0.70632881E+03,   0.11784030E+04
1987, 7,   0.10224478E+04,   0.59319359E+03,   0.16467296E+04,   0.18715264E+03,   0.27089394E+03
1987, 8,   0.61672590E+03,   0.34601388E+03,   0.10188872E+04,   0.12811982E+03,   0.17318813E+03
1987, 9,   0.92042612E+05,   0.22252236E+05,   0.25766986E+06,   0.27944383E+05,   0.63605676E+05
1987,10,   0.99144009E+03,   0.56559810E+03,   0.16174229E+04,   0.18735281E+03,   0.27058798E+03
1987,11,   0.22456169E+04,   0.67787232E+03,   0.55729614E+04,   0.42495965E+03,   0.12994830E+04
1987,12,   0.10374025E+05,   0.39261687E+04,   0.22483067E+05,   0.20128766E+04,   0.48568409E+04
1988, 1,   0.16080949E+05,   0.46487062E+04,   0.40894463E+05,   0.29786130E+04,   0.96522542E+04
1988, 2,   0.52631981E+04,   0.26126453E+04,   0.95111649E+04,   0.89161275E+03,   0.17830517E+04
1988, 3,   0.15531823E+04,   0.90113974E+03,   0.25014541E+04,   0.27555735E+03,   0.41148577E+03
1988, 4,   0.45174175E+04,   0.22504349E+04,   0.81427820E+04,   0.71686178E+03,   0.15227831E+04
1988, 5,   0.11107425E+07,   0.20440277E+06,   0.35512240E+07,   0.46280995E+06,   0.92908790E+06
1988, 6,   0.31754831E+04,   0.17285333E+04,   0.53662476E+04,   0.51678946E+03,   0.93719336E+03
