CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.13882730E+05,   0.70726395E+04,   0.24625301E+05,   0.32808354E+04,   0.45324499E+04
1986,   0.11997015E+05,   0.87814667E+04,   0.16009800E+05,   0.14943972E+04,   0.18488223E+04
1987,   0.11185580E+05,   0.80072871E+04,   0.15212200E+05,   0.12552004E+04,   0.18435368E+04
1988,   0.18410859E+05,   0.91737891E+04,   0.33180764E+05,   0.40892585E+04,   0.62041668E+04
1989,   0.22153503E+05,   0.12936048E+05,   0.35503746E+05,   0.38821091E+04,   0.58017163E+04
1990,   0.10160092E+05,   0.81824964E+04,   0.12470706E+05,   0.75219954E+03,   0.10953339E+04
1991,   0.10524468E+05,   0.83536526E+04,   0.13086659E+05,   0.81617910E+03,   0.12091595E+04
1992,   0.21049675E+05,   0.12608713E+05,   0.33077343E+05,   0.35025725E+04,   0.52583472E+04
1993,   0.50364641E+05,   0.30603879E+05,   0.78263247E+05,   0.10982027E+05,   0.12238884E+05
1994,   0.40442175E+05,   0.26410733E+05,   0.59342498E+05,   0.73687341E+04,   0.84419359E+04
1995,   0.61712425E+04,   0.51060404E+04,   0.73924938E+04,   0.47396389E+03,   0.58385431E+03
1996,   0.96879344E+05,   0.49341096E+05,   0.17188216E+06,   0.28626462E+05,   0.31642907E+05
1997,   0.12272658E+05,   0.88330577E+04,   0.16614436E+05,   0.12140947E+04,   0.19908489E+04
1998,   0.56135865E+05,   0.32551286E+05,   0.90447319E+05,   0.13229152E+05,   0.14886936E+05
1999,   0.47447764E+04,   0.38972283E+04,   0.57214877E+04,   0.35179109E+03,   0.46586688E+03
2000,   0.10994731E+05,   0.87100567E+04,   0.13694938E+05,   0.87625366E+03,   0.12735377E+04
2001,   0.54877778E+04,   0.43565113E+04,   0.68228589E+04,   0.48289017E+03,   0.63008625E+03
2002,   0.19396537E+04,   0.15412313E+04,   0.24095558E+04,   0.18218543E+03,   0.22183129E+03
2003,   0.52804968E+05,   0.35253104E+05,   0.76105198E+05,   0.94961440E+04,   0.10467206E+05
2004,   0.27416169E+05,   0.18913956E+05,   0.38458865E+05,   0.43617938E+04,   0.50044606E+04
