YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.99917369E+02,   0.65326816E+02,   0.14647511E+03,   0.13874361E+02,   0.20801519E+02
1985, 2,   0.43606387E+03,   0.22253810E+03,   0.77253431E+03,   0.59883632E+02,   0.14201121E+03
1985, 3,   0.23533877E+03,   0.14326168E+03,   0.36518308E+03,   0.31141308E+02,   0.56986502E+02
1985, 4,   0.33093111E+03,   0.19933411E+03,   0.51777513E+03,   0.43508215E+02,   0.81794493E+02
1985, 5,   0.29699267E+03,   0.18012932E+03,   0.46218170E+03,   0.38609892E+02,   0.72434391E+02
1985, 6,   0.13093582E+03,   0.86904069E+02,   0.18961531E+03,   0.16509112E+02,   0.26320202E+02
1985, 7,   0.12377533E+03,   0.81019653E+02,   0.18127889E+03,   0.15404324E+02,   0.25699738E+02
1985, 8,   0.12918123E+03,   0.84453504E+02,   0.18938621E+03,   0.15921238E+02,   0.26898450E+02
1985, 9,   0.93052925E+02,   0.61820314E+02,   0.13464886E+03,   0.11569376E+02,   0.18662241E+02
1985,10,   0.95180932E+02,   0.62912605E+02,   0.13830141E+03,   0.11685692E+02,   0.19320451E+02
1985,11,   0.11699356E+04,   0.69424112E+03,   0.18518585E+04,   0.15619696E+03,   0.29746610E+03
1985,12,   0.48152944E+03,   0.30024819E+03,   0.73322190E+03,   0.60763249E+02,   0.11111347E+03
1986, 1,   0.10965986E+03,   0.72472637E+02,   0.15935814E+03,   0.13066795E+02,   0.22266863E+02
1986, 2,   0.71051977E+03,   0.42255886E+03,   0.11227342E+04,   0.84236918E+02,   0.17990889E+03
1986, 3,   0.91911198E+03,   0.44822797E+03,   0.16819510E+04,   0.11150929E+03,   0.31909577E+03
1986, 4,   0.33188456E+03,   0.20940817E+03,   0.50062355E+03,   0.37507918E+02,   0.74712316E+02
1986, 5,   0.23091572E+03,   0.14253781E+03,   0.35442683E+03,   0.25765675E+02,   0.54390682E+02
1986, 6,   0.12511330E+03,   0.84814289E+02,   0.17806957E+03,   0.13604891E+02,   0.23886381E+02
1986, 7,   0.11072036E+03,   0.75341256E+02,   0.15709466E+03,   0.11895567E+02,   0.20938672E+02
1986, 8,   0.10419212E+03,   0.71316701E+02,   0.14711609E+03,   0.11111199E+02,   0.19411422E+02
1986, 9,   0.75440709E+02,   0.51224099E+02,   0.10722907E+03,   0.83620150E+01,   0.14344620E+02
1986,10,   0.65885415E+02,   0.44837325E+02,   0.93472965E+02,   0.73698252E+01,   0.12456528E+02
1986,11,   0.14513454E+03,   0.92051043E+02,   0.21802193E+03,   0.15198528E+02,   0.32314204E+02
1986,12,   0.35020152E+03,   0.22144354E+03,   0.52734480E+03,   0.37390243E+02,   0.78475904E+02
1987, 1,   0.21697811E+03,   0.14118200E+03,   0.31932062E+03,   0.22204929E+02,   0.45668947E+02
1987, 2,   0.16002729E+03,   0.10676510E+03,   0.23076426E+03,   0.16052488E+02,   0.31771765E+02
1987, 3,   0.22634609E+03,   0.14313672E+03,   0.34081859E+03,   0.22174266E+02,   0.50713209E+02
1987, 4,   0.85566868E+03,   0.49894276E+03,   0.13728046E+04,   0.85876617E+02,   0.22466199E+03
1987, 5,   0.20622535E+03,   0.14146170E+03,   0.29066215E+03,   0.19888790E+02,   0.38206998E+02
1987, 6,   0.15505475E+03,   0.10596446E+03,   0.21921690E+03,   0.14669734E+02,   0.29003666E+02
1987, 7,   0.13250754E+03,   0.89329983E+02,   0.18945626E+03,   0.12293081E+02,   0.25649267E+02
1987, 8,   0.77924702E+02,   0.54040028E+02,   0.10883803E+03,   0.75486069E+01,   0.14029561E+02
1987, 9,   0.17554923E+03,   0.11207986E+03,   0.26232118E+03,   0.16229343E+02,   0.38533982E+02
1987,10,   0.94782626E+02,   0.65721873E+02,   0.13239866E+03,   0.85444115E+01,   0.17070851E+02
1987,11,   0.18373185E+03,   0.99075787E+02,   0.31266106E+03,   0.16754623E+02,   0.55043470E+02
1987,12,   0.20743868E+03,   0.13858793E+03,   0.29879489E+03,   0.18834982E+02,   0.41047919E+02
1988, 1,   0.24691654E+03,   0.13067882E+03,   0.42601653E+03,   0.21626654E+02,   0.76159890E+02
1988, 2,   0.24433502E+03,   0.16224921E+03,   0.35369185E+03,   0.21087886E+02,   0.49057482E+02
1988, 3,   0.15217641E+03,   0.10247184E+03,   0.21778401E+03,   0.12919336E+02,   0.29540137E+02
1988, 4,   0.13825883E+03,   0.92799415E+02,   0.19839210E+03,   0.11624878E+02,   0.27052087E+02
1988, 5,   0.15839700E+04,   0.85429101E+03,   0.26951332E+04,   0.15380932E+03,   0.47440423E+03
1988, 6,   0.21241257E+03,   0.14437800E+03,   0.30165739E+03,   0.18071429E+02,   0.40283296E+02
1988, 7,   0.99198096E+02,   0.69631025E+02,   0.13715621E+03,   0.81137523E+01,   0.17284016E+02
1988, 8,   0.97231191E+02,   0.68017669E+02,   0.13482160E+03,   0.78113325E+01,   0.17100505E+02
1988, 9,   0.13632314E+03,   0.86477919E+02,   0.20475615E+03,   0.10714512E+02,   0.30340744E+02
1988,10,   0.62868719E+02,   0.44057282E+02,   0.87045575E+02,   0.54551367E+01,   0.11003797E+02
1988,11,   0.15803215E+03,   0.89557983E+02,   0.25911242E+03,   0.12449916E+02,   0.43627560E+02
1988,12,   0.69191321E+02,   0.48119445E+02,   0.96412445E+02,   0.56222837E+01,   0.12363452E+02
1989, 1,   0.15540235E+03,   0.10222696E+03,   0.22668633E+03,   0.11882949E+02,   0.31899501E+02
1989, 2,   0.10992828E+03,   0.74229001E+02,   0.15696260E+03,   0.83991579E+01,   0.21193078E+02
1989, 3,   0.34913003E+03,   0.23585278E+03,   0.49833108E+03,   0.25755032E+02,   0.67235961E+02
1989, 4,   0.22979171E+03,   0.15402847E+03,   0.33010040E+03,   0.17031318E+02,   0.45109648E+02
1989, 5,   0.13618296E+04,   0.79880808E+03,   0.21749429E+04,   0.11310037E+03,   0.35373205E+03
1989, 6,   0.48740428E+03,   0.30554144E+03,   0.73902665E+03,   0.40774516E+02,   0.11122992E+03
1989, 7,   0.13631444E+04,   0.80178389E+03,   0.21724331E+04,   0.12727791E+03,   0.35229456E+03
1989, 8,   0.31913377E+03,   0.20651347E+03,   0.47174848E+03,   0.26122402E+02,   0.68006195E+02
1989, 9,   0.11378138E+03,   0.80826007E+02,   0.15575083E+03,   0.77945112E+01,   0.19173832E+02
1989,10,   0.17964441E+03,   0.11251374E+03,   0.27257947E+03,   0.12875584E+02,   0.41072897E+02
1989,11,   0.19469321E+03,   0.12425993E+03,   0.29100739E+03,   0.13881174E+02,   0.42767836E+02
1989,12,   0.64395585E+02,   0.45185763E+02,   0.89062969E+02,   0.47413501E+01,   0.11231060E+02
1990, 1,   0.28079944E+03,   0.13765866E+03,   0.51195418E+03,   0.18484026E+02,   0.96789856E+02
1990, 2,   0.24350679E+03,   0.16358838E+03,   0.34915923E+03,   0.16223243E+02,   0.47541017E+02
1990, 3,   0.78803980E+02,   0.55997382E+02,   0.10784243E+03,   0.56677415E+01,   0.13267464E+02
1990, 4,   0.13774875E+03,   0.95620961E+02,   0.19223793E+03,   0.93597707E+01,   0.24735717E+02
1990, 5,   0.24750433E+03,   0.16486186E+03,   0.35737790E+03,   0.17440223E+02,   0.49329253E+02
1990, 6,   0.18242259E+03,   0.12522593E+03,   0.25695723E+03,   0.12733942E+02,   0.33733035E+02
1990, 7,   0.13928962E+03,   0.95557948E+02,   0.19630110E+03,   0.93310398E+01,   0.25798075E+02
1990, 8,   0.25651890E+03,   0.15708897E+03,   0.39619250E+03,   0.19059181E+02,   0.61389068E+02
1990, 9,   0.11092171E+03,   0.78944921E+02,   0.15159257E+03,   0.68902409E+01,   0.18590445E+02
1990,10,   0.11191529E+04,   0.62426432E+03,   0.18570404E+04,   0.92312847E+02,   0.31735631E+03
1990,11,   0.20180365E+03,   0.14044847E+03,   0.28102461E+03,   0.13334655E+02,   0.35988277E+02
1990,12,   0.65422875E+03,   0.43237171E+03,   0.95072554E+03,   0.43596641E+02,   0.13284280E+03
1991, 1,   0.71191756E+03,   0.45235439E+03,   0.10678920E+04,   0.43768034E+02,   0.15789153E+03
1991, 2,   0.21941269E+03,   0.15366901E+03,   0.30394166E+03,   0.13499931E+02,   0.38466017E+02
1991, 3,   0.33181426E+03,   0.23143168E+03,   0.46123882E+03,   0.20040670E+02,   0.58829470E+02
1991, 4,   0.26661893E+03,   0.18716429E+03,   0.36861739E+03,   0.16977527E+02,   0.46445396E+02
1991, 5,   0.16698301E+03,   0.11792555E+03,   0.22970606E+03,   0.10892105E+02,   0.28608554E+02
1991, 6,   0.78993293E+02,   0.56099679E+02,   0.10815383E+03,   0.53777748E+01,   0.13321115E+02
1991, 7,   0.81276014E+02,   0.57574700E+02,   0.11151700E+03,   0.53950084E+01,   0.13804947E+02
1991, 8,   0.92784284E+02,   0.65583475E+02,   0.12754151E+03,   0.57050027E+01,   0.15856975E+02
1991, 9,   0.77253840E+02,   0.54912616E+02,   0.10569390E+03,   0.48716281E+01,   0.12995168E+02
1991,10,   0.72630458E+02,   0.50682266E+02,   0.10091938E+03,   0.44722324E+01,   0.12860330E+02
