YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.58939890E+03,   0.48766855E+03,   0.70603174E+03,   0.33226636E+02,   0.55759841E+02
1985, 2,   0.46715945E+04,   0.34931829E+04,   0.61209280E+04,   0.31707481E+03,   0.67187968E+03
1985, 3,   0.33265654E+04,   0.26087075E+04,   0.41809841E+04,   0.19087487E+03,   0.40173739E+03
1985, 4,   0.30035304E+04,   0.21986604E+04,   0.40079024E+04,   0.18672217E+03,   0.46275711E+03
1985, 5,   0.19182058E+04,   0.13264478E+04,   0.26855759E+04,   0.12091361E+03,   0.34798777E+03
1985, 6,   0.22138449E+03,   0.18123071E+03,   0.26776651E+03,   0.11790041E+02,   0.22099715E+02
1985, 7,   0.40329917E+03,   0.31635182E+03,   0.50676805E+03,   0.22394160E+02,   0.48653688E+02
1985, 8,   0.91678900E+02,   0.76139781E+02,   0.10944744E+03,   0.46831080E+01,   0.85049103E+01
1985, 9,   0.34705445E+02,   0.28941588E+02,   0.41277222E+02,   0.19708129E+01,   0.31497009E+01
1985,10,   0.23788326E+03,   0.17880997E+03,   0.31027800E+03,   0.13146566E+02,   0.33611936E+02
1985,11,   0.10895269E+05,   0.80857674E+04,   0.14368534E+05,   0.10137825E+04,   0.16066105E+04
1985,12,   0.20582604E+04,   0.16576996E+04,   0.25262607E+04,   0.11187847E+03,   0.22185577E+03
1986, 1,   0.66394369E+03,   0.54176448E+03,   0.80539461E+03,   0.31733315E+02,   0.67328852E+02
1986, 2,   0.74006911E+04,   0.55948080E+04,   0.96051456E+04,   0.51847620E+03,   0.10252194E+04
1986, 3,   0.37564489E+04,   0.27543372E+04,   0.50055553E+04,   0.22678616E+03,   0.57578744E+03
1986, 4,   0.13446869E+04,   0.11013991E+04,   0.16256025E+04,   0.61556487E+02,   0.13387150E+03
1986, 5,   0.50424716E+03,   0.41876777E+03,   0.60199241E+03,   0.23663492E+02,   0.46785317E+02
1986, 6,   0.35522101E+03,   0.27324574E+03,   0.45410037E+03,   0.16344088E+02,   0.46222801E+02
1986, 7,   0.12038047E+03,   0.10078863E+03,   0.14265580E+03,   0.54422130E+01,   0.10689678E+02
1986, 8,   0.38519090E+02,   0.32483929E+02,   0.45345963E+02,   0.18895883E+01,   0.32837570E+01
1986, 9,   0.33763447E+02,   0.27852212E+02,   0.40554928E+02,   0.16613288E+01,   0.32437855E+01
1986,10,   0.89636871E+02,   0.73526432E+02,   0.10821999E+03,   0.39327802E+01,   0.88599307E+01
1986,11,   0.97006169E+03,   0.78643094E+03,   0.11836252E+04,   0.48171214E+02,   0.10144731E+03
1986,12,   0.20387768E+04,   0.16787888E+04,   0.24528976E+04,   0.96100276E+02,   0.19768139E+03
1987, 1,   0.10661922E+04,   0.86569340E+03,   0.12991227E+04,   0.44010247E+02,   0.11070017E+03
1987, 2,   0.11596270E+04,   0.96260871E+03,   0.13849889E+04,   0.47799617E+02,   0.10785275E+03
1987, 3,   0.23756487E+04,   0.19295698E+04,   0.28937582E+04,   0.99521800E+02,   0.24625794E+03
1987, 4,   0.76943452E+04,   0.61109226E+04,   0.95624683E+04,   0.48117392E+03,   0.88177330E+03
1987, 5,   0.10539591E+04,   0.87720209E+03,   0.12557698E+04,   0.43245612E+02,   0.96662901E+02
