CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.54638445E+04,   0.15323274E+04,   0.14130597E+05,   0.25057454E+04,   0.33625822E+04
1986,   0.53274341E+03,   0.33488671E+03,   0.80600260E+03,   0.76461878E+02,   0.12087751E+03
1987,   0.60985713E+03,   0.39203819E+03,   0.90631523E+03,   0.85306191E+02,   0.13188080E+03
1988,   0.50860229E+03,   0.34454550E+03,   0.72428490E+03,   0.63676163E+02,   0.97267714E+02
1989,   0.54293956E+03,   0.43398745E+03,   0.67090752E+03,   0.45719204E+02,   0.60521694E+02
1990,   0.35477024E+03,   0.28423243E+03,   0.43748631E+03,   0.26719793E+02,   0.39147922E+02
1991,   0.34814530E+03,   0.25459356E+03,   0.46496592E+03,   0.34614091E+02,   0.53808689E+02
1992,   0.22878685E+03,   0.19103231E+03,   0.27179497E+03,   0.15362014E+02,   0.20621158E+02
1993,   0.84121790E+03,   0.51609349E+03,   0.12973948E+04,   0.15064035E+03,   0.20058709E+03
1994,   0.76872303E+03,   0.54432816E+03,   0.10551123E+04,   0.10716733E+03,   0.13072117E+03
1995,   0.24477219E+03,   0.19164505E+03,   0.30807596E+03,   0.18141858E+02,   0.29750252E+02
1996,   0.26644903E+04,   0.11547895E+04,   0.52880534E+04,   0.82403077E+03,   0.10744147E+04
1997,   0.29969801E+03,   0.23833332E+03,   0.37203051E+03,   0.22979119E+02,   0.34155340E+02
1998,   0.68985738E+03,   0.49900310E+03,   0.92995635E+03,   0.87689069E+02,   0.11024889E+03
1999,   0.16693731E+03,   0.13784333E+03,   0.20034101E+03,   0.10802694E+02,   0.15959346E+02
2000,   0.21786198E+03,   0.17555962E+03,   0.26726759E+03,   0.14236710E+02,   0.23424733E+02
2001,   0.25318082E+03,   0.20785201E+03,   0.30543586E+03,   0.18491888E+02,   0.24920428E+02
2002,   0.40023983E+03,   0.31538287E+03,   0.50090306E+03,   0.35531724E+02,   0.47399909E+02
2003,   0.17882059E+04,   0.12146837E+04,   0.25408453E+04,   0.28788923E+03,   0.33966851E+03
2004,   0.82964712E+03,   0.61234957E+03,   0.10992879E+04,   0.10569155E+03,   0.12452935E+03
