YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.61160754E+05,   0.32856528E+05,   0.10436866E+06,   0.12139068E+05,   0.18431827E+05
1985, 2,   0.75789083E+06,   0.27475027E+06,   0.16872284E+07,   0.18739707E+06,   0.37058118E+06
1985, 3,   0.27605242E+06,   0.14347683E+06,   0.48262718E+06,   0.54007841E+05,   0.87512892E+05
1985, 4,   0.27146530E+06,   0.10236966E+06,   0.58966768E+06,   0.55504324E+05,   0.12756432E+06
1985, 5,   0.54735611E+06,   0.15767939E+06,   0.13946623E+07,   0.12674605E+06,   0.32949417E+06
1985, 6,   0.65303739E+06,   0.15382627E+06,   0.18527321E+07,   0.16437127E+06,   0.46007826E+06
1985, 7,   0.10050012E+06,   0.41227157E+05,   0.20683853E+06,   0.20417562E+05,   0.43162928E+05
1985, 8,   0.28685709E+05,   0.16212986E+05,   0.47128877E+05,   0.53066364E+04,   0.79555234E+04
1985, 9,   0.13845716E+05,   0.78017047E+04,   0.22800102E+05,   0.25464173E+04,   0.38598657E+04
1985,10,   0.49045883E+05,   0.21694435E+05,   0.96012512E+05,   0.96831040E+04,   0.19300593E+05
1985,11,   0.80878858E+08,   0.10062978E+08,   0.30486580E+09,   0.60591178E+08,   0.86060340E+08
1985,12,   0.33922115E+06,   0.16550057E+06,   0.62057803E+06,   0.67880052E+05,   0.11770136E+06
1986, 1,   0.37258904E+05,   0.21425840E+05,   0.60415723E+05,   0.64550076E+04,   0.10027997E+05
1986, 2,   0.86243623E+06,   0.27664692E+06,   0.20665384E+07,   0.20606642E+06,   0.47317980E+06
1986, 3,   0.24928322E+07,   0.48618095E+06,   0.77579745E+07,   0.94727242E+06,   0.20060013E+07
1986, 4,   0.93005731E+05,   0.50335122E+05,   0.15784487E+06,   0.15590042E+05,   0.27703228E+05
1986, 5,   0.76887988E+05,   0.39472633E+05,   0.13563149E+06,   0.12743250E+05,   0.24823279E+05
1986, 6,   0.27125194E+05,   0.15470400E+05,   0.44260427E+05,   0.45175409E+04,   0.74064574E+04
1986, 7,   0.30701183E+05,   0.16783135E+05,   0.51717804E+05,   0.49790202E+04,   0.89990635E+04
1986, 8,   0.12922066E+05,   0.75725957E+04,   0.20652377E+05,   0.21561436E+04,   0.33622146E+04
1986, 9,   0.11301958E+05,   0.65456939E+04,   0.18226831E+05,   0.18504842E+04,   0.30037024E+04
1986,10,   0.86113414E+04,   0.50392435E+04,   0.13777936E+05,   0.14579674E+04,   0.22464099E+04
1986,11,   0.41126555E+05,   0.22385242E+05,   0.69503134E+05,   0.67038293E+04,   0.12139125E+05
1986,12,   0.16419297E+06,   0.78252926E+05,   0.30536179E+06,   0.27133591E+05,   0.58793935E+05
1987, 1,   0.11092208E+06,   0.45812090E+05,   0.22727761E+06,   0.16949301E+05,   0.47279126E+05
1987, 2,   0.74980931E+05,   0.38821693E+05,   0.13145649E+06,   0.11100183E+05,   0.23906319E+05
1987, 3,   0.19141937E+06,   0.85341845E+05,   0.37272578E+06,   0.29070973E+05,   0.74608064E+05
1987, 4,   0.48476424E+07,   0.13651087E+07,   0.12508593E+08,   0.16363429E+07,   0.29733573E+07
1987, 5,   0.22933471E+06,   0.11168863E+06,   0.42008022E+06,   0.34602034E+05,   0.79768041E+05
1987, 6,   0.28082458E+05,   0.16331825E+05,   0.45145709E+05,   0.41426352E+04,   0.74083512E+04
1987, 7,   0.13352799E+05,   0.79285152E+04,   0.21125566E+05,   0.20540327E+04,   0.33911096E+04
1987, 8,   0.92134817E+04,   0.54144417E+04,   0.14693501E+05,   0.15374685E+04,   0.23850332E+04
1987, 9,   0.46595183E+05,   0.22585346E+05,   0.85635017E+05,   0.80084102E+04,   0.16311335E+05
1987,10,   0.12549553E+05,   0.75195003E+04,   0.19715523E+05,   0.17255547E+04,   0.31331056E+04
1987,11,   0.31498756E+05,   0.88071935E+04,   0.81597523E+05,   0.46257345E+04,   0.19432820E+05
1987,12,   0.91246842E+05,   0.48382652E+05,   0.15721531E+06,   0.13303624E+05,   0.28063305E+05
1988, 1,   0.30159994E+06,   0.96497158E+05,   0.72376921E+06,   0.55046173E+05,   0.16585540E+06
1988, 2,   0.90882957E+05,   0.50245401E+05,   0.15181442E+06,   0.12150181E+05,   0.26154444E+05
1988, 3,   0.62508244E+05,   0.34764886E+05,   0.10395063E+06,   0.86264811E+04,   0.17812275E+05
1988, 4,   0.31852497E+06,   0.11005789E+06,   0.73022693E+06,   0.51848780E+05,   0.16317429E+06
1988, 5,   0.40220865E+07,   0.13276473E+07,   0.94764773E+07,   0.12044671E+07,   0.21502154E+07
1988, 6,   0.42765740E+05,   0.24378024E+05,   0.69808846E+05,   0.58479291E+04,   0.11687613E+05
1988, 7,   0.10770401E+05,   0.64708118E+04,   0.16885158E+05,   0.16159062E+04,   0.26752058E+04
1988, 8,   0.16046738E+05,   0.85748575E+04,   0.27490766E+05,   0.20874387E+04,   0.48763291E+04
