YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.20494281E+04,   0.10316083E+04,   0.36668555E+04,   0.44124003E+03,   0.68077395E+03
1985, 2,   0.15798973E+06,   0.22870371E+05,   0.56066682E+06,   0.79427916E+05,   0.15371461E+06
1985, 3,   0.18448250E+04,   0.10556497E+04,   0.30026641E+04,   0.37116546E+03,   0.50083518E+03
1985, 4,   0.12581272E+04,   0.74242220E+03,   0.20000524E+04,   0.24986450E+03,   0.32321602E+03
1985, 5,   0.14005837E+04,   0.80318923E+03,   0.22758429E+04,   0.26965266E+03,   0.37878980E+03
1985, 6,   0.17938464E+04,   0.96576946E+03,   0.30562471E+04,   0.34381288E+03,   0.53876952E+03
1985, 7,   0.93039466E+03,   0.43594877E+03,   0.17509107E+04,   0.17667390E+03,   0.34065312E+03
1985, 8,   0.20318597E+05,   0.43467252E+04,   0.60489748E+05,   0.60302467E+04,   0.15342335E+05
1985, 9,   0.18519354E+03,   0.10589290E+03,   0.30159457E+03,   0.39135288E+02,   0.50341925E+02
1985,10,   0.15568491E+05,   0.46447896E+04,   0.38894686E+05,   0.40994177E+04,   0.90998094E+04
1985,11,   0.14405029E+08,   0.19000477E+07,   0.53075440E+08,   0.11981568E+08,   0.14814392E+08
1985,12,   0.86256698E+04,   0.39105376E+04,   0.16605425E+05,   0.18066567E+04,   0.32933187E+04
1986, 1,   0.10937875E+04,   0.65072661E+03,   0.17278820E+04,   0.20378333E+03,   0.27677056E+03
1986, 2,   0.47433895E+04,   0.28288830E+04,   0.74790774E+04,   0.83860978E+03,   0.11947677E+04
1986, 3,   0.89191865E+04,   0.32641417E+04,   0.19739967E+05,   0.17825645E+04,   0.43202851E+04
1986, 4,   0.57777207E+04,   0.27697398E+04,   0.10701424E+05,   0.98885789E+03,   0.20528734E+04
1986, 5,   0.13192588E+04,   0.82374567E+03,   0.20066097E+04,   0.21671699E+03,   0.30354624E+03
1986, 6,   0.44040270E+03,   0.26709475E+03,   0.68538596E+03,   0.75353726E+02,   0.10742229E+03
1986, 7,   0.37051568E+03,   0.22153859E+03,   0.58304162E+03,   0.62876761E+02,   0.92873914E+02
1986, 8,   0.41523317E+03,   0.23123000E+03,   0.68987440E+03,   0.67691374E+02,   0.11807602E+03
1986, 9,   0.25789079E+03,   0.15162756E+03,   0.41112488E+03,   0.44629842E+02,   0.66698702E+02
1986,10,   0.10469128E+03,   0.58326864E+02,   0.17387368E+03,   0.24096431E+02,   0.29746589E+02
1986,11,   0.41733294E+03,   0.24308166E+03,   0.67011681E+03,   0.70200349E+02,   0.10979033E+03
1986,12,   0.11303837E+05,   0.34856146E+04,   0.27713254E+05,   0.25471550E+04,   0.64220499E+04
1987, 1,   0.17102267E+04,   0.90820071E+03,   0.29433963E+04,   0.26961793E+03,   0.52476330E+03
1987, 2,   0.27556301E+04,   0.16223908E+04,   0.43883633E+04,   0.42019535E+03,   0.71091169E+03
1987, 3,   0.96403634E+04,   0.35737192E+04,   0.21166084E+05,   0.18336184E+04,   0.46097010E+04
1987, 4,   0.91349914E+06,   0.15407389E+06,   0.30372932E+07,   0.50960048E+06,   0.80843480E+06
1987, 5,   0.58214752E+04,   0.36236445E+04,   0.88763681E+04,   0.83030950E+03,   0.13480575E+04
1987, 6,   0.61078737E+04,   0.29185359E+04,   0.11338632E+05,   0.95086107E+03,   0.21795666E+04
1987, 7,   0.48188209E+03,   0.29799373E+03,   0.73856937E+03,   0.70065080E+02,   0.11308796E+03
1987, 8,   0.22906377E+03,   0.13450120E+03,   0.36554021E+03,   0.39195174E+02,   0.59386260E+02
1987, 9,   0.95335405E+06,   0.19170340E+06,   0.29243527E+07,   0.47856728E+06,   0.75142553E+06
1987,10,   0.91476675E+03,   0.57871610E+03,   0.13769541E+04,   0.13519414E+03,   0.20477755E+03
1987,11,   0.12952837E+06,   0.21686828E+05,   0.43206349E+06,   0.56087095E+05,   0.11516733E+06
1987,12,   0.56852910E+04,   0.29360234E+04,   0.99860619E+04,   0.88381598E+03,   0.18195736E+04
1988, 1,   0.66143418E+04,   0.26396654E+04,   0.13858295E+05,   0.10851824E+04,   0.29279529E+04
1988, 2,   0.26696745E+04,   0.17007500E+04,   0.39962274E+04,   0.35875970E+03,   0.58877599E+03
1988, 3,   0.34932160E+04,   0.17030150E+04,   0.63939239E+04,   0.45215319E+03,   0.12132931E+04
1988, 4,   0.36864991E+04,   0.22606729E+04,   0.56876382E+04,   0.45465000E+03,   0.87983097E+03
1988, 5,   0.53424251E+05,   0.20953625E+05,   0.11318966E+06,   0.12203302E+05,   0.24094434E+05
1988, 6,   0.17069009E+04,   0.10489822E+04,   0.26289983E+04,   0.21376458E+03,   0.40562698E+03
1988, 7,   0.33445281E+04,   0.14999414E+04,   0.64863152E+04,   0.50091142E+03,   0.12941808E+04
1988, 8,   0.81704325E+03,   0.49825079E+03,   0.12660825E+04,   0.10506836E+03,   0.19715995E+03
1988, 9,   0.44457825E+03,   0.25931346E+03,   0.71309961E+03,   0.58076255E+02,   0.11666331E+03
1988,10,   0.27466703E+03,   0.16368981E+03,   0.43331821E+03,   0.39098856E+02,   0.69276600E+02
1988,11,   0.12069387E+04,   0.60220630E+03,   0.21731007E+04,   0.16284252E+03,   0.40594858E+03
1988,12,   0.39109718E+03,   0.25153311E+03,   0.58098774E+03,   0.56867861E+02,   0.84484128E+02
1989, 1,   0.92407518E+03,   0.50356401E+03,   0.15603136E+04,   0.12055937E+03,   0.27224326E+03
1989, 2,   0.91114041E+03,   0.50884990E+03,   0.15105057E+04,   0.11493042E+03,   0.25784879E+03
1989, 3,   0.87427055E+04,   0.42395578E+04,   0.16062868E+05,   0.12475949E+04,   0.30587104E+04
1989, 4,   0.18976665E+04,   0.12574177E+04,   0.27518414E+04,   0.21731113E+03,   0.38296643E+03
1989, 5,   0.10872605E+07,   0.14844224E+06,   0.39513756E+07,   0.64235505E+06,   0.10956008E+07
1989, 6,   0.60480870E+05,   0.14683123E+05,   0.16894835E+06,   0.16788755E+05,   0.41664433E+05
1989, 7,   0.45843344E+06,   0.10009288E+06,   0.13511650E+07,   0.20273042E+06,   0.34120639E+06
1989, 8,   0.12806769E+05,   0.56065965E+04,   0.25245770E+05,   0.21984242E+04,   0.51027219E+04
1989, 9,   0.12230126E+05,   0.44816857E+04,   0.27045835E+05,   0.22420495E+04,   0.59163224E+04
1989,10,   0.74818526E+05,   0.25005107E+05,   0.17498578E+06,   0.20804388E+05,   0.39543729E+05
1989,11,   0.29044779E+04,   0.18613768E+04,   0.43270321E+04,   0.38898781E+03,   0.63233634E+03
1989,12,   0.12695629E+04,   0.80728778E+03,   0.19032338E+04,   0.16259752E+03,   0.28111602E+03
1990, 1,   0.54105408E+05,   0.10283042E+05,   0.17042831E+06,   0.18619619E+05,   0.44300088E+05
1990, 2,   0.63568978E+04,   0.39786849E+04,   0.96507419E+04,   0.76041624E+03,   0.14554757E+04
1990, 3,   0.36828663E+04,   0.24206379E+04,   0.53758763E+04,   0.40336373E+03,   0.75745511E+03
1990, 4,   0.92740770E+04,   0.58258784E+04,   0.14038439E+05,   0.10732713E+04,   0.21071888E+04
1990, 5,   0.38298121E+05,   0.13357165E+05,   0.87303558E+05,   0.83786301E+04,   0.19445174E+05
1990, 6,   0.39019253E+04,   0.23685899E+04,   0.60681319E+04,   0.46046768E+03,   0.95006461E+03
1990, 7,   0.54789437E+04,   0.26922938E+04,   0.99726443E+04,   0.77937104E+03,   0.18824710E+04
1990, 8,   0.43604283E+04,   0.19179673E+04,   0.85683384E+04,   0.65213676E+03,   0.17275537E+04
1990, 9,   0.31280286E+04,   0.14217839E+04,   0.60112219E+04,   0.44887243E+03,   0.11904634E+04
1990,10,   0.24603915E+07,   0.42502740E+06,   0.80942542E+07,   0.15067377E+07,   0.21443593E+07
1990,11,   0.72358692E+04,   0.27907388E+04,   0.15495596E+05,   0.11295570E+04,   0.33217959E+04
1990,12,   0.90624627E+04,   0.40849614E+04,   0.17515014E+05,   0.13928869E+04,   0.34849085E+04
1991, 1,   0.56652974E+05,   0.15199899E+05,   0.15010278E+06,   0.16236313E+05,   0.36131407E+05
1991, 2,   0.23918507E+04,   0.15763010E+04,   0.34838067E+04,   0.27623091E+03,   0.48888248E+03
1991, 3,   0.16084369E+05,   0.88278646E+04,   0.27014513E+05,   0.22537393E+04,   0.46842235E+04
1991, 4,   0.63474858E+04,   0.41919200E+04,   0.92296404E+04,   0.68770794E+03,   0.12910787E+04
