CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.44619596E+04,   0.31358466E+04,   0.61630233E+04,   0.59604552E+03,   0.77483054E+03
1986,   0.25121090E+04,   0.18346921E+04,   0.33587628E+04,   0.28791167E+03,   0.38983267E+03
1987,   0.39340412E+04,   0.29754270E+04,   0.51038631E+04,   0.34986950E+03,   0.54411858E+03
1988,   0.22042039E+04,   0.16570230E+04,   0.28747262E+04,   0.16766769E+03,   0.31132506E+03
1989,   0.34939884E+04,   0.27862349E+04,   0.43266430E+04,   0.21492375E+03,   0.39351156E+03
1990,   0.37359896E+04,   0.30707608E+04,   0.45022248E+04,   0.20019087E+03,   0.36555480E+03
1991,   0.23192886E+04,   0.18303917E+04,   0.28986299E+04,   0.12936942E+03,   0.27292661E+03
1992,   0.32372873E+04,   0.26221966E+04,   0.39530756E+04,   0.16629635E+03,   0.33992291E+03
1993,   0.45449979E+04,   0.36534381E+04,   0.55880662E+04,   0.27330053E+03,   0.49417144E+03
1994,   0.38482508E+04,   0.30656642E+04,   0.47695869E+04,   0.23053745E+03,   0.43528819E+03
1995,   0.24225240E+04,   0.19480356E+04,   0.29775019E+04,   0.12972056E+03,   0.26296042E+03
1996,   0.55455239E+04,   0.46465984E+04,   0.65670153E+04,   0.31226641E+03,   0.49032413E+03
1997,   0.23352359E+04,   0.18915562E+04,   0.28515476E+04,   0.13403046E+03,   0.24519360E+03
1998,   0.42730740E+04,   0.33721198E+04,   0.53407474E+04,   0.28518870E+03,   0.50296954E+03
1999,   0.12341395E+04,   0.94324073E+03,   0.15865846E+04,   0.67465806E+02,   0.16444077E+03
2000,   0.12754449E+04,   0.10265218E+04,   0.15664171E+04,   0.74974950E+02,   0.13790608E+03
2001,   0.15740126E+04,   0.11932972E+04,   0.20378535E+04,   0.10226151E+03,   0.21589683E+03
2002,   0.11775694E+04,   0.86757147E+03,   0.15627162E+04,   0.94201186E+02,   0.17778117E+03
2003,   0.77924805E+04,   0.61861701E+04,   0.96881803E+04,   0.71608519E+03,   0.89467041E+03
2004,   0.42202208E+04,   0.32175572E+04,   0.54370770E+04,   0.45975698E+03,   0.56733658E+03
