CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.76538569E+04,   0.58967874E+04,   0.97709622E+04,   0.55461261E+03,   0.99013942E+03
1986,   0.26704815E+04,   0.22981878E+04,   0.30856048E+04,   0.15326643E+03,   0.20099690E+03
1987,   0.63410634E+04,   0.52593579E+04,   0.75791098E+04,   0.30070620E+03,   0.59234248E+03
1988,   0.28988455E+04,   0.25150020E+04,   0.33243874E+04,   0.10989160E+03,   0.20659123E+03
1989,   0.62853725E+04,   0.52359271E+04,   0.74828164E+04,   0.22162282E+03,   0.57371221E+03
1990,   0.54840543E+04,   0.48968426E+04,   0.61217915E+04,   0.14659959E+03,   0.31259855E+03
1991,   0.32057314E+04,   0.27918536E+04,   0.36633276E+04,   0.88133848E+02,   0.22243251E+03
1992,   0.58207061E+04,   0.50417929E+04,   0.66852332E+04,   0.16611779E+03,   0.41948451E+03
1993,   0.88170016E+04,   0.74278789E+04,   0.10389502E+05,   0.33681778E+03,   0.75612792E+03
1994,   0.67855156E+04,   0.59512120E+04,   0.77033244E+04,   0.21568827E+03,   0.44718090E+03
1995,   0.58309512E+04,   0.46575467E+04,   0.72098357E+04,   0.22337126E+03,   0.65199279E+03
1996,   0.12020973E+05,   0.10275610E+05,   0.13976468E+05,   0.44890423E+03,   0.94473830E+03
1997,   0.36666928E+04,   0.32152570E+04,   0.41633792E+04,   0.10009854E+03,   0.24198375E+03
1998,   0.95891885E+04,   0.81194700E+04,   0.11246968E+05,   0.40241503E+03,   0.79844011E+03
1999,   0.24310683E+04,   0.20144476E+04,   0.29082223E+04,   0.67337093E+02,   0.22822521E+03
2000,   0.20653915E+04,   0.18786915E+04,   0.22654725E+04,   0.59293749E+02,   0.98693357E+02
2001,   0.27574090E+04,   0.23755698E+04,   0.31828479E+04,   0.89080472E+02,   0.20606484E+03
2002,   0.19808420E+04,   0.17154526E+04,   0.22754405E+04,   0.79070010E+02,   0.14293587E+03
2003,   0.15941982E+05,   0.13884697E+05,   0.18216474E+05,   0.79079428E+03,   0.11056297E+04
2004,   0.72529731E+04,   0.61610627E+04,   0.84818054E+04,   0.41168129E+03,   0.59246109E+03
