YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.47403193E+04,   0.36469518E+04,   0.60590081E+04,   0.36472647E+03,   0.61647170E+03
1985, 2,   0.17461215E+05,   0.12051616E+05,   0.24485103E+05,   0.13431516E+04,   0.31835574E+04
1985, 3,   0.37402566E+04,   0.29759584E+04,   0.46408350E+04,   0.27902630E+03,   0.42531983E+03
1985, 4,   0.22361240E+04,   0.17879526E+04,   0.27624029E+04,   0.16560875E+03,   0.24892429E+03
1985, 5,   0.15991944E+04,   0.12748958E+04,   0.19807990E+04,   0.11644035E+03,   0.18033016E+03
1985, 6,   0.18669573E+04,   0.14417447E+04,   0.23784700E+04,   0.13434894E+03,   0.23939507E+03
1985, 7,   0.45934140E+03,   0.35553521E+03,   0.58401883E+03,   0.33224112E+02,   0.58390791E+02
1985, 8,   0.14143630E+04,   0.82010021E+03,   0.22789395E+04,   0.10270030E+03,   0.37511514E+03
1985, 9,   0.17623811E+03,   0.13989542E+03,   0.21913115E+03,   0.13205382E+02,   0.20242644E+02
1985,10,   0.35660671E+04,   0.22831789E+04,   0.53167348E+04,   0.25245062E+03,   0.77799640E+03
1985,11,   0.47840375E+05,   0.30820743E+05,   0.70971437E+05,   0.40486801E+04,   0.10295687E+05
1985,12,   0.83886169E+04,   0.60953932E+04,   0.11264690E+05,   0.55689822E+03,   0.13223363E+04
1986, 1,   0.30675473E+04,   0.24492638E+04,   0.37943034E+04,   0.19935937E+03,   0.34359760E+03
1986, 2,   0.76520867E+04,   0.61616530E+04,   0.93937003E+04,   0.48214862E+03,   0.82556088E+03
1986, 3,   0.72831693E+04,   0.55241498E+04,   0.94255603E+04,   0.44734929E+03,   0.99732399E+03
1986, 4,   0.49878791E+04,   0.39409895E+04,   0.62274482E+04,   0.30183798E+03,   0.58416399E+03
1986, 5,   0.17033765E+04,   0.13889010E+04,   0.20676424E+04,   0.10422912E+03,   0.17334607E+03
1986, 6,   0.47904721E+03,   0.38177594E+03,   0.59353327E+03,   0.30121740E+02,   0.54095781E+02
1986, 7,   0.43269263E+03,   0.34544409E+03,   0.53525575E+03,   0.26575850E+02,   0.48488473E+02
1986, 8,   0.33097988E+03,   0.26135141E+03,   0.41345851E+03,   0.20196190E+02,   0.38861923E+02
1986, 9,   0.24187429E+03,   0.19200498E+03,   0.30073015E+03,   0.14913452E+02,   0.27776406E+02
1986,10,   0.13088696E+03,   0.10552372E+03,   0.16049906E+03,   0.89681645E+01,   0.14042135E+02
1986,11,   0.68377123E+03,   0.54750420E+03,   0.84362870E+03,   0.39343655E+02,   0.75644013E+02
1986,12,   0.53961919E+04,   0.37523211E+04,   0.75199662E+04,   0.29676009E+03,   0.96455424E+03
1987, 1,   0.32632688E+04,   0.24644504E+04,   0.42390790E+04,   0.17615127E+03,   0.45368040E+03
1987, 2,   0.47440823E+04,   0.38061000E+04,   0.58429442E+04,   0.25290872E+03,   0.52029289E+03
1987, 3,   0.71606875E+04,   0.50804461E+04,   0.98121179E+04,   0.37236115E+03,   0.12108979E+04
1987, 4,   0.25961263E+05,   0.17511300E+05,   0.37102251E+05,   0.15607021E+04,   0.50185414E+04
1987, 5,   0.35475296E+04,   0.28531826E+04,   0.43595641E+04,   0.17857237E+03,   0.38477991E+03
1987, 6,   0.18881893E+04,   0.14551096E+04,   0.24099146E+04,   0.95734861E+02,   0.24402271E+03
1987, 7,   0.36893997E+03,   0.29785921E+03,   0.45184796E+03,   0.19649430E+02,   0.39332104E+02
1987, 8,   0.18614869E+03,   0.14338465E+03,   0.23768296E+03,   0.10305850E+02,   0.24100293E+02
1987, 9,   0.14215041E+05,   0.99667525E+04,   0.19673150E+05,   0.84626091E+03,   0.24845416E+04
1987,10,   0.85426715E+03,   0.70157555E+03,   0.10302453E+04,   0.42640774E+02,   0.83933543E+02
1987,11,   0.88656383E+04,   0.45424851E+04,   0.15661358E+05,   0.53536084E+03,   0.28705247E+04
1987,12,   0.57078655E+04,   0.44797927E+04,   0.71687313E+04,   0.26859168E+03,   0.68705192E+03
1988, 1,   0.66145163E+04,   0.47454150E+04,   0.89790068E+04,   0.30114698E+03,   0.10832165E+04
1988, 2,   0.43577311E+04,   0.35190636E+04,   0.53357703E+04,   0.19796850E+03,   0.46402539E+03
1988, 3,   0.26968914E+04,   0.20407321E+04,   0.34973514E+04,   0.11916049E+03,   0.37237099E+03
1988, 4,   0.25557577E+04,   0.20868091E+04,   0.30984265E+04,   0.11292762E+03,   0.25835648E+03
1988, 5,   0.14323987E+05,   0.11130480E+05,   0.18149197E+05,   0.63112872E+03,   0.17935928E+04
1988, 6,   0.15576199E+04,   0.12685836E+04,   0.18926906E+04,   0.68471229E+02,   0.15939485E+03
1988, 7,   0.63712158E+03,   0.50553510E+03,   0.79246841E+03,   0.28524745E+02,   0.73304280E+02
1988, 8,   0.20309201E+03,   0.16673724E+03,   0.24500069E+03,   0.10088644E+02,   0.19986482E+02
1988, 9,   0.20189534E+03,   0.16474929E+03,   0.24489930E+03,   0.98352093E+01,   0.20469608E+02
1988,10,   0.16703471E+03,   0.13502770E+03,   0.20433373E+03,   0.85198765E+01,   0.17702017E+02
1988,11,   0.85105969E+03,   0.66531774E+03,   0.10726164E+04,   0.36132325E+02,   0.10407444E+03
1988,12,   0.50617252E+03,   0.41911989E+03,   0.60592511E+03,   0.23531977E+02,   0.47701032E+02
1989, 1,   0.13053816E+04,   0.10255051E+04,   0.16380902E+04,   0.55587883E+02,   0.15651997E+03
1989, 2,   0.15769419E+04,   0.11952262E+04,   0.20420794E+04,   0.65502907E+02,   0.21648476E+03
1989, 3,   0.62381286E+04,   0.47747154E+04,   0.80093768E+04,   0.23399241E+03,   0.82677264E+03
1989, 4,   0.27392346E+04,   0.22516897E+04,   0.33007715E+04,   0.10575937E+03,   0.26790513E+03
1989, 5,   0.30383031E+05,   0.20173538E+05,   0.43985331E+05,   0.17005347E+04,   0.61018241E+04
1989, 6,   0.85456180E+04,   0.61477648E+04,   0.11573346E+05,   0.34629221E+03,   0.13881343E+04
1989, 7,   0.61249846E+04,   0.47081515E+04,   0.78348218E+04,   0.26567216E+03,   0.79912198E+03
1989, 8,   0.23491064E+04,   0.18367758E+04,   0.29601423E+04,   0.10077227E+03,   0.28704598E+03
1989, 9,   0.21995943E+04,   0.16777336E+04,   0.28327468E+04,   0.94317457E+02,   0.29523372E+03
1989,10,   0.80005812E+04,   0.59715244E+04,   0.10499244E+05,   0.35184127E+03,   0.11577110E+04
1989,11,   0.33943125E+04,   0.27669953E+04,   0.41210740E+04,   0.13415708E+03,   0.34582368E+03
1989,12,   0.18453611E+04,   0.15476245E+04,   0.21834778E+04,   0.71415868E+02,   0.16234574E+03
1990, 1,   0.82997261E+04,   0.65129888E+04,   0.10425386E+05,   0.29771376E+03,   0.99966043E+03
1990, 2,   0.56545314E+04,   0.46547855E+04,   0.68048422E+04,   0.20271148E+03,   0.54905392E+03
1990, 3,   0.37199482E+04,   0.30733179E+04,   0.44620780E+04,   0.13285416E+03,   0.35463040E+03
1990, 4,   0.73957853E+04,   0.60100258E+04,   0.90047561E+04,   0.24722215E+03,   0.76486306E+03
1990, 5,   0.92946949E+04,   0.68522830E+04,   0.12327849E+05,   0.33373959E+03,   0.14003448E+04
1990, 6,   0.22876293E+04,   0.18549517E+04,   0.27907660E+04,   0.82409841E+02,   0.23901562E+03
1990, 7,   0.28920469E+04,   0.20428274E+04,   0.39776749E+04,   0.11351763E+03,   0.49519342E+03
1990, 8,   0.11832577E+04,   0.95918557E+03,   0.14438706E+04,   0.46860218E+02,   0.12379343E+03
1990, 9,   0.80509869E+03,   0.65309047E+03,   0.98181014E+03,   0.31136891E+02,   0.83957652E+02
1990,10,   0.14816092E+05,   0.10459521E+05,   0.20387604E+05,   0.70368506E+03,   0.25409616E+04
1990,11,   0.37105266E+04,   0.27496502E+04,   0.48996146E+04,   0.13807996E+03,   0.54979545E+03
1990,12,   0.55162254E+04,   0.42512439E+04,   0.70400742E+04,   0.19208994E+03,   0.71275008E+03
1991, 1,   0.14956066E+05,   0.11063945E+05,   0.19778255E+05,   0.56584895E+03,   0.22285115E+04
1991, 2,   0.24714463E+04,   0.20574702E+04,   0.29440183E+04,   0.91359467E+02,   0.22636929E+03
1991, 3,   0.78085094E+04,   0.61957609E+04,   0.97124768E+04,   0.25473421E+03,   0.89843295E+03
1991, 4,   0.44021433E+04,   0.36662064E+04,   0.52420156E+04,   0.14569204E+03,   0.40236215E+03
1991, 5,   0.19702553E+04,   0.16437655E+04,   0.23423927E+04,   0.68079714E+02,   0.17838218E+03
1991, 6,   0.14587905E+04,   0.11351009E+04,   0.18461437E+04,   0.51023360E+02,   0.18169956E+03
1991, 7,   0.12764201E+04,   0.96306665E+03,   0.16594470E+04,   0.46824815E+02,   0.17803080E+03
1991, 8,   0.32658053E+03,   0.26243600E+03,   0.40164181E+03,   0.12512651E+02,   0.35558146E+02
1991, 9,   0.13807044E+03,   0.11419455E+03,   0.16545149E+03,   0.64220460E+01,   0.13088699E+02
1991,10,   0.12101019E+03,   0.99802322E+02,   0.14537985E+03,   0.60144375E+01,   0.11638774E+02
1991,11,   0.34306855E+03,   0.27005890E+03,   0.42973864E+03,   0.13444716E+02,   0.40798274E+02
1991,12,   0.29162963E+04,   0.22323653E+04,   0.37440420E+04,   0.10072831E+03,   0.38638087E+03
1992, 1,   0.31868114E+04,   0.24214703E+04,   0.41178094E+04,   0.10914286E+03,   0.43362655E+03
1992, 2,   0.31260509E+04,   0.21989199E+04,   0.43146152E+04,   0.10538871E+03,   0.54152048E+03
1992, 3,   0.60755284E+04,   0.47760189E+04,   0.76196506E+04,   0.19914759E+03,   0.72656250E+03
1992, 4,   0.86533250E+04,   0.57204702E+04,   0.12572163E+05,   0.33052633E+03,   0.17559290E+04
1992, 5,   0.32759480E+04,   0.26544787E+04,   0.39989748E+04,   0.10887467E+03,   0.34339943E+03
1992, 6,   0.63539597E+04,   0.43070252E+04,   0.90439371E+04,   0.23407710E+03,   0.12133131E+04
1992, 7,   0.19571093E+04,   0.13564536E+04,   0.27348234E+04,   0.74560358E+02,   0.35289863E+03
1992, 8,   0.11317389E+04,   0.92010825E+03,   0.13773785E+04,   0.44010236E+02,   0.11678759E+03
1992, 9,   0.32349502E+04,   0.25284448E+04,   0.40777957E+04,   0.13511404E+03,   0.39589682E+03
1992,10,   0.14897637E+04,   0.11882676E+04,   0.18444091E+04,   0.57259304E+02,   0.16761695E+03
1992,11,   0.12500053E+05,   0.92233022E+04,   0.16566955E+05,   0.50102567E+03,   0.18780710E+04
1992,12,   0.18930015E+05,   0.12848583E+05,   0.26914924E+05,   0.88428446E+03,   0.36028565E+04
1993, 1,   0.10089572E+05,   0.82076761E+04,   0.12272990E+05,   0.34900486E+03,   0.10382812E+04
1993, 2,   0.52138167E+04,   0.42207368E+04,   0.63699437E+04,   0.17938769E+03,   0.54893754E+03
1993, 3,   0.41415611E+05,   0.29586220E+05,   0.56423459E+05,   0.22112536E+04,   0.68671571E+04
1993, 4,   0.19493650E+05,   0.15421021E+05,   0.24311752E+05,   0.70422336E+03,   0.22714448E+04
1993, 5,   0.55001263E+04,   0.44930183E+04,   0.66651739E+04,   0.18418201E+03,   0.55474291E+03
1993, 6,   0.15400764E+04,   0.12713221E+04,   0.18487009E+04,   0.55669253E+02,   0.14743931E+03
1993, 7,   0.74812351E+03,   0.61090119E+03,   0.90690873E+03,   0.28054959E+02,   0.75597153E+02
1993, 8,   0.39742162E+03,   0.31243038E+03,   0.49840796E+03,   0.15181750E+02,   0.47518199E+02
1993, 9,   0.21649655E+03,   0.17844801E+03,   0.26023585E+03,   0.88973895E+01,   0.20885650E+02
1993,10,   0.22665227E+03,   0.18846028E+03,   0.27028710E+03,   0.94615753E+01,   0.20893734E+02
1993,11,   0.12855303E+05,   0.68223733E+04,   0.22134989E+05,   0.83143557E+03,   0.39483535E+04
