CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.20399313E+04,   0.91268769E+03,   0.39626027E+04,   0.28805622E+03,   0.79166847E+03
1986,   0.20012776E+03,   0.14598427E+03,   0.26785349E+03,   0.18811412E+02,   0.31172813E+02
1987,   0.11476379E+04,   0.69043209E+03,   0.17972959E+04,   0.10333837E+03,   0.28431741E+03
1988,   0.29402116E+03,   0.20904839E+03,   0.40217074E+03,   0.18992848E+02,   0.49420679E+02
1989,   0.12341650E+04,   0.63684316E+03,   0.21690359E+04,   0.10175801E+03,   0.39546120E+03
1990,   0.73095515E+03,   0.51385023E+03,   0.10093949E+04,   0.38668438E+02,   0.12683806E+03
1991,   0.33209840E+03,   0.21182397E+03,   0.49663541E+03,   0.16696926E+02,   0.73050293E+02
1992,   0.94027829E+03,   0.59462256E+03,   0.14157976E+04,   0.58429533E+02,   0.21066377E+03
1993,   0.17814447E+04,   0.10110089E+04,   0.29177141E+04,   0.15461961E+03,   0.49058750E+03
1994,   0.10007226E+04,   0.71970774E+03,   0.13556277E+04,   0.59145227E+02,   0.16270092E+03
1995,   0.17743226E+04,   0.78203660E+03,   0.34818101E+04,   0.19173703E+03,   0.70125055E+03
1996,   0.33106791E+04,   0.17783662E+04,   0.56499863E+04,   0.33547383E+03,   0.99789053E+03
1997,   0.41979570E+03,   0.24272170E+03,   0.67788273E+03,   0.22355151E+02,   0.11190334E+03
1998,   0.17881854E+04,   0.11704537E+04,   0.26190121E+04,   0.15182280E+03,   0.37131342E+03
1999,   0.35687656E+03,   0.16572718E+03,   0.67578554E+03,   0.24478375E+02,   0.13218459E+03
2000,   0.14593848E+03,   0.12039323E+03,   0.17528677E+03,   0.67617114E+01,   0.14017693E+02
2001,   0.26730824E+03,   0.18068455E+03,   0.38135851E+03,   0.15034600E+02,   0.51403647E+02
2002,   0.16482619E+03,   0.11821036E+03,   0.22381062E+03,   0.11320608E+02,   0.27019285E+02
2003,   0.25828885E+04,   0.18199423E+04,   0.35598524E+04,   0.23604021E+03,   0.44532269E+03
2004,   0.90769556E+03,   0.51443014E+03,   0.14882034E+04,   0.93034385E+02,   0.25055829E+03
