YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.30961632E+03,   0.18718559E+03,   0.48303261E+03,   0.39501990E+02,   0.75983492E+02
1985, 2,   0.22190955E+04,   0.93648789E+03,   0.44828199E+04,   0.28996521E+03,   0.92299821E+03
1985, 3,   0.20352121E+03,   0.13619894E+03,   0.29274999E+03,   0.25087457E+02,   0.40109773E+02
1985, 4,   0.11763260E+03,   0.80362511E+02,   0.16635665E+03,   0.14389208E+02,   0.22023038E+02
1985, 5,   0.94724699E+02,   0.63819399E+02,   0.13550368E+03,   0.11340472E+02,   0.18363541E+02
1985, 6,   0.13588977E+03,   0.85750002E+02,   0.20496443E+03,   0.16008739E+02,   0.30584806E+02
1985, 7,   0.32587917E+02,   0.20759325E+02,   0.48783043E+02,   0.38687305E+01,   0.71879235E+01
1985, 8,   0.18390390E+03,   0.59033812E+02,   0.44047919E+03,   0.22036097E+02,   0.10083498E+03
1985, 9,   0.12758462E+02,   0.86163793E+01,   0.18215193E+02,   0.15844291E+01,   0.24588296E+01
1985,10,   0.48904581E+03,   0.19883017E+03,   0.10123849E+04,   0.57357214E+02,   0.21212959E+03
1985,11,   0.20156951E+05,   0.76309575E+04,   0.43676684E+05,   0.30601344E+04,   0.94339810E+04
1985,12,   0.93638435E+03,   0.42322901E+03,   0.18064009E+04,   0.10443245E+03,   0.35887104E+03
1986, 1,   0.17171723E+03,   0.11416426E+03,   0.24833007E+03,   0.18498875E+02,   0.34379312E+02
1986, 2,   0.49797200E+03,   0.34177962E+03,   0.70153415E+03,   0.51943139E+02,   0.92124295E+02
1986, 3,   0.57412747E+03,   0.31177356E+03,   0.97193963E+03,   0.58311879E+02,   0.17009345E+03
1986, 4,   0.35045132E+03,   0.22392441E+03,   0.52334219E+03,   0.34875315E+02,   0.76793403E+02
1986, 5,   0.10219184E+03,   0.72051051E+02,   0.14077128E+03,   0.10284984E+02,   0.17588449E+02
1986, 6,   0.29522752E+02,   0.20079542E+02,   0.41904700E+02,   0.30569957E+01,   0.55899116E+01
1986, 7,   0.30951558E+02,   0.20924255E+02,   0.44152492E+02,   0.31187533E+01,   0.59500134E+01
1986, 8,   0.24954893E+02,   0.16532201E+02,   0.36193307E+02,   0.25059332E+01,   0.50384477E+01
1986, 9,   0.17814000E+02,   0.11982058E+02,   0.25517620E+02,   0.18176673E+01,   0.34675591E+01
1986,10,   0.87756799E+01,   0.60970433E+01,   0.12238304E+02,   0.99880553E+00,   0.15722493E+01
1986,11,   0.40750366E+02,   0.27725373E+02,   0.57824852E+02,   0.39061690E+01,   0.77090967E+01
1986,12,   0.56945115E+03,   0.24701660E+03,   0.11294918E+04,   0.52513539E+02,   0.22938433E+03
1987, 1,   0.21871318E+03,   0.11765275E+03,   0.37285934E+03,   0.19466544E+02,   0.65775073E+02
1987, 2,   0.29208983E+03,   0.19597301E+03,   0.41926579E+03,   0.25739540E+02,   0.57206481E+02
1987, 3,   0.69710511E+03,   0.32268695E+03,   0.13229709E+04,   0.60947955E+02,   0.25926425E+03
1987, 4,   0.57620574E+04,   0.22736740E+04,   0.12160756E+05,   0.63723923E+03,   0.25819429E+04
1987, 5,   0.26237021E+03,   0.17409731E+03,   0.38002689E+03,   0.21604885E+02,   0.52770628E+02
1987, 6,   0.14980534E+03,   0.89107173E+02,   0.23668490E+03,   0.12367796E+02,   0.37919672E+02
1987, 7,   0.26052114E+02,   0.18061297E+02,   0.36396574E+02,   0.22773188E+01,   0.46942846E+01
1987, 8,   0.14268119E+02,   0.90313996E+01,   0.21467916E+02,   0.12979724E+01,   0.31903847E+01
1987, 9,   0.34999035E+04,   0.16646511E+04,   0.65182380E+04,   0.34907068E+03,   0.12565989E+04
1987,10,   0.60856690E+02,   0.43301537E+02,   0.83188771E+02,   0.50226341E+01,   0.10207142E+02
1987,11,   0.24362442E+04,   0.61686264E+03,   0.66575652E+04,   0.26293191E+03,   0.16256021E+04
1987,12,   0.50350516E+03,   0.29764772E+03,   0.79932745E+03,   0.39215899E+02,   0.12892730E+03
1988, 1,   0.65461053E+03,   0.29888067E+03,   0.12541183E+04,   0.50213906E+02,   0.24773311E+03
1988, 2,   0.27094150E+03,   0.18043248E+03,   0.39129173E+03,   0.20240568E+02,   0.54029679E+02
1988, 3,   0.17626477E+03,   0.93990981E+02,   0.30244238E+03,   0.12627412E+02,   0.53740480E+02
1988, 4,   0.15284253E+03,   0.10610836E+03,   0.21328601E+03,   0.11091336E+02,   0.27439395E+02
1988, 5,   0.19581631E+04,   0.11646814E+04,   0.30939485E+04,   0.14313885E+03,   0.49572050E+03
1988, 6,   0.11340663E+03,   0.79345944E+02,   0.15722936E+03,   0.81162850E+01,   0.19936576E+02
1988, 7,   0.50081467E+02,   0.33068484E+02,   0.72831674E+02,   0.36467272E+01,   0.10190642E+02
1988, 8,   0.15282495E+02,   0.10922652E+02,   0.20811998E+02,   0.12471318E+01,   0.25304805E+01
1988, 9,   0.14976884E+02,   0.10575589E+02,   0.20604676E+02,   0.12031890E+01,   0.25668009E+01
1988,10,   0.11268595E+02,   0.78553359E+01,   0.15670937E+02,   0.95184050E+00,   0.20007750E+01
1988,11,   0.55788569E+02,   0.35557460E+02,   0.83478461E+02,   0.39134613E+01,   0.12291308E+02
1988,12,   0.26070994E+02,   0.18836975E+02,   0.35178521E+02,   0.19978032E+01,   0.41806679E+01
1989, 1,   0.71310804E+02,   0.44555467E+02,   0.10840876E+03,   0.49439473E+01,   0.16385749E+02
1989, 2,   0.87991058E+02,   0.50370483E+02,   0.14317217E+03,   0.58944443E+01,   0.23871317E+02
1989, 3,   0.53351344E+03,   0.30004551E+03,   0.87982212E+03,   0.32857802E+02,   0.14921535E+03
1989, 4,   0.16939669E+03,   0.11920007E+03,   0.23373201E+03,   0.10689586E+02,   0.29314699E+02
1989, 5,   0.93716486E+04,   0.34094386E+04,   0.20817753E+05,   0.10330534E+04,   0.45663562E+04
1989, 6,   0.13478816E+04,   0.61247963E+03,   0.25907644E+04,   0.92913871E+02,   0.51315746E+03
1989, 7,   0.86856095E+03,   0.50429687E+03,   0.13980680E+04,   0.61133034E+02,   0.22980881E+03
1989, 8,   0.24806510E+03,   0.14860175E+03,   0.38978519E+03,   0.17089936E+02,   0.61959384E+02
1989, 9,   0.23413562E+03,   0.13538228E+03,   0.37806454E+03,   0.16311321E+02,   0.62406580E+02
1989,10,   0.12788016E+04,   0.68537936E+03,   0.21860194E+04,   0.93373834E+02,   0.38681138E+03
1989,11,   0.28312464E+03,   0.19227112E+03,   0.40237271E+03,   0.18245033E+02,   0.53813397E+02
1989,12,   0.11101276E+03,   0.82153222E+02,   0.14675969E+03,   0.70402444E+01,   0.16521723E+02
1990, 1,   0.78715264E+03,   0.46099306E+03,   0.12586654E+04,   0.46451691E+02,   0.20504886E+03
1990, 2,   0.37952244E+03,   0.26779704E+03,   0.52245181E+03,   0.22074883E+02,   0.65176106E+02
1990, 3,   0.23113565E+03,   0.16312511E+03,   0.31812943E+03,   0.13378258E+02,   0.39671516E+02
1990, 4,   0.62654889E+03,   0.42117179E+03,   0.89794906E+03,   0.34084871E+02,   0.12214304E+03
1990, 5,   0.13437569E+04,   0.67267073E+03,   0.24137917E+04,   0.83409061E+02,   0.44988319E+03
1990, 6,   0.18687997E+03,   0.12743896E+03,   0.26468252E+03,   0.10844656E+02,   0.35149266E+02
1990, 7,   0.38247234E+03,   0.17189630E+03,   0.74068348E+03,   0.24632933E+02,   0.14761118E+03
1990, 8,   0.10544418E+03,   0.71751352E+02,   0.14960799E+03,   0.67219435E+01,   0.19940632E+02
1990, 9,   0.66049480E+02,   0.45091138E+02,   0.93461610E+02,   0.41414675E+01,   0.12387819E+02
1990,10,   0.36585257E+04,   0.17115309E+04,   0.68925667E+04,   0.30194100E+03,   0.13422836E+04
1990,11,   0.40055474E+03,   0.19724277E+03,   0.72799352E+03,   0.24592038E+02,   0.13722447E+03
1990,12,   0.51638396E+03,   0.29045519E+03,   0.85147811E+03,   0.29203443E+02,   0.14438811E+03
1991, 1,   0.21300124E+04,   0.95019952E+03,   0.41458320E+04,   0.14719569E+03,   0.82960002E+03
1991, 2,   0.13310283E+03,   0.97229596E+02,   0.17793209E+03,   0.79468661E+01,   0.20642325E+02
1991, 3,   0.69052904E+03,   0.42117732E+03,   0.10698827E+04,   0.36623984E+02,   0.16657049E+03
1991, 4,   0.30570376E+03,   0.22177817E+03,   0.41107413E+03,   0.16413459E+02,   0.48424325E+02
1991, 5,   0.13088197E+03,   0.95670958E+02,   0.17486378E+03,   0.73450137E+01,   0.20255952E+02
1991, 6,   0.12079509E+03,   0.72684086E+02,   0.18915004E+03,   0.68071184E+01,   0.29916188E+02
1991, 7,   0.12076214E+03,   0.69050946E+02,   0.19666637E+03,   0.71374915E+01,   0.32827553E+02
1991, 8,   0.25520260E+02,   0.17368442E+02,   0.36204361E+02,   0.15794545E+01,   0.48242373E+01
1991, 9,   0.10287227E+02,   0.74573554E+01,   0.13842032E+02,   0.77764086E+00,   0.16333031E+01
1991,10,   0.82764385E+01,   0.59716502E+01,   0.11180865E+02,   0.66703125E+00,   0.13327086E+01
1991,11,   0.20827612E+02,   0.13579056E+02,   0.30602009E+02,   0.13201922E+01,   0.43639335E+01
1991,12,   0.24113476E+03,   0.14181029E+03,   0.38434072E+03,   0.13431024E+02,   0.62337267E+02
1992, 1,   0.24444997E+03,   0.13021144E+03,   0.41976542E+03,   0.13341875E+02,   0.74652064E+02
1992, 2,   0.25460539E+03,   0.11932843E+03,   0.47905945E+03,   0.13703978E+02,   0.93190713E+02
1992, 3,   0.50063674E+03,   0.29504991E+03,   0.79664816E+03,   0.26442428E+02,   0.12891739E+03
1992, 4,   0.14268368E+04,   0.57178888E+03,   0.29815079E+04,   0.99018418E+02,   0.62877969E+03
1992, 5,   0.26031620E+03,   0.17224919E+03,   0.37791710E+03,   0.13952686E+02,   0.52706804E+02
1992, 6,   0.10540851E+04,   0.39323186E+03,   0.23051907E+04,   0.69113966E+02,   0.50081009E+03
1992, 7,   0.24463898E+03,   0.10160087E+03,   0.49944079E+03,   0.15456080E+02,   0.10362526E+03
1992, 8,   0.10017150E+03,   0.68902556E+02,   0.14086411E+03,   0.62491195E+01,   0.18426785E+02
1992, 9,   0.38328215E+03,   0.23703601E+03,   0.58741620E+03,   0.25805319E+02,   0.89936233E+02
1992,10,   0.12944447E+03,   0.82839784E+02,   0.19306133E+03,   0.80600367E+01,   0.28268104E+02
1992,11,   0.21315502E+04,   0.98249598E+03,   0.40571484E+04,   0.14914285E+03,   0.79706408E+03
1992,12,   0.45489121E+04,   0.16972768E+04,   0.99470334E+04,   0.41792778E+03,   0.21608849E+04
1993, 1,   0.95552610E+03,   0.62774513E+03,   0.13953101E+04,   0.53285398E+02,   0.19673608E+03
1993, 2,   0.36488676E+03,   0.24301380E+03,   0.52693344E+03,   0.19984977E+02,   0.72750243E+02
1993, 3,   0.10578650E+05,   0.40653119E+04,   0.22706016E+05,   0.11572166E+04,   0.48747191E+04
1993, 4,   0.26793927E+04,   0.15525512E+04,   0.43195159E+04,   0.16743754E+03,   0.71149092E+03
1993, 5,   0.49510253E+03,   0.33241417E+03,   0.71026172E+03,   0.26817989E+02,   0.96801198E+02
1993, 6,   0.11491042E+03,   0.82348014E+02,   0.15613418E+03,   0.67079632E+01,   0.18879467E+02
1993, 7,   0.57673442E+02,   0.40360776E+02,   0.79944692E+02,   0.34808415E+01,   0.10132637E+02
1993, 8,   0.31952156E+02,   0.20443050E+02,   0.47665054E+02,   0.19613388E+01,   0.69815666E+01
1993, 9,   0.15847610E+02,   0.11416535E+02,   0.21437447E+02,   0.10544195E+01,   0.25637876E+01
1993,10,   0.15082749E+02,   0.11028773E+02,   0.20145378E+02,   0.10185032E+01,   0.23318337E+01
1993,11,   0.48785651E+04,   0.14994099E+04,   0.11983194E+05,   0.53053874E+03,   0.27795825E+04
1993,12,   0.10708200E+04,   0.48999283E+03,   0.20484001E+04,   0.69720907E+02,   0.40412207E+03
1994, 1,   0.96937426E+03,   0.54072580E+03,   0.16084905E+04,   0.56087742E+02,   0.27487693E+03
1994, 2,   0.20122974E+04,   0.97490975E+03,   0.36995838E+04,   0.13452971E+03,   0.70490345E+03
1994, 3,   0.51890645E+04,   0.30769287E+04,   0.82183075E+04,   0.38732141E+03,   0.13211767E+04
1994, 4,   0.56156360E+03,   0.38407794E+03,   0.79341844E+03,   0.30419735E+02,   0.10482940E+03
1994, 5,   0.14328507E+03,   0.10269377E+03,   0.19466938E+03,   0.82468054E+01,   0.23533504E+02
1994, 6,   0.50688227E+02,   0.36535290E+02,   0.68535735E+02,   0.30952789E+01,   0.81870367E+01
1994, 7,   0.10618214E+04,   0.37674768E+03,   0.23952835E+04,   0.81946166E+02,   0.53025463E+03
1994, 8,   0.17702728E+04,   0.59587000E+03,   0.41227652E+04,   0.14999698E+03,   0.92947868E+03
1994, 9,   0.70758916E+02,   0.48844259E+02,   0.99210470E+02,   0.44879069E+01,   0.12896084E+02
1994,10,   0.32863955E+02,   0.24332781E+02,   0.43427456E+02,   0.20477993E+01,   0.48830150E+01
1994,11,   0.43516704E+02,   0.31436736E+02,   0.58726924E+02,   0.26822971E+01,   0.69816861E+01
1994,12,   0.95369153E+02,   0.64958061E+02,   0.13520579E+03,   0.57291481E+01,   0.17991485E+02
1995, 1,   0.82497473E+03,   0.37502874E+03,   0.15852252E+04,   0.50661591E+02,   0.31391334E+03
1995, 2,   0.13651686E+03,   0.98138544E+02,   0.18500071E+03,   0.82466082E+01,   0.22223963E+02
1995, 3,   0.45011425E+03,   0.18750333E+03,   0.91710151E+03,   0.26291508E+02,   0.19001024E+03
1995, 4,   0.74701382E+02,   0.54649698E+02,   0.99733712E+02,   0.46219365E+01,   0.11531437E+02
1995, 5,   0.15352155E+03,   0.10983361E+03,   0.20889284E+03,   0.89507850E+01,   0.25346772E+02
1995, 6,   0.16969416E+05,   0.60161681E+04,   0.38298705E+05,   0.22217676E+04,   0.84807877E+04
1995, 7,   0.10451396E+04,   0.54014496E+03,   0.18347508E+04,   0.70718259E+02,   0.33412116E+03
1995, 8,   0.10288180E+03,   0.61164938E+02,   0.16261222E+03,   0.66819864E+01,   0.26066954E+02
1995, 9,   0.23139005E+02,   0.16447286E+02,   0.31657499E+02,   0.14645570E+01,   0.38923654E+01
1995,10,   0.59210098E+03,   0.25194856E+03,   0.11895762E+04,   0.41394835E+02,   0.24393902E+03
1995,11,   0.68384744E+03,   0.38338138E+03,   0.11304242E+04,   0.43433112E+02,   0.19228280E+03
1995,12,   0.42069108E+03,   0.25390310E+03,   0.65719784E+03,   0.24562989E+02,   0.10358443E+03
