CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1988,   0.24218361E+06,   0.90690414E+05,   0.52838015E+06,   0.35976415E+05,   0.11462234E+06
1989,   0.22033457E+07,   0.34091121E+06,   0.76044388E+07,   0.44653101E+06,   0.20582727E+07
1990,   0.62954366E+06,   0.22643885E+06,   0.14082960E+07,   0.71566433E+05,   0.31021619E+06
1991,   0.24547772E+06,   0.54446854E+05,   0.71788847E+06,   0.27819815E+05,   0.18066902E+06
1992,   0.97469645E+06,   0.27176097E+06,   0.25288782E+07,   0.13080040E+06,   0.60271270E+06
1993,   0.26504176E+07,   0.55614790E+06,   0.79651394E+07,   0.51229596E+06,   0.20285432E+07
1994,   0.10045107E+07,   0.42587777E+06,   0.20230326E+07,   0.11945765E+06,   0.41559759E+06
1995,   0.37698934E+07,   0.57762015E+06,   0.13065060E+08,   0.87232248E+06,   0.35429670E+07
1996,   0.58759885E+07,   0.12108402E+07,   0.17814144E+08,   0.13146392E+07,   0.45541774E+07
1997,   0.33618830E+06,   0.57770616E+05,   0.11085968E+07,   0.42754516E+05,   0.29399769E+06
1998,   0.24566556E+07,   0.87897110E+06,   0.55134510E+07,   0.42513254E+06,   0.12168436E+07
1999,   0.38518991E+06,   0.51618003E+05,   0.14103494E+07,   0.58500300E+05,   0.39245599E+06
2000,   0.56436049E+05,   0.32830881E+05,   0.90707074E+05,   0.46596062E+04,   0.14880451E+05
2001,   0.21766508E+06,   0.66522137E+05,   0.53638260E+06,   0.23777529E+05,   0.12462388E+06
2002,   0.94935451E+05,   0.39407641E+05,   0.19387913E+06,   0.11594336E+05,   0.40236143E+05
2003,   0.37240061E+07,   0.15190653E+07,   0.76926081E+07,   0.63224715E+06,   0.16094489E+07
2004,   0.12408021E+07,   0.22528544E+06,   0.39915012E+07,   0.24363837E+06,   0.10470825E+07
