CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.14773308E+05,   0.13426767E+05,   0.16217217E+05,   0.58524162E+03,   0.71203124E+03
1986,   0.14266611E+05,   0.13093958E+05,   0.15515191E+05,   0.48261912E+03,   0.61778858E+03
1987,   0.11760528E+05,   0.10891758E+05,   0.12679520E+05,   0.34818716E+03,   0.45613718E+03
1988,   0.98824735E+04,   0.91719328E+04,   0.10632931E+05,   0.26816812E+03,   0.37276183E+03
1989,   0.15640482E+05,   0.14559492E+05,   0.16779720E+05,   0.44297976E+03,   0.56646640E+03
1990,   0.15764097E+05,   0.14657471E+05,   0.16931341E+05,   0.45015115E+03,   0.58015504E+03
1991,   0.10668562E+05,   0.98681856E+04,   0.11515971E+05,   0.30602321E+03,   0.42042516E+03
1992,   0.77954360E+04,   0.72200107E+04,   0.84040994E+04,   0.23025859E+03,   0.30211327E+03
1993,   0.16841780E+05,   0.15504337E+05,   0.18262702E+05,   0.51556345E+03,   0.70379939E+03
1994,   0.15649230E+05,   0.14437462E+05,   0.16934632E+05,   0.46874271E+03,   0.63714890E+03
1995,   0.10603780E+05,   0.98144266E+04,   0.11439136E+05,   0.31993829E+03,   0.41453635E+03
1996,   0.26449231E+05,   0.24540852E+05,   0.28465218E+05,   0.79354453E+03,   0.10012713E+04
1997,   0.13844016E+05,   0.12862068E+05,   0.14880342E+05,   0.37154580E+03,   0.51494418E+03
1998,   0.17124334E+05,   0.15944436E+05,   0.18367604E+05,   0.43634131E+03,   0.61824337E+03
1999,   0.98077800E+04,   0.91635943E+04,   0.10484864E+05,   0.22513978E+03,   0.33710241E+03
2000,   0.97110621E+04,   0.91088449E+04,   0.10342234E+05,   0.20970307E+03,   0.31467646E+03
2001,   0.78159816E+04,   0.72977849E+04,   0.83609049E+04,   0.17209949E+03,   0.27123992E+03
2002,   0.10494984E+05,   0.98519100E+04,   0.11168592E+05,   0.21547159E+03,   0.33592600E+03
2003,   0.29442168E+05,   0.27614031E+05,   0.31358320E+05,   0.72144340E+03,   0.95528621E+03
2004,   0.27223504E+05,   0.25239549E+05,   0.29320517E+05,   0.83728419E+03,   0.10412303E+04
