YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.97234606E+04,   0.82814891E+04,   0.11343213E+05,   0.48647136E+03,   0.78160765E+03
1985, 2,   0.25275992E+05,   0.21001239E+05,   0.30162509E+05,   0.11394062E+04,   0.23392644E+04
1985, 3,   0.24388643E+05,   0.20703762E+05,   0.28537476E+05,   0.10740972E+04,   0.19998757E+04
1985, 4,   0.28526329E+05,   0.23952989E+05,   0.33715453E+05,   0.12609560E+04,   0.24925186E+04
1985, 5,   0.14375958E+05,   0.12161989E+05,   0.16874757E+05,   0.65205028E+03,   0.12031639E+04
1985, 6,   0.56497433E+04,   0.48442244E+04,   0.65502862E+04,   0.26525652E+03,   0.43550444E+03
1985, 7,   0.24609917E+04,   0.21146692E+04,   0.28475755E+04,   0.12216439E+03,   0.18708478E+03
1985, 8,   0.15177691E+04,   0.12961347E+04,   0.17662589E+04,   0.82440075E+02,   0.12001218E+03
1985, 9,   0.14547358E+04,   0.12385015E+04,   0.16976991E+04,   0.80301588E+02,   0.11722599E+03
1985,10,   0.17176748E+04,   0.14651137E+04,   0.20010767E+04,   0.93213965E+02,   0.13682074E+03
1985,11,   0.37523198E+05,   0.31519189E+05,   0.44333837E+05,   0.16849237E+04,   0.32717802E+04
1985,12,   0.26135159E+05,   0.22194377E+05,   0.30570983E+05,   0.11270519E+04,   0.21384642E+04
1986, 1,   0.90251565E+04,   0.76544700E+04,   0.10569432E+05,   0.39146896E+03,   0.74416936E+03
1986, 2,   0.39377890E+05,   0.33417857E+05,   0.46089815E+05,   0.15335447E+04,   0.32350445E+04
1986, 3,   0.33639433E+05,   0.28428132E+05,   0.39525666E+05,   0.13004305E+04,   0.28332147E+04
1986, 4,   0.18430352E+05,   0.15603465E+05,   0.21619264E+05,   0.70383649E+03,   0.15358159E+04
1986, 5,   0.73491071E+04,   0.63065668E+04,   0.85139401E+04,   0.30092441E+03,   0.56346971E+03
1986, 6,   0.68092773E+04,   0.58293711E+04,   0.79059887E+04,   0.28652123E+03,   0.53010274E+03
1986, 7,   0.45183705E+04,   0.38873166E+04,   0.52221696E+04,   0.18958516E+03,   0.34073681E+03
1986, 8,   0.26470412E+04,   0.22892983E+04,   0.30445401E+04,   0.11239522E+03,   0.19277614E+03
1986, 9,   0.10187790E+04,   0.86454952E+03,   0.11924700E+04,   0.59172929E+02,   0.83715367E+02
1986,10,   0.25256094E+04,   0.21589786E+04,   0.29363711E+04,   0.10657800E+03,   0.19844917E+03
1986,11,   0.16535854E+05,   0.14013129E+05,   0.19379699E+05,   0.65843775E+03,   0.13700575E+04
1986,12,   0.31292198E+05,   0.27089135E+05,   0.35959153E+05,   0.12279043E+04,   0.22640626E+04
1987, 1,   0.15938847E+05,   0.13841312E+05,   0.18262694E+05,   0.61760764E+03,   0.11285257E+04
1987, 2,   0.12655403E+05,   0.10917908E+05,   0.14589401E+05,   0.48150021E+03,   0.93717050E+03
1987, 3,   0.18706019E+05,   0.16149409E+05,   0.21550314E+05,   0.65158584E+03,   0.13786052E+04
1987, 4,   0.39549275E+05,   0.33881184E+05,   0.45889899E+05,   0.14160173E+04,   0.30654732E+04
1987, 5,   0.13946762E+05,   0.12044246E+05,   0.16062908E+05,   0.52033908E+03,   0.10257791E+04
