YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.12210121E+05,   0.10959503E+05,   0.13563285E+05,   0.34739117E+03,   0.66444619E+03
1985, 2,   0.34521290E+05,   0.30219947E+05,   0.39259506E+05,   0.91376709E+03,   0.23071426E+04
1985, 3,   0.34465155E+05,   0.30629754E+05,   0.38644706E+05,   0.87378277E+03,   0.20454220E+04
1985, 4,   0.44095305E+05,   0.38807171E+05,   0.49898408E+05,   0.11241444E+04,   0.28306792E+04
1985, 5,   0.22202817E+05,   0.19757146E+05,   0.24865506E+05,   0.56398616E+03,   0.13036468E+04
1985, 6,   0.90911890E+04,   0.81993985E+04,   0.10052768E+05,   0.23647830E+03,   0.47293889E+03
1985, 7,   0.42667410E+04,   0.38583224E+04,   0.47062887E+04,   0.11765634E+03,   0.21637907E+03
1985, 8,   0.27266930E+04,   0.24567959E+04,   0.30179181E+04,   0.84185508E+02,   0.14318679E+03
1985, 9,   0.25217060E+04,   0.22662658E+04,   0.27978420E+04,   0.80569777E+02,   0.13564930E+03
1985,10,   0.27591167E+04,   0.24820626E+04,   0.30584062E+04,   0.87470149E+02,   0.14707233E+03
1985,11,   0.54279729E+05,   0.47816730E+05,   0.61367173E+05,   0.14969975E+04,   0.34582886E+04
1985,12,   0.34523623E+05,   0.30720941E+05,   0.38663725E+05,   0.88011272E+03,   0.20269881E+04
1986, 1,   0.11354393E+05,   0.10136897E+05,   0.12676807E+05,   0.27767073E+03,   0.64816843E+03
1986, 2,   0.55233385E+05,   0.49002616E+05,   0.62031602E+05,   0.12713409E+04,   0.33250451E+04
1986, 3,   0.50758158E+05,   0.44658222E+05,   0.57453486E+05,   0.11588282E+04,   0.32655834E+04
1986, 4,   0.27560555E+05,   0.24409484E+05,   0.31002840E+05,   0.58328862E+03,   0.16826678E+04
1986, 5,   0.11199985E+05,   0.10078873E+05,   0.12410769E+05,   0.25316600E+03,   0.59505604E+03
1986, 6,   0.10868101E+05,   0.97729414E+04,   0.12051491E+05,   0.25010083E+03,   0.58144546E+03
1986, 7,   0.74507942E+04,   0.67277360E+04,   0.82297839E+04,   0.17045222E+03,   0.38328690E+03
1986, 8,   0.44646904E+04,   0.40469534E+04,   0.49134956E+04,   0.10478951E+03,   0.22111625E+03
1986, 9,   0.18265463E+04,   0.16378683E+04,   0.20308380E+04,   0.62340269E+02,   0.10028057E+03
1986,10,   0.38677624E+04,   0.34752662E+04,   0.42921205E+04,   0.93814786E+02,   0.20844770E+03
1986,11,   0.21908496E+05,   0.19498505E+05,   0.24532025E+05,   0.50279462E+03,   0.12845465E+04
1986,12,   0.40432755E+05,   0.36545789E+05,   0.44617355E+05,   0.91968897E+03,   0.20596601E+04
1987, 1,   0.19632743E+05,   0.17813945E+05,   0.21585377E+05,   0.42521367E+03,   0.96235404E+03
1987, 2,   0.15832031E+05,   0.14291751E+05,   0.17491782E+05,   0.33720535E+03,   0.81657322E+03
1987, 3,   0.24876340E+05,   0.22430947E+05,   0.27513538E+05,   0.48454510E+03,   0.12969666E+04
1987, 4,   0.63467157E+05,   0.56599340E+05,   0.70932713E+05,   0.12741794E+04,   0.36578075E+04
1987, 5,   0.21108314E+05,   0.19059528E+05,   0.23315610E+05,   0.42890123E+03,   0.10860510E+04
1987, 6,   0.71765036E+04,   0.65046647E+04,   0.78983387E+04,   0.15376364E+03,   0.35562499E+03
1987, 7,   0.60530649E+04,   0.54355425E+04,   0.67210047E+04,   0.12826072E+03,   0.32802987E+03
1987, 8,   0.30530757E+04,   0.27663814E+04,   0.33611753E+04,   0.74844058E+02,   0.15177432E+03
1987, 9,   0.67847256E+04,   0.60966665E+04,   0.75286004E+04,   0.13671536E+03,   0.36540567E+03
1987,10,   0.48222756E+04,   0.43851896E+04,   0.52907788E+04,   0.10249829E+03,   0.23107593E+03
1987,11,   0.97432857E+04,   0.86966446E+04,   0.10880299E+05,   0.19586831E+03,   0.55725503E+03
1987,12,   0.19658044E+05,   0.17829600E+05,   0.21621612E+05,   0.40727165E+03,   0.96760771E+03
1988, 1,   0.17663500E+05,   0.15558393E+05,   0.19972207E+05,   0.33580749E+03,   0.11264766E+04
