CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.96236360E+04,   0.90941006E+04,   0.10175640E+05,   0.18040192E+03,   0.27592788E+03
1986,   0.14704061E+05,   0.14040562E+05,   0.15390472E+05,   0.21512395E+03,   0.34438570E+03
1987,   0.12763899E+05,   0.12200133E+05,   0.13346707E+05,   0.15252604E+03,   0.29251025E+03
1988,   0.13456646E+05,   0.12889260E+05,   0.14042299E+05,   0.13039801E+03,   0.29415793E+03
1989,   0.15773563E+05,   0.15143017E+05,   0.16423322E+05,   0.13503130E+03,   0.32662368E+03
1990,   0.13113905E+05,   0.12631896E+05,   0.13609386E+05,   0.11801012E+03,   0.24936944E+03
1991,   0.92611639E+04,   0.89057186E+04,   0.96269953E+04,   0.97508040E+02,   0.18400712E+03
1992,   0.83031327E+04,   0.79729077E+04,   0.86433673E+04,   0.93689446E+02,   0.17104359E+03
1993,   0.16936621E+05,   0.16180212E+05,   0.17718873E+05,   0.15725430E+03,   0.39253864E+03
1994,   0.17047308E+05,   0.16317022E+05,   0.17801493E+05,   0.16566639E+03,   0.37871193E+03
1995,   0.10494331E+05,   0.10069302E+05,   0.10932487E+05,   0.11519420E+03,   0.22021098E+03
1996,   0.21271964E+05,   0.20390668E+05,   0.22181123E+05,   0.20871148E+03,   0.45677176E+03
1997,   0.94509762E+04,   0.90730884E+04,   0.98403814E+04,   0.10549354E+03,   0.19574721E+03
1998,   0.12685994E+05,   0.12180067E+05,   0.13207300E+05,   0.12910539E+03,   0.26206135E+03
1999,   0.10040539E+05,   0.95481422E+04,   0.10551472E+05,   0.10094055E+03,   0.25596973E+03
2000,   0.11316618E+05,   0.10776713E+05,   0.11876275E+05,   0.11404675E+03,   0.28051952E+03
2001,   0.70359124E+04,   0.67437037E+04,   0.73373827E+04,   0.88920583E+02,   0.15145641E+03
2002,   0.74271548E+04,   0.70748008E+04,   0.77923239E+04,   0.10095892E+03,   0.18305379E+03
2003,   0.20420971E+05,   0.19530580E+05,   0.21341037E+05,   0.30994050E+03,   0.46187731E+03
2004,   0.18715682E+05,   0.17790966E+05,   0.19675478E+05,   0.34078130E+03,   0.48077762E+03
