YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.84239626E+04,   0.75913377E+04,   0.93222809E+04,   0.20532904E+03,   0.44170052E+03
1985, 2,   0.21625963E+05,   0.18124137E+05,   0.25604676E+05,   0.48503456E+03,   0.19099404E+04
1985, 3,   0.90966254E+04,   0.82159698E+04,   0.10045227E+05,   0.21434351E+03,   0.46678222E+03
1985, 4,   0.66873097E+04,   0.60245072E+04,   0.74025628E+04,   0.16312937E+03,   0.35165160E+03
1985, 5,   0.10413654E+05,   0.92635102E+04,   0.11666153E+05,   0.21294528E+03,   0.61315253E+03
1985, 6,   0.68763003E+04,   0.61373009E+04,   0.76791402E+04,   0.14375030E+03,   0.39346790E+03
1985, 7,   0.50109481E+04,   0.44934051E+04,   0.55713128E+04,   0.10958096E+03,   0.27506750E+03
1985, 8,   0.54959607E+04,   0.49118764E+04,   0.61298932E+04,   0.11240508E+03,   0.31082778E+03
1985, 9,   0.93320245E+04,   0.74082546E+04,   0.11602399E+05,   0.17463010E+03,   0.10714924E+04
1985,10,   0.66608232E+04,   0.60029674E+04,   0.73705407E+04,   0.13201449E+03,   0.34897597E+03
1985,11,   0.10563298E+05,   0.93328306E+04,   0.11909827E+05,   0.19875478E+03,   0.65767730E+03
1985,12,   0.16295839E+05,   0.14598834E+05,   0.18134516E+05,   0.30620681E+03,   0.90226347E+03
1986, 1,   0.13072670E+05,   0.11610344E+05,   0.14666955E+05,   0.25174339E+03,   0.78005282E+03
1986, 2,   0.29261424E+05,   0.25975270E+05,   0.32845393E+05,   0.53500349E+03,   0.17532740E+04
1986, 3,   0.24643921E+05,   0.22088881E+05,   0.27411245E+05,   0.43924781E+03,   0.13581993E+04
1986, 4,   0.18572609E+05,   0.16668219E+05,   0.20633338E+05,   0.31923676E+03,   0.10118397E+04
1986, 5,   0.10424443E+05,   0.94285123E+04,   0.11496125E+05,   0.18210859E+03,   0.52760059E+03
1986, 6,   0.80480952E+04,   0.72120624E+04,   0.89537354E+04,   0.13952673E+03,   0.44445324E+03
1986, 7,   0.10956332E+05,   0.86889718E+04,   0.13634075E+05,   0.18322791E+03,   0.12633581E+04
1986, 8,   0.12985104E+05,   0.11705376E+05,   0.14365484E+05,   0.20724590E+03,   0.67880282E+03
1986, 9,   0.58047345E+04,   0.52599126E+04,   0.63902129E+04,   0.10421754E+03,   0.28842011E+03
1986,10,   0.50790879E+04,   0.45966435E+04,   0.55979996E+04,   0.98546189E+02,   0.25551903E+03
1986,11,   0.15099730E+05,   0.13480036E+05,   0.16859056E+05,   0.24028609E+03,   0.86230394E+03
1986,12,   0.23545131E+05,   0.21110718E+05,   0.26181203E+05,   0.37469515E+03,   0.12939203E+04
1987, 1,   0.20411110E+05,   0.18495806E+05,   0.22469305E+05,   0.32973219E+03,   0.10139225E+04
1987, 2,   0.15230563E+05,   0.13765381E+05,   0.16808020E+05,   0.24987937E+03,   0.77640516E+03
1987, 3,   0.19731779E+05,   0.17687531E+05,   0.21945737E+05,   0.30161992E+03,   0.10866392E+04
1987, 4,   0.16601081E+05,   0.15004608E+05,   0.18319845E+05,   0.24741490E+03,   0.84596494E+03
1987, 5,   0.10968776E+05,   0.99393066E+04,   0.12075066E+05,   0.16453488E+03,   0.54498426E+03
1987, 6,   0.70870718E+04,   0.63907778E+04,   0.78379480E+04,   0.11421215E+03,   0.36928621E+03
1987, 7,   0.59975193E+04,   0.54115685E+04,   0.66291255E+04,   0.98047652E+02,   0.31069287E+03
1987, 8,   0.38121507E+04,   0.34135054E+04,   0.42442269E+04,   0.75754075E+02,   0.21199077E+03
1987, 9,   0.22684792E+05,   0.18804173E+05,   0.27128093E+05,   0.33151021E+03,   0.21255033E+04
1987,10,   0.80358200E+04,   0.72229635E+04,   0.89144340E+04,   0.11919621E+03,   0.43163438E+03
1987,11,   0.10960784E+05,   0.96566435E+04,   0.12390829E+05,   0.15557410E+03,   0.69780701E+03
1987,12,   0.12086568E+05,   0.10952762E+05,   0.13304933E+05,   0.17810004E+03,   0.60020623E+03
1988, 1,   0.14615738E+05,   0.12826355E+05,   0.16583378E+05,   0.20649440E+03,   0.95887785E+03
1988, 2,   0.27734352E+05,   0.25020981E+05,   0.30659457E+05,   0.37591536E+03,   0.14388122E+04
1988, 3,   0.16264867E+05,   0.14735308E+05,   0.17908804E+05,   0.22362916E+03,   0.80978581E+03
1988, 4,   0.10751636E+05,   0.97584314E+04,   0.11817702E+05,   0.15496376E+03,   0.52546197E+03
1988, 5,   0.23878692E+05,   0.21001853E+05,   0.27037100E+05,   0.28731861E+03,   0.15403082E+04
1988, 6,   0.87089131E+04,   0.78835705E+04,   0.95964892E+04,   0.12129351E+03,   0.43708999E+03
1988, 7,   0.21810938E+05,   0.18594820E+05,   0.25421036E+05,   0.28384075E+03,   0.17426052E+04
1988, 8,   0.86299036E+04,   0.78389721E+04,   0.94783670E+04,   0.11940847E+03,   0.41832093E+03
1988, 9,   0.63763957E+04,   0.57190550E+04,   0.70880154E+04,   0.93569803E+02,   0.34933977E+03
1988,10,   0.52125897E+04,   0.46682047E+04,   0.58025633E+04,   0.85089044E+02,   0.28947526E+03
1988,11,   0.10542466E+05,   0.92691637E+04,   0.11940735E+05,   0.13820098E+03,   0.68183685E+03
1988,12,   0.73115908E+04,   0.66403702E+04,   0.80317225E+04,   0.11640479E+03,   0.35502875E+03
1989, 1,   0.11326951E+05,   0.10235527E+05,   0.12502157E+05,   0.15876300E+03,   0.57838761E+03
1989, 2,   0.11768020E+05,   0.10510044E+05,   0.13134041E+05,   0.16168263E+03,   0.66962528E+03
1989, 3,   0.16376392E+05,   0.14843667E+05,   0.18023146E+05,   0.20531500E+03,   0.81131026E+03
1989, 4,   0.14950834E+05,   0.13546933E+05,   0.16459551E+05,   0.18496645E+03,   0.74321644E+03
1989, 5,   0.41970974E+05,   0.37040545E+05,   0.47370774E+05,   0.49311350E+03,   0.26364057E+04
1989, 6,   0.24541365E+05,   0.22121713E+05,   0.27151414E+05,   0.30097765E+03,   0.12834725E+04
1989, 7,   0.20034479E+05,   0.18119358E+05,   0.22095354E+05,   0.26268572E+03,   0.10145705E+04
1989, 8,   0.94851636E+04,   0.86151152E+04,   0.10418556E+05,   0.12877798E+03,   0.46018034E+03
1989, 9,   0.71493837E+04,   0.64642250E+04,   0.78868307E+04,   0.10111526E+03,   0.36301241E+03
1989,10,   0.12339656E+05,   0.10887695E+05,   0.13930093E+05,   0.15545487E+03,   0.77645998E+03
1989,11,   0.12946910E+05,   0.11650775E+05,   0.14346730E+05,   0.16737044E+03,   0.68795697E+03
1989,12,   0.58919004E+04,   0.53368161E+04,   0.64885746E+04,   0.10045261E+03,   0.29389625E+03
1990, 1,   0.21770747E+05,   0.19197721E+05,   0.24590356E+05,   0.25190770E+03,   0.13762766E+04
1990, 2,   0.21628464E+05,   0.19556986E+05,   0.23857924E+05,   0.26015173E+03,   0.10974885E+04
1990, 3,   0.12585213E+05,   0.11451604E+05,   0.13799760E+05,   0.16314576E+03,   0.59916851E+03
1990, 4,   0.16501688E+05,   0.14919023E+05,   0.18205236E+05,   0.19410569E+03,   0.83855759E+03
1990, 5,   0.16795973E+05,   0.15020735E+05,   0.18721819E+05,   0.19374436E+03,   0.94448225E+03
1990, 6,   0.11361511E+05,   0.10275009E+05,   0.12530740E+05,   0.14550146E+03,   0.57560372E+03
1990, 7,   0.66786539E+04,   0.60348920E+04,   0.73718520E+04,   0.97496316E+02,   0.34115899E+03
1990, 8,   0.95019163E+04,   0.85350031E+04,   0.10547556E+05,   0.12957959E+03,   0.51357124E+03
1990, 9,   0.53314179E+04,   0.48315087E+04,   0.58685930E+04,   0.85310039E+02,   0.26463395E+03
1990,10,   0.74527092E+04,   0.66915564E+04,   0.82760804E+04,   0.10470344E+03,   0.40434604E+03
1990,11,   0.10676149E+05,   0.93926975E+04,   0.12084920E+05,   0.13685169E+03,   0.68710432E+03
1990,12,   0.17629479E+05,   0.15853268E+05,   0.19548763E+05,   0.21813913E+03,   0.94302475E+03
1991, 1,   0.23387535E+05,   0.21234777E+05,   0.25697611E+05,   0.28388153E+03,   0.11387746E+04
1991, 2,   0.13984952E+05,   0.12668481E+05,   0.15399973E+05,   0.17945547E+03,   0.69699946E+03
1991, 3,   0.15691839E+05,   0.14239237E+05,   0.17251242E+05,   0.19051220E+03,   0.76857118E+03
1991, 4,   0.12845157E+05,   0.11664930E+05,   0.14111464E+05,   0.16134434E+03,   0.62427769E+03
