YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.32348122E+05,   0.15097973E+05,   0.61041175E+05,   0.38384976E+04,   0.11903942E+05
1985, 2,   0.12871302E+07,   0.14842057E+06,   0.49934020E+07,   0.14902727E+06,   0.14306237E+07
1985, 3,   0.41214944E+05,   0.21495113E+05,   0.71876499E+05,   0.48303745E+04,   0.12998627E+05
1985, 4,   0.24939865E+05,   0.12680655E+05,   0.44301611E+05,   0.30298725E+04,   0.81657538E+04
1985, 5,   0.18156855E+06,   0.38156912E+05,   0.54525653E+06,   0.17714903E+05,   0.13882033E+06
1985, 6,   0.83380585E+05,   0.15609068E+05,   0.26448958E+06,   0.79342637E+04,   0.68959763E+05
1985, 7,   0.39422630E+05,   0.10349220E+05,   0.10568191E+06,   0.38621156E+04,   0.25578072E+05
1985, 8,   0.59490105E+05,   0.13223801E+05,   0.17378668E+06,   0.55344901E+04,   0.43715540E+05
1985, 9,   0.11138347E+07,   0.13311073E+06,   0.42635606E+07,   0.10525165E+06,   0.12130215E+07
1985,10,   0.49901669E+05,   0.17938262E+05,   0.11167169E+06,   0.47437796E+04,   0.24604193E+05
1985,11,   0.16773615E+06,   0.40890273E+05,   0.46755630E+06,   0.15294234E+05,   0.11519367E+06
1985,12,   0.30171721E+06,   0.85373212E+05,   0.77647063E+06,   0.27460764E+05,   0.18433473E+06
1986, 1,   0.17945327E+06,   0.41371506E+05,   0.51472420E+06,   0.16414662E+05,   0.12843907E+06
1986, 2,   0.10131984E+07,   0.33555026E+06,   0.23825438E+07,   0.90826609E+05,   0.54002170E+06
1986, 3,   0.71004999E+06,   0.18705626E+06,   0.18998903E+07,   0.62147202E+05,   0.45942809E+06
1986, 4,   0.46282411E+06,   0.14713524E+06,   0.11148305E+07,   0.38986729E+05,   0.25597539E+06
1986, 5,   0.12846521E+06,   0.50535193E+05,   0.27166222E+06,   0.10969317E+05,   0.57755110E+05
1986, 6,   0.11589378E+06,   0.34120699E+05,   0.29171539E+06,   0.94666330E+04,   0.68505585E+05
