YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1987, 1,   0.10995387E+06,   0.92953626E+05,   0.12915099E+06,   0.70799360E+04,   0.92412023E+04
1987, 2,   0.68610888E+05,   0.57835351E+05,   0.80803808E+05,   0.43807869E+04,   0.58640135E+04
1987, 3,   0.17562931E+06,   0.14966161E+06,   0.20478783E+06,   0.99687686E+04,   0.14072751E+05
1987, 4,   0.23001728E+06,   0.19602176E+06,   0.26818815E+06,   0.12413952E+05,   0.18422792E+05
1987, 5,   0.62298877E+05,   0.53292271E+05,   0.72384620E+05,   0.34454288E+04,   0.48737778E+04
1987, 6,   0.26329060E+05,   0.22573113E+05,   0.30528351E+05,   0.14651985E+04,   0.20307261E+04
1987, 7,   0.35062721E+05,   0.29797906E+05,   0.40985787E+05,   0.19243597E+04,   0.28561359E+04
1987, 8,   0.95558357E+04,   0.81157671E+04,   0.11176692E+05,   0.58769864E+03,   0.78142306E+03
1987, 9,   0.85381392E+05,   0.71940938E+05,   0.10059441E+06,   0.49086204E+04,   0.73154680E+04
1987,10,   0.48282170E+05,   0.41394344E+05,   0.55983045E+05,   0.27326837E+04,   0.37240438E+04
1987,11,   0.87835248E+05,   0.74674631E+05,   0.10263735E+06,   0.50234704E+04,   0.71385339E+04
1987,12,   0.16267451E+06,   0.13904697E+06,   0.18914781E+06,   0.91963248E+04,   0.12789520E+05
1988, 1,   0.73451578E+05,   0.62162492E+05,   0.86189719E+05,   0.41336449E+04,   0.61341014E+04
1988, 2,   0.18259300E+06,   0.15511023E+06,   0.21352118E+06,   0.93226518E+04,   0.14911693E+05
1988, 3,   0.14533765E+06,   0.12551433E+06,   0.16738656E+06,   0.71376064E+04,   0.10688046E+05
1988, 4,   0.92123160E+05,   0.79341186E+05,   0.10636782E+06,   0.44559570E+04,   0.68988026E+04
1988, 5,   0.13525297E+06,   0.11594763E+06,   0.15683852E+06,   0.62098663E+04,   0.10438187E+05
1988, 6,   0.27622649E+05,   0.23602612E+05,   0.32127953E+05,   0.13217604E+04,   0.21763177E+04
1988, 7,   0.12174481E+05,   0.10326577E+05,   0.14256256E+05,   0.60978871E+03,   0.10032186E+04
1988, 8,   0.11700684E+05,   0.98396061E+04,   0.13810110E+05,   0.59928959E+03,   0.10137209E+04
1988, 9,   0.26877132E+05,   0.23052976E+05,   0.31151370E+05,   0.13109001E+04,   0.20672618E+04
1988,10,   0.15626030E+05,   0.13293921E+05,   0.18247733E+05,   0.84584706E+03,   0.12646386E+04
1988,11,   0.99278766E+05,   0.84970096E+05,   0.11529594E+06,   0.50098833E+04,   0.77413611E+04
1988,12,   0.51459581E+05,   0.44139296E+05,   0.59641222E+05,   0.26497790E+04,   0.39571464E+04
1989, 1,   0.76228409E+05,   0.65706488E+05,   0.87947446E+05,   0.38532532E+04,   0.56771764E+04
1989, 2,   0.81760548E+05,   0.70074784E+05,   0.94828630E+05,   0.38919764E+04,   0.63189074E+04
1989, 3,   0.11731793E+06,   0.10136439E+06,   0.13505661E+06,   0.49447019E+04,   0.86000366E+04
1989, 4,   0.16036014E+06,   0.13778777E+06,   0.18555738E+06,   0.62784430E+04,   0.12193878E+05
1989, 5,   0.22190948E+06,   0.19209093E+06,   0.25502063E+06,   0.93555200E+04,   0.16062748E+05
1989, 6,   0.14535037E+06,   0.12537221E+06,   0.16759082E+06,   0.63186116E+04,   0.10776566E+05
1989, 7,   0.96440075E+05,   0.83884294E+05,   0.11033451E+06,   0.43504924E+04,   0.67511407E+04
1989, 8,   0.24594133E+05,   0.21401771E+05,   0.28125723E+05,   0.10578204E+04,   0.17162124E+04
1989, 9,   0.17838579E+05,   0.15320578E+05,   0.20650308E+05,   0.80040305E+03,   0.13604952E+04
1989,10,   0.78744789E+05,   0.65763812E+05,   0.93529928E+05,   0.35448308E+04,   0.70895179E+04
1989,11,   0.11718732E+06,   0.10103426E+06,   0.13517533E+06,   0.52944205E+04,   0.87147568E+04
1989,12,   0.44983076E+05,   0.38767638E+05,   0.51906473E+05,   0.20919491E+04,   0.33537937E+04
1990, 1,   0.14066265E+06,   0.12055475E+06,   0.16314959E+06,   0.57879526E+04,   0.10873177E+05
1990, 2,   0.30066708E+06,   0.26284993E+06,   0.34236526E+06,   0.11470345E+05,   0.20294687E+05
1990, 3,   0.11283410E+06,   0.98973747E+05,   0.12808031E+06,   0.44404735E+04,   0.74286819E+04
1990, 4,   0.13950932E+06,   0.12215244E+06,   0.15862620E+06,   0.49736717E+04,   0.93090862E+04
1990, 5,   0.12883214E+06,   0.11292488E+06,   0.14633896E+06,   0.47089797E+04,   0.85281072E+04
1990, 6,   0.61229561E+05,   0.53351516E+05,   0.69936628E+05,   0.23579565E+04,   0.42331200E+04
1990, 7,   0.56777005E+05,   0.48890216E+05,   0.65567460E+05,   0.22837038E+04,   0.42570306E+04
1990, 8,   0.44754088E+05,   0.38944187E+05,   0.51181449E+05,   0.18034553E+04,   0.31234228E+04
