YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.70969304E+04,   0.50277077E+04,   0.97369698E+04,   0.54693621E+03,   0.12051957E+04
1985, 2,   0.91046251E+04,   0.60797276E+04,   0.13119589E+05,   0.66913992E+03,   0.18037588E+04
1985, 3,   0.13795936E+05,   0.10428714E+05,   0.17906546E+05,   0.98260778E+03,   0.19116665E+04
1985, 4,   0.14643540E+05,   0.10475531E+05,   0.19926487E+05,   0.10122363E+04,   0.24182662E+04
1985, 5,   0.48581151E+04,   0.36870422E+04,   0.62838205E+04,   0.33764263E+03,   0.66381276E+03
1985, 6,   0.37077223E+04,   0.28207456E+04,   0.47857722E+04,   0.25556033E+03,   0.50230073E+03
1985, 7,   0.21571781E+04,   0.16628579E+04,   0.27525666E+04,   0.15516551E+03,   0.27849942E+03
1985, 8,   0.17297267E+04,   0.13268167E+04,   0.22166637E+04,   0.13139128E+03,   0.22743601E+03
1985, 9,   0.22795860E+04,   0.16461339E+04,   0.30773973E+04,   0.15979222E+03,   0.36616459E+03
1985,10,   0.32981503E+04,   0.24361264E+04,   0.43672779E+04,   0.22169079E+03,   0.49386574E+03
1985,11,   0.22362232E+05,   0.15365235E+05,   0.31474495E+05,   0.15737455E+04,   0.41250942E+04
1985,12,   0.17707355E+05,   0.12762254E+05,   0.23943664E+05,   0.11946780E+04,   0.28606705E+04
1986, 1,   0.71444026E+04,   0.48901728E+04,   0.10087642E+05,   0.46032103E+03,   0.13310167E+04
1986, 2,   0.18938025E+05,   0.13281786E+05,   0.26203734E+05,   0.11790580E+04,   0.33076078E+04
1986, 3,   0.47264387E+05,   0.30720554E+05,   0.69618299E+05,   0.34179512E+04,   0.99723617E+04
1986, 4,   0.17984400E+05,   0.12412998E+05,   0.25218265E+05,   0.10382609E+04,   0.32787494E+04
1986, 5,   0.56416289E+04,   0.42082700E+04,   0.74074611E+04,   0.32652108E+03,   0.81802188E+03
1986, 6,   0.80258185E+04,   0.60232580E+04,   0.10482626E+05,   0.46733181E+03,   0.11401374E+04
1986, 7,   0.39530361E+04,   0.30313991E+04,   0.50670949E+04,   0.22916647E+03,   0.52030559E+03
1986, 8,   0.46647346E+04,   0.35809504E+04,   0.59738401E+04,   0.27013751E+03,   0.61159198E+03
1986, 9,   0.15567411E+04,   0.12024830E+04,   0.19828251E+04,   0.10465144E+03,   0.19942815E+03
1986,10,   0.36209885E+04,   0.27635343E+04,   0.46608791E+04,   0.20668046E+03,   0.48497746E+03
1986,11,   0.19394391E+05,   0.13339600E+05,   0.27274238E+05,   0.11669730E+04,   0.35681670E+04
1986,12,   0.19094275E+05,   0.14629983E+05,   0.24493816E+05,   0.10950537E+04,   0.25211378E+04
1987, 1,   0.51213726E+04,   0.39651940E+04,   0.65097227E+04,   0.29395434E+03,   0.65027171E+03
1987, 2,   0.30278563E+04,   0.23269190E+04,   0.38738826E+04,   0.17910136E+03,   0.39537800E+03
1987, 3,   0.12763814E+05,   0.96127040E+04,   0.16620422E+05,   0.63900615E+03,   0.17915844E+04
1987, 4,   0.31355417E+05,   0.22510738E+05,   0.42539056E+05,   0.16056987E+04,   0.51244287E+04
1987, 5,   0.51003590E+04,   0.39660807E+04,   0.64583353E+04,   0.25732433E+03,   0.63687518E+03
1987, 6,   0.25640960E+04,   0.20124438E+04,   0.32203137E+04,   0.13335888E+03,   0.30862332E+03
1987, 7,   0.39376689E+04,   0.30115611E+04,   0.50591929E+04,   0.19831839E+03,   0.52337626E+03
1987, 8,   0.13089161E+04,   0.10181880E+04,   0.16568943E+04,   0.82814799E+02,   0.16321535E+03
1987, 9,   0.91857324E+04,   0.68502278E+04,   0.12063455E+05,   0.49008606E+03,   0.13330090E+04
