CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1987,   0.47066419E+07,   0.31901809E+07,   0.66995861E+07,   0.42703041E+06,   0.89890066E+06
1988,   0.35177333E+07,   0.23053579E+07,   0.51470133E+07,   0.25687551E+06,   0.72839019E+06
1989,   0.95414011E+07,   0.69530183E+07,   0.12781313E+08,   0.64097141E+06,   0.14908392E+07
1990,   0.85528115E+07,   0.66187770E+07,   0.10875991E+08,   0.50610657E+06,   0.10879673E+07
1991,   0.33554643E+07,   0.24653882E+07,   0.44633692E+07,   0.18001205E+06,   0.51100045E+06
1992,   0.37511116E+07,   0.30160021E+07,   0.46109997E+07,   0.19021797E+06,   0.40741685E+06
1993,   0.20606867E+08,   0.13860705E+08,   0.29518065E+08,   0.17336233E+07,   0.40111238E+07
1994,   0.15173864E+08,   0.10838935E+08,   0.20673851E+08,   0.10439168E+07,   0.25165781E+07
1995,   0.27745478E+07,   0.20419465E+07,   0.36854106E+07,   0.15582255E+06,   0.42031835E+06
1996,   0.20330096E+08,   0.13815251E+08,   0.28877322E+08,   0.16435983E+07,   0.38578022E+07
1997,   0.25205492E+07,   0.20108414E+07,   0.31200286E+07,   0.14380878E+06,   0.28335071E+06
1998,   0.83850634E+07,   0.61160172E+07,   0.11223476E+08,   0.48828595E+06,   0.13064337E+07
1999,   0.27407540E+07,   0.19466399E+07,   0.37521784E+07,   0.14171777E+06,   0.46205229E+06
2000,   0.48456009E+07,   0.37474042E+07,   0.61653648E+07,   0.25395865E+06,   0.61793602E+06
2001,   0.23610196E+07,   0.17564339E+07,   0.31072105E+07,   0.12950349E+06,   0.34540338E+06
2002,   0.42396887E+07,   0.31678225E+07,   0.55586658E+07,   0.23614760E+06,   0.61131422E+06
2003,   0.12411528E+08,   0.96859288E+07,   0.15666583E+08,   0.83841976E+06,   0.15282337E+07
2004,   0.19707001E+08,   0.98683581E+07,   0.35391402E+08,   0.24360754E+07,   0.65947443E+07
