CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.85897636E+03,   0.62501379E+03,   0.11521295E+04,   0.92785195E+02,   0.13483613E+03
1986,   0.11263898E+04,   0.85585336E+03,   0.14554897E+04,   0.96863187E+02,   0.15328204E+03
1987,   0.78470091E+03,   0.61867605E+03,   0.98157519E+03,   0.54161707E+02,   0.92719095E+02
1988,   0.59958634E+03,   0.47062578E+03,   0.75298286E+03,   0.36830938E+02,   0.72145098E+02
1989,   0.89207066E+03,   0.71261632E+03,   0.11029369E+04,   0.49189812E+02,   0.99708912E+02
1990,   0.13617903E+04,   0.10771537E+04,   0.16985564E+04,   0.90774191E+02,   0.15875906E+03
1991,   0.70390953E+03,   0.53671193E+03,   0.90681379E+03,   0.48949049E+02,   0.94602487E+02
1992,   0.86200604E+03,   0.68412953E+03,   0.10719681E+04,   0.63107624E+02,   0.99082766E+02
1993,   0.12761769E+04,   0.97062050E+03,   0.16476259E+04,   0.89220443E+02,   0.17305702E+03
1994,   0.12497129E+04,   0.97225524E+03,   0.15817791E+04,   0.87170939E+02,   0.15575780E+03
1995,   0.71526142E+03,   0.54062074E+03,   0.92847519E+03,   0.57612620E+02,   0.99153021E+02
1996,   0.19236956E+04,   0.14776703E+04,   0.24622200E+04,   0.14798642E+03,   0.25163610E+03
1997,   0.75963815E+03,   0.58951006E+03,   0.96360265E+03,   0.60148798E+02,   0.95598897E+02
1998,   0.10998398E+04,   0.83285930E+03,   0.14253694E+04,   0.80362165E+02,   0.15146796E+03
1999,   0.73310315E+03,   0.55855056E+03,   0.94504286E+03,   0.56863185E+02,   0.98793162E+02
2000,   0.91268026E+03,   0.70660387E+03,   0.11601469E+04,   0.72596842E+02,   0.11590609E+03
2001,   0.60502179E+03,   0.45612098E+03,   0.78713209E+03,   0.55378989E+02,   0.84624581E+02
2002,   0.10756341E+04,   0.81085757E+03,   0.13994788E+04,   0.11232078E+03,   0.15048399E+03
2003,   0.25416827E+04,   0.18506454E+04,   0.34071491E+04,   0.32900659E+03,   0.39814889E+03
2004,   0.30022648E+04,   0.20659469E+04,   0.42204292E+04,   0.47268854E+03,   0.55168144E+03
