CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.57971098E+05,   0.31504456E+05,   0.98083939E+05,   0.17060292E+05,   0.17153947E+05
1986,   0.75499389E+05,   0.44912834E+05,   0.11927637E+06,   0.18994164E+05,   0.19107447E+05
1987,   0.45513222E+05,   0.29170340E+05,   0.67799951E+05,   0.98209824E+04,   0.99068413E+04
1988,   0.33452320E+05,   0.22962665E+05,   0.47122106E+05,   0.61154584E+04,   0.61866236E+04
1989,   0.33295562E+05,   0.24573629E+05,   0.44118848E+05,   0.49117385E+04,   0.49984884E+04
1990,   0.46579568E+05,   0.36440831E+05,   0.58667012E+05,   0.55493168E+04,   0.56792593E+04
1991,   0.27184732E+05,   0.22070157E+05,   0.33127078E+05,   0.27048249E+04,   0.28240007E+04
1992,   0.29988942E+05,   0.25729510E+05,   0.34748702E+05,   0.21875310E+04,   0.23023068E+04
1993,   0.26080816E+05,   0.22784066E+05,   0.29717765E+05,   0.15466916E+04,   0.17696964E+04
1994,   0.26734996E+05,   0.24109497E+05,   0.29566208E+05,   0.11755837E+04,   0.13924328E+04
1995,   0.15255787E+05,   0.13881134E+05,   0.16728626E+05,   0.56940028E+03,   0.72658201E+03
1996,   0.28965774E+05,   0.26603737E+05,   0.31479459E+05,   0.97003025E+03,   0.12440587E+04
1997,   0.15318276E+05,   0.14089139E+05,   0.16624982E+05,   0.47532429E+03,   0.64702552E+03
1998,   0.19649042E+05,   0.18051374E+05,   0.21348968E+05,   0.58220727E+03,   0.84139244E+03
1999,   0.13651840E+05,   0.12537946E+05,   0.14837293E+05,   0.40343237E+03,   0.58668718E+03
2000,   0.20654819E+05,   0.19154957E+05,   0.22239828E+05,   0.54273089E+03,   0.78708245E+03
2001,   0.12586289E+05,   0.11596092E+05,   0.13637680E+05,   0.31820281E+03,   0.52091126E+03
2002,   0.19047551E+05,   0.17774528E+05,   0.20386788E+05,   0.45481157E+03,   0.66648235E+03
2003,   0.27713493E+05,   0.25783246E+05,   0.29748600E+05,   0.74323111E+03,   0.10117179E+04
2004,   0.26681322E+05,   0.24457568E+05,   0.29051204E+05,   0.97524906E+03,   0.11720941E+04
