YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.33702989E+05,   0.29368497E+05,   0.38493391E+05,   0.14237871E+04,   0.23290018E+04
1985, 2,   0.37305596E+05,   0.31349297E+05,   0.44060153E+05,   0.15318086E+04,   0.32452678E+04
1985, 3,   0.81037943E+05,   0.71754614E+05,   0.91181043E+05,   0.32180852E+04,   0.49577607E+04
1985, 4,   0.45456840E+05,   0.40002701E+05,   0.51442406E+05,   0.17612192E+04,   0.29196159E+04
1985, 5,   0.11234915E+05,   0.10011134E+05,   0.12565974E+05,   0.44357780E+03,   0.65198631E+03
1985, 6,   0.67303218E+04,   0.59787185E+04,   0.75496247E+04,   0.26568413E+03,   0.40089768E+03
1985, 7,   0.46418369E+04,   0.41304022E+04,   0.51986666E+04,   0.18647383E+03,   0.27261975E+03
1985, 8,   0.30295193E+04,   0.26764556E+04,   0.34159025E+04,   0.13375691E+03,   0.18871489E+03
1985, 9,   0.10172767E+05,   0.82795418E+04,   0.12368551E+05,   0.36835973E+03,   0.10443272E+04
1985,10,   0.14958303E+05,   0.13329424E+05,   0.16729927E+05,   0.53023665E+03,   0.86779618E+03
1985,11,   0.54507064E+05,   0.47772078E+05,   0.61919824E+05,   0.20136736E+04,   0.36108607E+04
1985,12,   0.52860374E+05,   0.46742703E+05,   0.59551003E+05,   0.19174387E+04,   0.32687972E+04
1986, 1,   0.41370358E+05,   0.35442744E+05,   0.48001104E+05,   0.14785554E+04,   0.32057805E+04
1986, 2,   0.64683067E+05,   0.56606429E+05,   0.73581949E+05,   0.22326858E+04,   0.43326264E+04
1986, 3,   0.14520478E+06,   0.12735751E+06,   0.16483768E+06,   0.51635810E+04,   0.95658293E+04
1986, 4,   0.66511167E+05,   0.59067354E+05,   0.74627070E+05,   0.21419411E+04,   0.39708703E+04
1986, 5,   0.30299718E+05,   0.26669235E+05,   0.34283402E+05,   0.96541837E+03,   0.19432682E+04
1986, 6,   0.31091967E+05,   0.27700205E+05,   0.34781537E+05,   0.10080501E+04,   0.18071330E+04
1986, 7,   0.13861014E+05,   0.12422240E+05,   0.15419481E+05,   0.43946239E+03,   0.76485810E+03
1986, 8,   0.22141389E+05,   0.19632090E+05,   0.24880370E+05,   0.71245083E+03,   0.13393855E+04
1986, 9,   0.68591304E+04,   0.61410280E+04,   0.76375292E+04,   0.21273318E+03,   0.38189054E+03
1986,10,   0.20679617E+05,   0.18551205E+05,   0.22983472E+05,   0.63334266E+03,   0.11310522E+04
1986,11,   0.76955059E+05,   0.67634490E+05,   0.87193201E+05,   0.25105537E+04,   0.49917753E+04
1986,12,   0.73275288E+05,   0.65730185E+05,   0.81442629E+05,   0.22837871E+04,   0.40095954E+04
1987, 1,   0.29883182E+05,   0.26884116E+05,   0.33122803E+05,   0.93242402E+03,   0.15919981E+04
1987, 2,   0.16865795E+05,   0.15100830E+05,   0.18778889E+05,   0.54881435E+03,   0.93859973E+03
1987, 3,   0.87007225E+05,   0.78078311E+05,   0.96669813E+05,   0.24205932E+04,   0.47442797E+04
1987, 4,   0.11085512E+06,   0.98822011E+05,   0.12393909E+06,   0.30560744E+04,   0.64097716E+04
1987, 5,   0.15501450E+05,   0.13943269E+05,   0.17184826E+05,   0.44227762E+03,   0.82718660E+03
1987, 6,   0.10916755E+05,   0.98159893E+04,   0.12106264E+05,   0.30701066E+03,   0.58443771E+03
1987, 7,   0.12395638E+05,   0.11134343E+05,   0.13759621E+05,   0.34281782E+03,   0.66992861E+03
1987, 8,   0.41801067E+04,   0.37628049E+04,   0.46306897E+04,   0.12851390E+03,   0.22146746E+03
1987, 9,   0.18026677E+05,   0.15999539E+05,   0.20237796E+05,   0.49195193E+03,   0.10816158E+04
1987,10,   0.16730313E+05,   0.14997412E+05,   0.18607042E+05,   0.43881155E+03,   0.92113084E+03
1987,11,   0.23792193E+05,   0.21499627E+05,   0.26260745E+05,   0.63350287E+03,   0.12149188E+04
1987,12,   0.46312654E+05,   0.41820157E+05,   0.51152507E+05,   0.12373002E+04,   0.23813930E+04
