CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.18516529E+04,   0.15178948E+04,   0.22368080E+04,   0.14950057E+03,   0.18359501E+03
1986,   0.37528576E+04,   0.30575442E+04,   0.45587137E+04,   0.26173142E+03,   0.38339219E+03
1987,   0.20010105E+04,   0.16894337E+04,   0.23531744E+04,   0.10982503E+03,   0.16945531E+03
1988,   0.14411316E+04,   0.12515017E+04,   0.16512188E+04,   0.63759800E+02,   0.10202485E+03
1989,   0.25313931E+04,   0.21533677E+04,   0.29563923E+04,   0.10218513E+03,   0.20500112E+03
1990,   0.35829067E+04,   0.30548332E+04,   0.41756368E+04,   0.13809803E+03,   0.28611998E+03
1991,   0.16099799E+04,   0.13933060E+04,   0.18506206E+04,   0.50983766E+02,   0.11672936E+03
1992,   0.22530972E+04,   0.20054266E+04,   0.25226957E+04,   0.72383300E+02,   0.13200619E+03
1993,   0.49496779E+04,   0.39306964E+04,   0.61519548E+04,   0.26665683E+03,   0.56747003E+03
1994,   0.35044343E+04,   0.29942881E+04,   0.40761791E+04,   0.12965001E+03,   0.27618127E+03
1995,   0.11818201E+04,   0.10188455E+04,   0.13633175E+04,   0.38628647E+02,   0.87929031E+02
1996,   0.49380476E+04,   0.40386204E+04,   0.59776674E+04,   0.22758267E+03,   0.49520337E+03
1997,   0.11935535E+04,   0.10566901E+04,   0.13431063E+04,   0.38703805E+02,   0.73095487E+02
1998,   0.24996789E+04,   0.21056709E+04,   0.29457270E+04,   0.84944483E+02,   0.21447376E+03
1999,   0.11967607E+04,   0.10127368E+04,   0.14044185E+04,   0.36531497E+02,   0.99995613E+02
2000,   0.26545292E+04,   0.22877603E+04,   0.30630725E+04,   0.83920212E+02,   0.19790467E+03
2001,   0.14767253E+04,   0.12238795E+04,   0.17662710E+04,   0.49688513E+02,   0.13849929E+03
2002,   0.19331585E+04,   0.16950109E+04,   0.21951928E+04,   0.64803356E+02,   0.12765860E+03
2003,   0.36964824E+04,   0.32000602E+04,   0.42476853E+04,   0.15855511E+03,   0.26740516E+03
2004,   0.39663642E+04,   0.31763777E+04,   0.48930189E+04,   0.22627715E+03,   0.43850948E+03
