CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1989,   0.23326526E+07,   0.13998178E+07,   0.36602985E+07,   0.24788325E+06,   0.58068376E+06
1990,   0.34874430E+07,   0.18401659E+07,   0.60303139E+07,   0.34562974E+06,   0.10806409E+07
1991,   0.10122082E+07,   0.62987948E+06,   0.15437286E+07,   0.74552750E+05,   0.23453167E+06
1992,   0.15778014E+07,   0.11242496E+07,   0.21542173E+07,   0.98841750E+05,   0.26356195E+06
1993,   0.11852119E+08,   0.65533991E+07,   0.19796302E+08,   0.13947364E+07,   0.34100885E+07
1994,   0.53119085E+07,   0.35041485E+07,   0.77307842E+07,   0.43159689E+06,   0.10832384E+07
1995,   0.77948922E+06,   0.42736807E+06,   0.13102253E+07,   0.57059169E+05,   0.22739985E+06
1996,   0.94485115E+07,   0.50312197E+07,   0.16228929E+08,   0.10669462E+07,   0.28869982E+07
1997,   0.69709927E+06,   0.50012414E+06,   0.94627821E+06,   0.48608731E+05,   0.11415397E+06
1998,   0.31211761E+07,   0.18632232E+07,   0.49175806E+07,   0.25348824E+06,   0.78473084E+06
1999,   0.84357948E+06,   0.43404087E+06,   0.14856906E+07,   0.60882772E+05,   0.27146031E+06
2000,   0.30653551E+07,   0.19893312E+07,   0.45207448E+07,   0.22503049E+06,   0.64901090E+06
2001,   0.15764827E+07,   0.87379929E+06,   0.26283889E+07,   0.12251946E+06,   0.45177771E+06
2002,   0.15417669E+07,   0.10201698E+07,   0.22382878E+07,   0.10383237E+06,   0.31216885E+06
2003,   0.35113042E+07,   0.24371709E+07,   0.49007192E+07,   0.28609308E+06,   0.63071492E+06
2004,   0.55675052E+07,   0.22922836E+07,   0.11431041E+08,   0.76278037E+06,   0.23813827E+07
