CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.45438657E+05,   0.42455497E+05,   0.48574098E+05,   0.12260678E+04,   0.15610698E+04
1986,   0.71111707E+05,   0.66722106E+05,   0.75711347E+05,   0.15908604E+04,   0.22934355E+04
1987,   0.50254925E+05,   0.47514363E+05,   0.53110690E+05,   0.89758615E+03,   0.14277610E+04
1988,   0.40213072E+05,   0.38199226E+05,   0.42304392E+05,   0.63982353E+03,   0.10473140E+04
1989,   0.54897194E+05,   0.52112621E+05,   0.57790323E+05,   0.76198172E+03,   0.14485040E+04
1990,   0.76788033E+05,   0.73211821E+05,   0.80491846E+05,   0.11116871E+04,   0.18572685E+04
1991,   0.46393703E+05,   0.43953386E+05,   0.48932819E+05,   0.70546246E+03,   0.12703681E+04
1992,   0.57225214E+05,   0.54595610E+05,   0.59947350E+05,   0.89720948E+03,   0.13653251E+04
1993,   0.74554052E+05,   0.69793373E+05,   0.79550765E+05,   0.13223191E+04,   0.24894353E+04
1994,   0.75209810E+05,   0.71190755E+05,   0.79394279E+05,   0.11923981E+04,   0.20929138E+04
1995,   0.38016966E+05,   0.36008915E+05,   0.40106668E+05,   0.65682869E+03,   0.10454317E+04
1996,   0.87294983E+05,   0.82609040E+05,   0.92174695E+05,   0.14437886E+04,   0.24404275E+04
1997,   0.36109193E+05,   0.34240190E+05,   0.38052607E+05,   0.62692207E+03,   0.97263289E+03
1998,   0.57467582E+05,   0.54356306E+05,   0.60708661E+05,   0.86504028E+03,   0.16206401E+04
1999,   0.36809553E+05,   0.34835284E+05,   0.38865388E+05,   0.56708626E+03,   0.10281760E+04
2000,   0.56692825E+05,   0.53916324E+05,   0.59573694E+05,   0.77612292E+03,   0.14433092E+04
2001,   0.32376756E+05,   0.30576448E+05,   0.34254293E+05,   0.48322084E+03,   0.93831237E+03
2002,   0.44482005E+05,   0.42363094E+05,   0.46678308E+05,   0.67942139E+03,   0.11008940E+04
2003,   0.67877390E+05,   0.64373419E+05,   0.71520479E+05,   0.12333959E+04,   0.18233741E+04
2004,   0.58486661E+05,   0.55135743E+05,   0.61985888E+05,   0.12915884E+04,   0.17476571E+04
