YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.92563476E+06,   0.49933402E+06,   0.15747239E+07,   0.90457237E+05,   0.27713723E+06
1985, 2,   0.13747383E+07,   0.52730026E+06,   0.29542968E+07,   0.12972787E+06,   0.63474744E+06
1985, 3,   0.29666571E+07,   0.17551117E+07,   0.47068083E+07,   0.27059636E+06,   0.75854370E+06
1985, 4,   0.16949254E+07,   0.10133449E+07,   0.26672983E+07,   0.14996847E+06,   0.42491892E+06
1985, 5,   0.35377244E+06,   0.23851727E+06,   0.50577825E+06,   0.31694058E+05,   0.68463901E+05
1985, 6,   0.27356505E+06,   0.17738421E+06,   0.40372896E+06,   0.24115019E+05,   0.58032041E+05
1985, 7,   0.16523202E+06,   0.11182280E+06,   0.23549470E+06,   0.15137424E+05,   0.31678384E+05
1985, 8,   0.11762729E+06,   0.78125708E+05,   0.17024519E+06,   0.11191981E+05,   0.23605659E+05
1985, 9,   0.11223776E+07,   0.40798971E+06,   0.24944656E+07,   0.10256740E+06,   0.54732713E+06
1985,10,   0.67004317E+06,   0.35940658E+06,   0.11446993E+07,   0.56551481E+05,   0.20241487E+06
1985,11,   0.44929108E+07,   0.24003234E+07,   0.76983956E+07,   0.39869605E+06,   0.13657996E+07
1985,12,   0.29416666E+07,   0.17233612E+07,   0.47025284E+07,   0.24984541E+06,   0.76581439E+06
1986, 1,   0.13996919E+07,   0.62512471E+06,   0.27222109E+07,   0.11553967E+06,   0.54438481E+06
1986, 2,   0.37569828E+07,   0.17209273E+07,   0.71817232E+07,   0.30673147E+06,   0.14160165E+07
1986, 3,   0.30423277E+08,   0.13668820E+08,   0.58929788E+08,   0.31635809E+07,   0.11746256E+08
1986, 4,   0.55698448E+07,   0.25246855E+07,   0.10723944E+08,   0.42185192E+06,   0.21270756E+07
1986, 5,   0.17595912E+07,   0.89477406E+06,   0.31253474E+07,   0.12645194E+06,   0.57601768E+06
1986, 6,   0.18960205E+07,   0.11776069E+07,   0.28960136E+07,   0.13954716E+06,   0.44103583E+06
1986, 7,   0.45737151E+06,   0.30864170E+06,   0.65340877E+06,   0.33541028E+05,   0.88316884E+05
1986, 8,   0.12951281E+07,   0.74414835E+06,   0.21013953E+07,   0.10001757E+06,   0.34908546E+06
1986, 9,   0.11290288E+06,   0.76618301E+05,   0.16055009E+06,   0.90913096E+04,   0.21497793E+05
1986,10,   0.44719319E+06,   0.28174590E+06,   0.67535501E+06,   0.31934336E+05,   0.10098545E+06
1986,11,   0.73651040E+07,   0.34765810E+07,   0.13789515E+08,   0.60967349E+06,   0.26708521E+07
1986,12,   0.32686882E+07,   0.20786734E+07,   0.48998246E+07,   0.23789648E+06,   0.72363884E+06
1987, 1,   0.38291687E+06,   0.25765302E+06,   0.54834163E+06,   0.28790902E+05,   0.74468435E+05
1987, 2,   0.11970751E+06,   0.81160634E+05,   0.17035677E+06,   0.10025036E+05,   0.22846611E+05
1987, 3,   0.43705699E+07,   0.24960482E+07,   0.71241913E+07,   0.28259457E+06,   0.11905777E+07
1987, 4,   0.14018185E+08,   0.78006812E+07,   0.23302556E+08,   0.97570664E+06,   0.39909801E+07
1987, 5,   0.36425618E+06,   0.24536108E+06,   0.52115788E+06,   0.23506743E+05,   0.70651861E+05
1987, 6,   0.22560909E+06,   0.15339179E+06,   0.32032253E+06,   0.14723070E+05,   0.42755006E+05
1987, 7,   0.55318472E+06,   0.33906717E+06,   0.85379069E+06,   0.35608469E+05,   0.13215054E+06
1987, 8,   0.86336939E+05,   0.59306170E+05,   0.12154594E+06,   0.68235031E+04,   0.15937810E+05
1987, 9,   0.19554329E+07,   0.11944696E+07,   0.30261349E+07,   0.13938833E+06,   0.47030510E+06
1987,10,   0.36956445E+06,   0.24216870E+06,   0.54078069E+06,   0.22927369E+05,   0.76542205E+05
1987,11,   0.59123441E+06,   0.40107721E+06,   0.84100090E+06,   0.37258490E+05,   0.11268031E+06
1987,12,   0.13449863E+07,   0.84374413E+06,   0.20381720E+07,   0.85198906E+05,   0.30647817E+06
1988, 1,   0.27765711E+06,   0.17935342E+06,   0.41102724E+06,   0.18799832E+05,   0.59403563E+05
1988, 2,   0.16416818E+07,   0.83273757E+06,   0.29211537E+07,   0.97920476E+05,   0.53935641E+06
1988, 3,   0.25062845E+07,   0.14529254E+07,   0.40389965E+07,   0.13459857E+06,   0.66496732E+06
1988, 4,   0.11187066E+07,   0.72469075E+06,   0.16522754E+07,   0.61412099E+05,   0.23782668E+06
1988, 5,   0.56007262E+07,   0.27153007E+07,   0.10291835E+08,   0.32379230E+06,   0.19600802E+07
1988, 6,   0.25122381E+06,   0.15994161E+06,   0.37625113E+06,   0.14209758E+05,   0.55482937E+05
1988, 7,   0.15448830E+06,   0.96325410E+05,   0.23524365E+06,   0.91570544E+04,   0.35650428E+05
1988, 8,   0.97131920E+05,   0.63444494E+05,   0.14250289E+06,   0.64883975E+04,   0.20266236E+05
1988, 9,   0.24184287E+06,   0.14778716E+06,   0.37414880E+06,   0.13933862E+05,   0.58120845E+05
1988,10,   0.11127520E+06,   0.64618459E+05,   0.17908989E+06,   0.64945499E+04,   0.29433058E+05
1988,11,   0.10942507E+07,   0.71720739E+06,   0.16009090E+07,   0.64346641E+05,   0.22651508E+06
1988,12,   0.21625739E+06,   0.14090432E+06,   0.31791073E+06,   0.12949422E+05,   0.45377287E+05
1989, 1,   0.14279599E+06,   0.98936572E+05,   0.19959713E+06,   0.96152038E+04,   0.25771901E+05
1989, 2,   0.26260281E+06,   0.15708829E+06,   0.41308153E+06,   0.16190427E+05,   0.65766513E+05
1989, 3,   0.12738014E+07,   0.65632551E+06,   0.22410948E+07,   0.60865634E+05,   0.40905281E+06
1989, 4,   0.61942432E+07,   0.33737878E+07,   0.10462965E+08,   0.30894422E+06,   0.18263666E+07
1989, 5,   0.22082277E+08,   0.12905236E+08,   0.35366897E+08,   0.13914175E+07,   0.57743186E+07
1989, 6,   0.79040397E+07,   0.46972353E+07,   0.12496718E+08,   0.48465490E+06,   0.20041047E+07
1989, 7,   0.66525571E+06,   0.43857472E+06,   0.96869433E+06,   0.37556188E+05,   0.13586550E+06
1989, 8,   0.11912956E+06,   0.83051964E+05,   0.16565907E+06,   0.72194280E+04,   0.21147186E+05
1989, 9,   0.15482975E+06,   0.93814163E+05,   0.24113113E+06,   0.83934358E+04,   0.37833724E+05
1989,10,   0.17359838E+07,   0.85327524E+06,   0.31591890E+07,   0.10997654E+06,   0.59623097E+06
1989,11,   0.16154265E+07,   0.96600415E+06,   0.25418045E+07,   0.92195584E+05,   0.40483837E+06
1989,12,   0.19493087E+06,   0.12383215E+06,   0.29245238E+06,   0.11108152E+05,   0.43252998E+05
1990, 1,   0.15101199E+07,   0.84755558E+06,   0.24941825E+07,   0.78771364E+05,   0.42381394E+06
1990, 2,   0.65669923E+07,   0.42824622E+07,   0.96471397E+07,   0.33311972E+06,   0.13752595E+07
1990, 3,   0.13965688E+07,   0.94712484E+06,   0.19870134E+07,   0.69001161E+05,   0.26635450E+06
1990, 4,   0.31139860E+07,   0.19574449E+07,   0.47112975E+07,   0.13732687E+06,   0.70657557E+06
1990, 5,   0.45889466E+07,   0.29404166E+07,   0.68374076E+07,   0.22455748E+06,   0.99941721E+06
1990, 6,   0.54065195E+06,   0.33836745E+06,   0.82082750E+06,   0.27768951E+05,   0.12380161E+06
1990, 7,   0.51599889E+06,   0.32165522E+06,   0.78587409E+06,   0.28894849E+05,   0.11913267E+06
1990, 8,   0.27149225E+06,   0.19014961E+06,   0.37607518E+06,   0.14919176E+05,   0.47592237E+05
1990, 9,   0.13914888E+06,   0.97685206E+05,   0.19237572E+06,   0.77485233E+04,   0.24237311E+05
1990,10,   0.12471219E+08,   0.52636290E+07,   0.25191324E+08,   0.10183659E+07,   0.51865208E+07
1990,11,   0.49663792E+07,   0.25629313E+07,   0.87278242E+07,   0.31481225E+06,   0.15911630E+07
1990,12,   0.53924255E+07,   0.33326742E+07,   0.82687113E+07,   0.30677743E+06,   0.12670124E+07
1991, 1,   0.35469303E+07,   0.17058554E+07,   0.65546698E+07,   0.19734651E+06,   0.12548052E+07
1991, 2,   0.17381181E+07,   0.10850246E+07,   0.26441963E+07,   0.87400538E+05,   0.40011658E+06
1991, 3,   0.49363231E+07,   0.25977826E+07,   0.85522143E+07,   0.23575053E+06,   0.15357902E+07
1991, 4,   0.32093971E+07,   0.18274879E+07,   0.52431917E+07,   0.14123884E+06,   0.87875853E+06
1991, 5,   0.93182303E+06,   0.61792536E+06,   0.13503845E+07,   0.46010134E+05,   0.18769942E+06
1991, 6,   0.88282600E+05,   0.61033472E+05,   0.12362383E+06,   0.54697403E+04,   0.16025554E+05
1991, 7,   0.37084523E+05,   0.25578068E+05,   0.52031452E+05,   0.34625146E+04,   0.67734017E+04
1991, 8,   0.39127319E+05,   0.26799578E+05,   0.55215888E+05,   0.35362251E+04,   0.72770181E+04
1991, 9,   0.29339401E+05,   0.19743555E+05,   0.42010935E+05,   0.29339720E+04,   0.57044320E+04
1991,10,   0.41672776E+05,   0.28988220E+05,   0.58056437E+05,   0.32512948E+04,   0.74416978E+04
1991,11,   0.30405869E+06,   0.15682316E+06,   0.53456510E+06,   0.16662181E+05,   0.97497399E+05
1991,12,   0.64425184E+06,   0.42380187E+06,   0.93977517E+06,   0.36312178E+05,   0.13224630E+06
1992, 1,   0.53605988E+06,   0.36460910E+06,   0.76086045E+06,   0.31134727E+05,   0.10148876E+06
1992, 2,   0.28094510E+06,   0.17817905E+06,   0.42205497E+06,   0.16643117E+05,   0.62559425E+05
1992, 3,   0.44685396E+07,   0.22856686E+07,   0.79034462E+07,   0.20942061E+06,   0.14504126E+07
1992, 4,   0.38406157E+07,   0.25899289E+07,   0.54898703E+07,   0.17567679E+06,   0.74287099E+06
1992, 5,   0.14712425E+07,   0.95712320E+06,   0.21655079E+07,   0.73493915E+05,   0.30979184E+06
1992, 6,   0.14606010E+07,   0.76351257E+06,   0.25429350E+07,   0.79364147E+05,   0.45906222E+06
1992, 7,   0.52122751E+06,   0.32907072E+06,   0.78586549E+06,   0.31626742E+05,   0.11719061E+06
1992, 8,   0.11305394E+07,   0.64329745E+06,   0.18479460E+07,   0.73922950E+05,   0.30992660E+06
1992, 9,   0.54345750E+06,   0.35010797E+06,   0.80624004E+06,   0.32894740E+05,   0.11696426E+06
