CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.85801699E+06,   0.56816459E+06,   0.12448835E+07,   0.91520253E+05,   0.17342090E+06
1986,   0.14306832E+07,   0.84347477E+06,   0.22759732E+07,   0.13875836E+06,   0.36816733E+06
1987,   0.57794511E+06,   0.39544330E+06,   0.81628777E+06,   0.40588088E+05,   0.10777461E+06
1988,   0.65482082E+06,   0.35218539E+06,   0.11164786E+07,   0.44509440E+05,   0.19698450E+06
1989,   0.13544186E+07,   0.86738064E+06,   0.20189386E+07,   0.95415230E+05,   0.29533088E+06
1990,   0.13886607E+07,   0.94549899E+06,   0.19693176E+07,   0.91241078E+05,   0.26221711E+06
1991,   0.63870875E+06,   0.36195138E+06,   0.10472596E+07,   0.39619085E+05,   0.17633480E+06
1992,   0.55970724E+06,   0.43819171E+06,   0.70450682E+06,   0.30626155E+05,   0.68048505E+05
1993,   0.42341280E+07,   0.23871680E+07,   0.69694805E+07,   0.42075072E+06,   0.11792464E+07
1994,   0.28933000E+07,   0.18362797E+07,   0.43440359E+07,   0.23208369E+06,   0.64328238E+06
1995,   0.48975829E+06,   0.27748040E+06,   0.80316837E+06,   0.30571104E+05,   0.13526427E+06
1996,   0.43635837E+07,   0.19041245E+07,   0.86206155E+07,   0.47013125E+06,   0.17453610E+07
1997,   0.49961888E+06,   0.35244451E+06,   0.68793180E+06,   0.29534477E+05,   0.85864730E+05
1998,   0.13855958E+07,   0.75579853E+06,   0.23379074E+07,   0.97329448E+05,   0.40757516E+06
1999,   0.54440168E+06,   0.30924933E+06,   0.89100819E+06,   0.32989531E+05,   0.14967996E+06
2000,   0.53666948E+06,   0.37616996E+06,   0.74291680E+06,   0.30842884E+05,   0.93876521E+05
2001,   0.29894142E+06,   0.22122773E+06,   0.39520136E+06,   0.18055570E+05,   0.44490033E+05
2002,   0.84801750E+06,   0.49232897E+06,   0.13650856E+07,   0.57712385E+05,   0.22440605E+06
2003,   0.20327054E+07,   0.13765929E+07,   0.28954666E+07,   0.15638917E+06,   0.38905190E+06
2004,   0.42352585E+07,   0.15530135E+07,   0.93620839E+07,   0.57570703E+06,   0.20474625E+07
