YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.57218947E+06,   0.22868736E+06,   0.11977055E+07,   0.70645253E+05,   0.25288517E+06
1985, 2,   0.12382258E+07,   0.42656489E+06,   0.28437756E+07,   0.14705646E+06,   0.63611449E+06
1985, 3,   0.15821828E+07,   0.83383220E+06,   0.27382679E+07,   0.17781349E+06,   0.49117524E+06
1985, 4,   0.19490622E+07,   0.82913267E+06,   0.39165201E+07,   0.21882212E+06,   0.80324417E+06
1985, 5,   0.16585470E+06,   0.97392799E+05,   0.26465736E+06,   0.17833652E+05,   0.42993595E+05
1985, 6,   0.18720496E+06,   0.93970027E+05,   0.33561793E+06,   0.19844195E+05,   0.62432325E+05
1985, 7,   0.48875045E+05,   0.28808429E+05,   0.77765152E+05,   0.53194153E+04,   0.12582477E+05
1985, 8,   0.29292550E+05,   0.17051936E+05,   0.47056434E+05,   0.33042163E+04,   0.77142574E+04
1985, 9,   0.47964346E+05,   0.25790435E+05,   0.81795003E+05,   0.51571474E+04,   0.14434413E+05
1985,10,   0.21997188E+05,   0.13243998E+05,   0.34428682E+05,   0.26039041E+04,   0.54415447E+04
1985,11,   0.31255733E+07,   0.12663429E+07,   0.64849677E+07,   0.37198125E+06,   0.13609637E+07
1985,12,   0.14251481E+07,   0.65856918E+06,   0.27078425E+07,   0.15727041E+06,   0.53119065E+06
1986, 1,   0.74388598E+06,   0.28636928E+06,   0.15949138E+07,   0.77797033E+05,   0.34216460E+06
1986, 2,   0.16899395E+07,   0.78509451E+06,   0.31991978E+07,   0.16993760E+06,   0.62561834E+06
1986, 3,   0.66718001E+07,   0.21865051E+07,   0.15786534E+08,   0.79982814E+06,   0.35902803E+07
1986, 4,   0.16364523E+07,   0.62203675E+06,   0.35368733E+07,   0.15337351E+06,   0.76270951E+06
1986, 5,   0.17236457E+06,   0.90532479E+05,   0.29904682E+06,   0.15506886E+05,   0.53784431E+05
1986, 6,   0.71036534E+06,   0.36788425E+06,   0.12451916E+07,   0.66238136E+05,   0.22640528E+06
1986, 7,   0.21533318E+06,   0.10554481E+06,   0.39264803E+06,   0.20504480E+05,   0.74243154E+05
1986, 8,   0.66489764E+05,   0.40401546E+05,   0.10332200E+06,   0.61839766E+04,   0.16157925E+05
1986, 9,   0.26424908E+05,   0.14933728E+05,   0.43417742E+05,   0.25988759E+04,   0.73297552E+04
1986,10,   0.18839156E+06,   0.89127953E+05,   0.35216801E+06,   0.17949288E+05,   0.68116072E+05
1986,11,   0.35545366E+07,   0.12828768E+07,   0.79348942E+07,   0.38642884E+06,   0.17456889E+07
1986,12,   0.15239184E+07,   0.84210429E+06,   0.25465322E+07,   0.14493713E+06,   0.43890399E+06
1987, 1,   0.20248687E+06,   0.12117529E+06,   0.31841912E+06,   0.19277922E+05,   0.50672814E+05
1987, 2,   0.77980734E+05,   0.46615340E+05,   0.12273231E+06,   0.77091925E+04,   0.19555370E+05
1987, 3,   0.10435803E+07,   0.49631976E+06,   0.19436675E+07,   0.85170810E+05,   0.37472099E+06
1987, 4,   0.32025938E+07,   0.15444255E+07,   0.59071023E+07,   0.26341486E+06,   0.11288785E+07
1987, 5,   0.30938933E+06,   0.17363426E+06,   0.51102509E+06,   0.23829557E+05,   0.86838861E+05
1987, 6,   0.12277814E+06,   0.71820806E+05,   0.19649949E+06,   0.97374505E+04,   0.32050844E+05
1987, 7,   0.35268150E+06,   0.15214726E+06,   0.70211235E+06,   0.30227699E+05,   0.14299035E+06
1987, 8,   0.32335467E+05,   0.17587071E+05,   0.54676749E+05,   0.27409489E+04,   0.95557588E+04
1987, 9,   0.57212610E+06,   0.26493454E+06,   0.10855027E+07,   0.53547431E+05,   0.21268022E+06
1987,10,   0.19608117E+06,   0.11802504E+06,   0.30695706E+06,   0.16679996E+05,   0.48529839E+05
1987,11,   0.21358208E+06,   0.90086372E+05,   0.43161195E+06,   0.17775311E+05,   0.88890589E+05
1987,12,   0.61938414E+06,   0.30721958E+06,   0.11199213E+07,   0.51813338E+05,   0.21006425E+06
1988, 1,   0.15413768E+06,   0.86655590E+05,   0.25425791E+06,   0.13192330E+05,   0.43135773E+05
1988, 2,   0.20619913E+07,   0.70757048E+06,   0.47468943E+07,   0.17275431E+06,   0.10632469E+07
1988, 3,   0.90614497E+06,   0.49427008E+06,   0.15289403E+07,   0.63479298E+05,   0.26654676E+06
1988, 4,   0.25708912E+06,   0.15121053E+06,   0.40973347E+06,   0.18437815E+05,   0.66447581E+05
1988, 5,   0.30702156E+07,   0.86054908E+06,   0.79426778E+07,   0.27911659E+06,   0.18903606E+07
1988, 6,   0.52407630E+05,   0.28382944E+05,   0.88897968E+05,   0.37960096E+04,   0.15593221E+05
1988, 7,   0.16491505E+05,   0.95299604E+04,   0.26641588E+05,   0.15349892E+04,   0.44003921E+04
1988, 8,   0.80115672E+06,   0.11744658E+06,   0.28283282E+07,   0.87302855E+05,   0.77354433E+06
1988, 9,   0.80258017E+05,   0.42755886E+05,   0.13780645E+06,   0.61092507E+04,   0.24505601E+05
1988,10,   0.34020178E+05,   0.19741888E+05,   0.54782721E+05,   0.26380507E+04,   0.90099325E+04
1988,11,   0.34210920E+06,   0.18749582E+06,   0.57520642E+06,   0.26979558E+05,   0.99864848E+05
1988,12,   0.11172862E+06,   0.58568476E+05,   0.19412506E+06,   0.87695900E+04,   0.34968009E+05
1989, 1,   0.15044124E+06,   0.93028666E+05,   0.23058465E+06,   0.12216706E+05,   0.35308219E+05
