CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.10454186E+03,   0.96748270E+02,   0.11279037E+03,   0.34620935E+01,   0.40930600E+01
1986,   0.13135383E+03,   0.12288117E+03,   0.14025103E+03,   0.36546218E+01,   0.44316406E+01
1987,   0.26845733E+03,   0.25246323E+03,   0.28518884E+03,   0.68378133E+01,   0.83492576E+01
1988,   0.40103172E+03,   0.37572285E+03,   0.42758002E+03,   0.10849801E+02,   0.13230452E+02
1989,   0.65247865E+03,   0.58875940E+03,   0.72116041E+03,   0.28697235E+02,   0.33785718E+02
1990,   0.41405605E+03,   0.39228271E+03,   0.43671065E+03,   0.91359442E+01,   0.11334591E+02
1991,   0.28317195E+03,   0.26772167E+03,   0.29927207E+03,   0.59868367E+01,   0.80492848E+01
1992,   0.10842164E+03,   0.10405958E+03,   0.11291750E+03,   0.17651647E+01,   0.22597807E+01
1993,   0.66584869E+03,   0.60732603E+03,   0.72844148E+03,   0.27659515E+02,   0.30904109E+02
1994,   0.53180078E+03,   0.49708569E+03,   0.56827735E+03,   0.15376078E+02,   0.18163463E+02
1995,   0.11072828E+03,   0.10636546E+03,   0.11522206E+03,   0.18773329E+01,   0.22594398E+01
1996,   0.10573574E+04,   0.98921473E+03,   0.11289114E+04,   0.32777013E+02,   0.35641348E+02
1997,   0.42102323E+03,   0.39938767E+03,   0.44351373E+03,   0.92804485E+01,   0.11257530E+02
1998,   0.46942927E+03,   0.43315734E+03,   0.50790033E+03,   0.15369330E+02,   0.19070544E+02
1999,   0.79755058E+02,   0.76612361E+02,   0.82992110E+02,   0.14339404E+01,   0.16275612E+01
2000,   0.19196663E+03,   0.18309704E+03,   0.20115009E+03,   0.35588261E+01,   0.46056620E+01
2001,   0.28284032E+03,   0.26816020E+03,   0.29810658E+03,   0.57176897E+01,   0.76399931E+01
2002,   0.74344183E+02,   0.70699128E+02,   0.78126415E+02,   0.17614937E+01,   0.18948512E+01
2003,   0.10894653E+04,   0.99200061E+03,   0.11938382E+04,   0.48704248E+02,   0.51501809E+02
2004,   0.43506066E+03,   0.40411320E+03,   0.46772714E+03,   0.14480706E+02,   0.16230526E+02
