YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.25671671E+03,   0.22640360E+03,   0.28993197E+03,   0.10854591E+02,   0.16213323E+02
1985, 2,   0.31822776E+03,   0.26999357E+03,   0.37255678E+03,   0.12850522E+02,   0.26183586E+02
1985, 3,   0.86941507E+02,   0.75540920E+02,   0.99567281E+02,   0.31794499E+01,   0.61325282E+01
1985, 4,   0.44346853E+02,   0.39699026E+02,   0.49385399E+02,   0.20020659E+01,   0.24718573E+01
1985, 5,   0.37241185E+02,   0.33094661E+02,   0.41759990E+02,   0.18646933E+01,   0.22113997E+01
1985, 6,   0.17435050E+03,   0.15662347E+03,   0.19351958E+03,   0.68549669E+01,   0.94152881E+01
1985, 7,   0.68439892E+02,   0.62251035E+02,   0.75072484E+02,   0.24316515E+01,   0.32715988E+01
1985, 8,   0.64332924E+02,   0.58582361E+02,   0.70490717E+02,   0.22438676E+01,   0.30385904E+01
1985, 9,   0.58760597E+02,   0.53497142E+02,   0.64397624E+02,   0.20181170E+01,   0.27814198E+01
1985,10,   0.55068870E+02,   0.50228176E+02,   0.60246268E+02,   0.18592097E+01,   0.25562407E+01
1985,11,   0.53630132E+02,   0.48914835E+02,   0.58673491E+02,   0.17842439E+01,   0.24900427E+01
1985,12,   0.54315643E+02,   0.49581509E+02,   0.59376093E+02,   0.17986590E+01,   0.24991994E+01
1986, 1,   0.60858196E+02,   0.55558063E+02,   0.66523346E+02,   0.20154724E+01,   0.27979153E+01
1986, 2,   0.13090792E+03,   0.11576204E+03,   0.14747185E+03,   0.43051642E+01,   0.80926363E+01
1986, 3,   0.38093997E+03,   0.34509719E+03,   0.41946458E+03,   0.14243642E+02,   0.18976445E+02
1986, 4,   0.41493703E+03,   0.36429372E+03,   0.47060825E+03,   0.13745323E+02,   0.27133806E+02
1986, 5,   0.10534159E+03,   0.95063016E+02,   0.11641994E+03,   0.32992387E+01,   0.54497962E+01
1986, 6,   0.65035881E+02,   0.59358677E+02,   0.71105048E+02,   0.21319964E+01,   0.29972221E+01
1986, 7,   0.64323984E+02,   0.58878359E+02,   0.70133474E+02,   0.20122731E+01,   0.28718316E+01
1986, 8,   0.57526222E+02,   0.52696135E+02,   0.62676216E+02,   0.17687968E+01,   0.25464868E+01
1986, 9,   0.54664654E+02,   0.50087300E+02,   0.59544298E+02,   0.16355246E+01,   0.24130158E+01
1986,10,   0.51265305E+02,   0.47029974E+02,   0.55776355E+02,   0.15100911E+01,   0.22316840E+01
1986,11,   0.54624543E+02,   0.50014163E+02,   0.59541978E+02,   0.15679694E+01,   0.24310937E+01
1986,12,   0.13783709E+03,   0.11623478E+03,   0.16227415E+03,   0.42878608E+01,   0.11754144E+02
1987, 1,   0.48087550E+03,   0.42970225E+03,   0.53642242E+03,   0.15921663E+02,   0.27234130E+02
1987, 2,   0.65987473E+02,   0.60333759E+02,   0.72023814E+02,   0.19665553E+01,   0.29828262E+01
1987, 3,   0.26153492E+03,   0.23762762E+03,   0.28717637E+03,   0.84736847E+01,   0.12643232E+02
1987, 4,   0.88690044E+03,   0.78419749E+03,   0.99922825E+03,   0.29981640E+02,   0.54877872E+02
1987, 5,   0.30106784E+03,   0.27399547E+03,   0.33006963E+03,   0.97035001E+01,   0.14308182E+02
1987, 6,   0.78183849E+02,   0.71836344E+02,   0.84936967E+02,   0.21829214E+01,   0.33426666E+01
1987, 7,   0.21727132E+03,   0.19695742E+03,   0.23909482E+03,   0.69934266E+01,   0.10752230E+02
1987, 8,   0.67396318E+02,   0.62072167E+02,   0.73050942E+02,   0.17827784E+01,   0.28012393E+01
1987, 9,   0.40717348E+03,   0.36615006E+03,   0.45150129E+03,   0.14728107E+02,   0.21780118E+02
1987,10,   0.66787574E+02,   0.60916337E+02,   0.73067228E+02,   0.17067870E+01,   0.31004509E+01
1987,11,   0.66108910E+02,   0.60514176E+02,   0.72077330E+02,   0.16614817E+01,   0.29504294E+01
1987,12,   0.31436574E+03,   0.28289339E+03,   0.34835580E+03,   0.98534245E+01,   0.16704775E+02
1988, 1,   0.56218448E+03,   0.50954861E+03,   0.61873784E+03,   0.16880581E+02,   0.27861911E+02
1988, 2,   0.98879221E+03,   0.89525228E+03,   0.10893718E+04,   0.30039169E+02,   0.49533932E+02
1988, 3,   0.57396507E+03,   0.50654077E+03,   0.64780804E+03,   0.17192696E+02,   0.36053201E+02
1988, 4,   0.49762418E+03,   0.44936517E+03,   0.54961350E+03,   0.13465064E+02,   0.25580978E+02
1988, 5,   0.15766263E+04,   0.14009576E+04,   0.17680790E+04,   0.64723444E+02,   0.93689780E+02
1988, 6,   0.23689458E+03,   0.21521557E+03,   0.26014798E+03,   0.67684292E+01,   0.11465298E+02
1988, 7,   0.74837818E+02,   0.69088568E+02,   0.80933508E+02,   0.18560625E+01,   0.30222094E+01
1988, 8,   0.74874771E+02,   0.69200699E+02,   0.80885839E+02,   0.17823781E+01,   0.29814220E+01
1988, 9,   0.63262338E+02,   0.58428504E+02,   0.68385787E+02,   0.15002858E+01,   0.25405730E+01
1988,10,   0.58726638E+02,   0.54294653E+02,   0.63420698E+02,   0.13796213E+01,   0.23284747E+01
1988,11,   0.56979557E+02,   0.52635906E+02,   0.61582814E+02,   0.13445986E+01,   0.22827766E+01
1988,12,   0.61359563E+02,   0.56717910E+02,   0.66276376E+02,   0.14595198E+01,   0.24388070E+01
1989, 1,   0.66280678E+02,   0.61196471E+02,   0.71670762E+02,   0.16384608E+01,   0.26724899E+01
1989, 2,   0.72833661E+02,   0.66992629E+02,   0.79043103E+02,   0.18704461E+01,   0.30747022E+01
1989, 3,   0.62807890E+03,   0.57358842E+03,   0.68630678E+03,   0.16577785E+02,   0.28761306E+02
1989, 4,   0.62737457E+03,   0.57525964E+03,   0.68290196E+03,   0.17255261E+02,   0.27465554E+02
1989, 5,   0.26801800E+04,   0.21061294E+04,   0.33624621E+04,   0.25818934E+03,   0.32100099E+03
1989, 6,   0.15144846E+04,   0.13311627E+04,   0.17158420E+04,   0.66399304E+02,   0.98177824E+02
1989, 7,   0.65708333E+03,   0.60101533E+03,   0.71692931E+03,   0.20618945E+02,   0.29576474E+02
1989, 8,   0.67450792E+03,   0.61532659E+03,   0.73779757E+03,   0.22298870E+02,   0.31249962E+02
1989, 9,   0.19578417E+03,   0.17235255E+03,   0.22149250E+03,   0.54869864E+01,   0.12541357E+02
1989,10,   0.13350936E+03,   0.11569342E+03,   0.15327744E+03,   0.34989986E+01,   0.95932043E+01
1989,11,   0.36502597E+03,   0.31036952E+03,   0.42649445E+03,   0.13587529E+02,   0.29645218E+02
1989,12,   0.16149817E+03,   0.14793721E+03,   0.17595736E+03,   0.44013710E+01,   0.71495364E+01
1990, 1,   0.17964185E+03,   0.15679534E+03,   0.20486185E+03,   0.41031322E+01,   0.12268154E+02
1990, 2,   0.59040086E+03,   0.53875535E+03,   0.64561999E+03,   0.15706609E+02,   0.27267776E+02
1990, 3,   0.52745590E+03,   0.47973912E+03,   0.57859548E+03,   0.13172226E+02,   0.25224796E+02
