CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.27592665E+01,   0.21315779E+01,   0.35141649E+01,   0.30966444E+00,   0.35334042E+00
1986,   0.30292927E+01,   0.24352674E+01,   0.37242227E+01,   0.27770892E+00,   0.32924378E+00
1987,   0.61615621E+01,   0.49864116E+01,   0.75299506E+01,   0.54407990E+00,   0.64965778E+00
1988,   0.75770000E+01,   0.60786093E+01,   0.93324488E+01,   0.66945294E+00,   0.83116348E+00
1989,   0.12888977E+02,   0.96103775E+01,   0.16929188E+02,   0.15856239E+01,   0.18714059E+01
1990,   0.84334471E+01,   0.69253693E+01,   0.10171638E+02,   0.65457068E+00,   0.82901191E+00
1991,   0.52764120E+01,   0.43794701E+01,   0.63024711E+01,   0.36238010E+00,   0.49102963E+00
1992,   0.25325096E+01,   0.21881161E+01,   0.29154406E+01,   0.14641746E+00,   0.18565167E+00
1993,   0.99794708E+01,   0.74289467E+01,   0.13125951E+02,   0.12811215E+01,   0.14567502E+01
1994,   0.82849659E+01,   0.66475784E+01,   0.10203055E+02,   0.75485183E+00,   0.90821218E+00
1995,   0.26403365E+01,   0.22703469E+01,   0.30531358E+01,   0.16190065E+00,   0.19981689E+00
1996,   0.20864217E+02,   0.16348517E+02,   0.26241984E+02,   0.23016139E+01,   0.25279379E+01
1997,   0.67363262E+01,   0.56519397E+01,   0.79674007E+01,   0.47807708E+00,   0.59117988E+00
1998,   0.71673618E+01,   0.55967045E+01,   0.90423556E+01,   0.69550033E+00,   0.88045872E+00
1999,   0.18802969E+01,   0.16258353E+01,   0.21630793E+01,   0.11679295E+00,   0.13713222E+00
2000,   0.37075993E+01,   0.31615615E+01,   0.43204365E+01,   0.23102707E+00,   0.29583857E+00
2001,   0.51509282E+01,   0.42697692E+01,   0.61598542E+01,   0.35419751E+00,   0.48263102E+00
2002,   0.17297336E+01,   0.14436019E+01,   0.20557905E+01,   0.14334176E+00,   0.15631105E+00
2003,   0.20602220E+02,   0.14743161E+02,   0.28026873E+02,   0.31897614E+01,   0.33989535E+01
2004,   0.71877288E+01,   0.55832038E+01,   0.91101272E+01,   0.80669988E+00,   0.90128942E+00
