YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.59387018E+01,   0.37057903E+01,   0.90373556E+01,   0.87165864E+00,   0.13682064E+01
1985, 2,   0.59982264E+01,   0.32850187E+01,   0.10090536E+02,   0.83392265E+00,   0.17529766E+01
1985, 3,   0.17078048E+01,   0.10253378E+01,   0.26788194E+01,   0.21673627E+00,   0.42474923E+00
1985, 4,   0.97475381E+00,   0.64539052E+00,   0.14143895E+01,   0.15509213E+00,   0.19706975E+00
1985, 5,   0.93268804E+00,   0.60179556E+00,   0.13819466E+01,   0.16420066E+00,   0.20004400E+00
1985, 6,   0.44395503E+01,   0.30061989E+01,   0.63245001E+01,   0.58756879E+00,   0.84996839E+00
1985, 7,   0.23196383E+01,   0.16320284E+01,   0.32010125E+01,   0.28464670E+00,   0.40158599E+00
1985, 8,   0.25521045E+01,   0.18011631E+01,   0.35126489E+01,   0.30844280E+00,   0.43803447E+00
1985, 9,   0.25166136E+01,   0.17717374E+01,   0.34709843E+01,   0.30164455E+00,   0.43492202E+00
1985,10,   0.23087602E+01,   0.16344365E+01,   0.31695176E+01,   0.27404617E+00,   0.39286353E+00
1985,11,   0.20024083E+01,   0.14157226E+01,   0.27519534E+01,   0.23528667E+00,   0.34198122E+00
1985,12,   0.16977912E+01,   0.12041999E+01,   0.23270417E+01,   0.19852607E+00,   0.28735177E+00
1986, 1,   0.15495908E+01,   0.11006402E+01,   0.21213860E+01,   0.18055624E+00,   0.26121720E+00
1986, 2,   0.25773425E+01,   0.16540831E+01,   0.38352836E+01,   0.29146468E+00,   0.55936693E+00
1986, 3,   0.67220724E+01,   0.46729565E+01,   0.93699041E+01,   0.85730139E+00,   0.12024714E+01
1986, 4,   0.72246354E+01,   0.44815439E+01,   0.11045988E+02,   0.81268256E+00,   0.16848439E+01
1986, 5,   0.22659441E+01,   0.15628458E+01,   0.31792828E+01,   0.24338029E+00,   0.41388962E+00
1986, 6,   0.17899383E+01,   0.12710406E+01,   0.24509299E+01,   0.20481423E+00,   0.30194465E+00
1986, 7,   0.21344806E+01,   0.15321812E+01,   0.28961273E+01,   0.23241292E+00,   0.34897893E+00
1986, 8,   0.22379618E+01,   0.16101514E+01,   0.30306374E+01,   0.24035074E+00,   0.36343058E+00
1986, 9,   0.22908153E+01,   0.16472305E+01,   0.31037241E+01,   0.24087002E+00,   0.37264688E+00
1986,10,   0.21024763E+01,   0.15172147E+01,   0.28399307E+01,   0.21916183E+00,   0.33839852E+00
1986,11,   0.19867178E+01,   0.14204814E+01,   0.27046790E+01,   0.20291730E+00,   0.32859755E+00
1986,12,   0.34637008E+01,   0.19122667E+01,   0.57919412E+01,   0.37338621E+00,   0.99907646E+00
1987, 1,   0.10339680E+02,   0.67374676E+01,   0.15198896E+02,   0.12137475E+01,   0.21691638E+01
1987, 2,   0.14007166E+01,   0.99863551E+00,   0.19115232E+01,   0.14698618E+00,   0.23359959E+00
1987, 3,   0.45537793E+01,   0.31929230E+01,   0.63021490E+01,   0.50131700E+00,   0.79586661E+00
1987, 4,   0.14178677E+02,   0.90703769E+01,   0.21153410E+02,   0.16132867E+01,   0.30989180E+01
1987, 5,   0.58687501E+01,   0.41492846E+01,   0.80655184E+01,   0.63605915E+00,   0.10022806E+01
1987, 6,   0.20627213E+01,   0.14984606E+01,   0.27705133E+01,   0.20107159E+00,   0.32539982E+00
1987, 7,   0.62080149E+01,   0.43180418E+01,   0.86492793E+01,   0.67962874E+00,   0.11088335E+01
1987, 8,   0.25102599E+01,   0.18395494E+01,   0.33466069E+01,   0.23319182E+00,   0.38545930E+00
1987, 9,   0.13990314E+02,   0.93880597E+01,   0.20079101E+02,   0.17850146E+01,   0.27389817E+01
1987,10,   0.25907378E+01,   0.18338193E+01,   0.35570095E+01,   0.23661003E+00,   0.44100617E+00
1987,11,   0.22658150E+01,   0.16293504E+01,   0.30696980E+01,   0.20460707E+00,   0.36851550E+00
1987,12,   0.77618197E+01,   0.52438934E+01,   0.11078074E+02,   0.86606424E+00,   0.14944705E+01
1988, 1,   0.11166301E+02,   0.77479746E+01,   0.15588928E+02,   0.11901071E+01,   0.20074447E+01
1988, 2,   0.16446689E+02,   0.11333776E+02,   0.23092261E+02,   0.17441393E+01,   0.30108176E+01
1988, 3,   0.89024505E+01,   0.55798252E+01,   0.13500060E+02,   0.91331234E+00,   0.20322968E+01
1988, 4,   0.81751459E+01,   0.56100449E+01,   0.11518549E+02,   0.75381578E+00,   0.15130276E+01
1988, 5,   0.27602054E+02,   0.17763316E+02,   0.40983118E+02,   0.39287532E+01,   0.59543130E+01
1988, 6,   0.53299532E+01,   0.37435921E+01,   0.73656808E+01,   0.51132920E+00,   0.92711369E+00
1988, 7,   0.23278582E+01,   0.17188036E+01,   0.30834292E+01,   0.20313928E+00,   0.34898650E+00
1988, 8,   0.27028992E+01,   0.20028502E+01,   0.35692440E+01,   0.22736006E+00,   0.40056332E+00
1988, 9,   0.24836829E+01,   0.18335241E+01,   0.32903467E+01,   0.20987144E+00,   0.37256588E+00
1988,10,   0.22582322E+01,   0.16722728E+01,   0.29837049E+01,   0.19032231E+00,   0.33536714E+00
1988,11,   0.19513281E+01,   0.14401810E+01,   0.25856209E+01,   0.16543010E+00,   0.29293442E+00
1988,12,   0.17506785E+01,   0.12958273E+01,   0.23140019E+01,   0.14905398E+00,   0.26037550E+00
1989, 1,   0.15485897E+01,   0.11428540E+01,   0.20521010E+01,   0.13588113E+00,   0.23253079E+00
1989, 2,   0.14574287E+01,   0.10604289E+01,   0.19548771E+01,   0.13210037E+00,   0.22879986E+00
1989, 3,   0.97930799E+01,   0.69783543E+01,   0.13370166E+02,   0.88896521E+00,   0.16356212E+01
1989, 4,   0.10009348E+02,   0.72414595E+01,   0.13490998E+02,   0.93657231E+00,   0.15987874E+01
1989, 5,   0.39114213E+02,   0.17551677E+02,   0.75828332E+02,   0.11833524E+02,   0.15124952E+02
1989, 6,   0.29790946E+02,   0.18654632E+02,   0.45210022E+02,   0.44231986E+01,   0.68141530E+01
1989, 7,   0.16889077E+02,   0.12087223E+02,   0.22973612E+02,   0.18457147E+01,   0.27855364E+01
1989, 8,   0.20063295E+02,   0.14199391E+02,   0.27549835E+02,   0.23403713E+01,   0.34167118E+01
1989, 9,   0.66279149E+01,   0.41540838E+01,   0.10051089E+02,   0.65543011E+00,   0.15131463E+01
1989,10,   0.44382459E+01,   0.26640842E+01,   0.69628695E+01,   0.40949376E+00,   0.11042858E+01
1989,11,   0.97641220E+01,   0.54158768E+01,   0.16270428E+02,   0.12367573E+01,   0.27948034E+01
1989,12,   0.42147537E+01,   0.30066380E+01,   0.57489501E+01,   0.41435870E+00,   0.70172519E+00
1990, 1,   0.35255963E+01,   0.21960418E+01,   0.53728043E+01,   0.28232394E+00,   0.81526948E+00
1990, 2,   0.97094849E+01,   0.68904739E+01,   0.13301945E+02,   0.90464877E+00,   0.16407735E+01
1990, 3,   0.81267881E+01,   0.57165043E+01,   0.11216734E+02,   0.70190139E+00,   0.14078055E+01
1990, 4,   0.13543981E+02,   0.92128580E+01,   0.19222510E+02,   0.12544899E+01,   0.25636900E+01
1990, 5,   0.13549097E+02,   0.87911261E+01,   0.19985449E+02,   0.13873288E+01,   0.28700459E+01
1990, 6,   0.78073035E+01,   0.52507500E+01,   0.11184602E+02,   0.68498270E+00,   0.15201462E+01
1990, 7,   0.24033787E+01,   0.17861927E+01,   0.31656320E+01,   0.19559265E+00,   0.35273810E+00
1990, 8,   0.73907341E+01,   0.49833912E+01,   0.10565488E+02,   0.72510449E+00,   0.14299557E+01
1990, 9,   0.27085351E+01,   0.20143196E+01,   0.35655353E+01,   0.21134302E+00,   0.39665910E+00
1990,10,   0.17439860E+02,   0.99056235E+01,   0.28545885E+02,   0.28376417E+01,   0.47959449E+01
1990,11,   0.66888365E+01,   0.41795159E+01,   0.10168012E+02,   0.66781118E+00,   0.15367387E+01
1990,12,   0.83349624E+01,   0.59551060E+01,   0.11353982E+02,   0.89775724E+00,   0.13814698E+01
1991, 1,   0.19060894E+02,   0.13073963E+02,   0.26866861E+02,   0.20937188E+01,   0.35320672E+01
1991, 2,   0.49485371E+01,   0.34778606E+01,   0.68350207E+01,   0.45841625E+00,   0.85929227E+00
1991, 3,   0.12890733E+02,   0.86697703E+01,   0.18466693E+02,   0.12070946E+01,   0.25097943E+01
1991, 4,   0.80414406E+01,   0.57237470E+01,   0.10989107E+02,   0.69958839E+00,   0.13473970E+01
1991, 5,   0.19010735E+01,   0.14030021E+01,   0.25191668E+01,   0.16646934E+00,   0.28544787E+00
1991, 6,   0.21585971E+01,   0.15931659E+01,   0.28602490E+01,   0.18296101E+00,   0.32404336E+00
1991, 7,   0.24104233E+01,   0.17908309E+01,   0.31758229E+01,   0.19730771E+00,   0.35415986E+00
1991, 8,   0.25302213E+01,   0.18835410E+01,   0.33280090E+01,   0.20304281E+00,   0.36935715E+00
1991, 9,   0.26684591E+01,   0.19842638E+01,   0.35131626E+01,   0.20894504E+00,   0.39095327E+00
1991,10,   0.24823099E+01,   0.18526537E+01,   0.32577254E+01,   0.19390197E+00,   0.35926879E+00
1991,11,   0.21807495E+01,   0.16201030E+01,   0.28733583E+01,   0.17175763E+00,   0.32047341E+00
1991,12,   0.18164074E+01,   0.13503117E+01,   0.23919534E+01,   0.14789918E+00,   0.26635837E+00
1992, 1,   0.16335846E+01,   0.12098480E+01,   0.21581686E+01,   0.13857471E+00,   0.24250970E+00
1992, 2,   0.14921074E+01,   0.10909807E+01,   0.19930602E+01,   0.13388166E+00,   0.23073300E+00
1992, 3,   0.15672594E+01,   0.11521169E+01,   0.20838194E+01,   0.14241516E+00,   0.23828874E+00
1992, 4,   0.22792505E+01,   0.16079077E+01,   0.31382258E+01,   0.18925695E+00,   0.39166985E+00
