CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.47850691E+02,   0.41317722E+02,   0.55117925E+02,   0.28475825E+01,   0.35225591E+01
1986,   0.40940272E+02,   0.36075016E+02,   0.46274603E+02,   0.20221129E+01,   0.26030920E+01
1987,   0.45771373E+02,   0.40902545E+02,   0.51056143E+02,   0.17721280E+01,   0.25911157E+01
1988,   0.41406918E+02,   0.37311388E+02,   0.45825825E+02,   0.13877284E+01,   0.21727076E+01
1989,   0.55148191E+02,   0.48884570E+02,   0.61986506E+02,   0.19234454E+01,   0.33436813E+01
1990,   0.40733597E+02,   0.36772302E+02,   0.45002010E+02,   0.13231427E+01,   0.21000283E+01
1991,   0.29309982E+02,   0.26336537E+02,   0.32524726E+02,   0.10284430E+01,   0.15791232E+01
1992,   0.28810747E+02,   0.25726437E+02,   0.32160380E+02,   0.10199860E+01,   0.16418978E+01
1993,   0.35174712E+02,   0.31276958E+02,   0.39420592E+02,   0.12372878E+01,   0.20782549E+01
1994,   0.33657494E+02,   0.30145026E+02,   0.37463872E+02,   0.11855324E+01,   0.18676842E+01
1995,   0.24942412E+02,   0.22233639E+02,   0.27887868E+02,   0.93079761E+00,   0.14429360E+01
1996,   0.48412190E+02,   0.42882098E+02,   0.54452856E+02,   0.19055622E+01,   0.29529314E+01
1997,   0.27279708E+02,   0.24461646E+02,   0.30330987E+02,   0.99156031E+00,   0.14977767E+01
1998,   0.26813106E+02,   0.23866191E+02,   0.30020881E+02,   0.10457756E+01,   0.15706661E+01
1999,   0.23373023E+02,   0.20023251E+02,   0.27120257E+02,   0.10039601E+01,   0.18116576E+01
2000,   0.23901106E+02,   0.21064892E+02,   0.27010331E+02,   0.11554681E+01,   0.15173656E+01
2001,   0.22344409E+02,   0.19395439E+02,   0.25612571E+02,   0.12898899E+01,   0.15868830E+01
2002,   0.18845814E+02,   0.15947040E+02,   0.22117002E+02,   0.13672921E+01,   0.15751807E+01
2003,   0.49230125E+02,   0.40061337E+02,   0.59865440E+02,   0.44568651E+01,   0.50579489E+01
2004,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00
