CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.45500693E+05,   0.29462933E+05,   0.67224591E+05,   0.29663376E+04,   0.96819353E+04
1986,   0.31044526E+05,   0.23022464E+05,   0.40966788E+05,   0.14882003E+04,   0.45887224E+04
1987,   0.58217596E+05,   0.44335474E+05,   0.75078456E+05,   0.25404486E+04,   0.78584146E+04
1988,   0.61242885E+05,   0.47407422E+05,   0.77858946E+05,   0.27481818E+04,   0.77821167E+04
1989,   0.16335688E+06,   0.12235418E+06,   0.21372867E+06,   0.96632856E+04,   0.23362648E+05
1990,   0.70965176E+05,   0.56694212E+05,   0.87733158E+05,   0.32076664E+04,   0.79290108E+04
1991,   0.30531661E+05,   0.23121533E+05,   0.39566493E+05,   0.13581493E+04,   0.42039496E+04
1992,   0.38143926E+05,   0.27381635E+05,   0.51753201E+05,   0.18619114E+04,   0.62356994E+04
1993,   0.74254343E+05,   0.57680624E+05,   0.94110978E+05,   0.40159766E+04,   0.93096085E+04
1994,   0.69605164E+05,   0.54678165E+05,   0.87350712E+05,   0.35900586E+04,   0.83480805E+04
1995,   0.34644103E+05,   0.25285531E+05,   0.46345861E+05,   0.18178068E+04,   0.53869509E+04
1996,   0.16634036E+06,   0.13196174E+06,   0.20693177E+06,   0.98006668E+04,   0.19153009E+05
1997,   0.47586665E+05,   0.36964982E+05,   0.60312345E+05,   0.23255925E+04,   0.59663113E+04
1998,   0.56576871E+05,   0.44741852E+05,   0.70581475E+05,   0.30547653E+04,   0.66016536E+04
1999,   0.47528666E+05,   0.25568809E+05,   0.81022421E+05,   0.37201506E+04,   0.14292177E+05
2000,   0.40370344E+05,   0.31216187E+05,   0.51372549E+05,   0.21752127E+04,   0.51511874E+04
2001,   0.40984714E+05,   0.29732236E+05,   0.55112715E+05,   0.26524985E+04,   0.64926539E+04
2002,   0.19874489E+05,   0.14528394E+05,   0.26552031E+05,   0.14121273E+04,   0.30754053E+04
2003,   0.22257381E+06,   0.16803333E+06,   0.28921403E+06,   0.21802624E+05,   0.30979772E+05
2004,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00
