YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.12176292E+05,   0.59968319E+04,   0.22127519E+05,   0.88161763E+03,   0.41705297E+04
1985, 2,   0.13776882E+06,   0.54990086E+05,   0.28862115E+06,   0.12546051E+05,   0.60974919E+05
1985, 3,   0.15461581E+05,   0.95940271E+04,   0.23633912E+05,   0.11479286E+04,   0.36034778E+04
1985, 4,   0.12160614E+05,   0.76186991E+04,   0.18447138E+05,   0.93272488E+03,   0.27785584E+04
1985, 5,   0.54371850E+05,   0.28642499E+05,   0.94130195E+05,   0.41404209E+04,   0.16890256E+05
1985, 6,   0.43226305E+05,   0.20061507E+05,   0.81887712E+05,   0.32716572E+04,   0.16023022E+05
1985, 7,   0.23460681E+05,   0.12764401E+05,   0.39660314E+05,   0.17016361E+04,   0.69293686E+04
1985, 8,   0.11085522E+05,   0.61444167E+04,   0.18482257E+05,   0.79012367E+03,   0.31767888E+04
1985, 9,   0.15081491E+06,   0.42052654E+05,   0.39127808E+06,   0.14140394E+05,   0.93252324E+05
1985,10,   0.22369716E+05,   0.12477256E+05,   0.37119984E+05,   0.14556037E+04,   0.63438418E+04
1985,11,   0.53669683E+05,   0.28600336E+05,   0.92132132E+05,   0.35356091E+04,   0.16379372E+05
1985,12,   0.20883405E+05,   0.10361666E+05,   0.37751085E+05,   0.12896055E+04,   0.70794335E+04
1986, 1,   0.20938104E+05,   0.82138196E+04,   0.44355750E+05,   0.12695844E+04,   0.94411058E+04
1986, 2,   0.46860599E+05,   0.28016878E+05,   0.73743676E+05,   0.28327187E+04,   0.11747716E+05
1986, 3,   0.28407654E+05,   0.18605639E+05,   0.41585655E+05,   0.17684786E+04,   0.58904563E+04
1986, 4,   0.66609292E+05,   0.35364680E+05,   0.11465641E+06,   0.42739903E+04,   0.20445060E+05
1986, 5,   0.11989077E+05,   0.84257228E+04,   0.16560002E+05,   0.82774855E+03,   0.20820359E+04
1986, 6,   0.11023293E+05,   0.52716754E+04,   0.20451650E+05,   0.72819794E+03,   0.39292496E+04
1986, 7,   0.10901972E+05,   0.51256535E+04,   0.20468094E+05,   0.69950653E+03,   0.39740459E+04
1986, 8,   0.18215817E+05,   0.97631391E+04,   0.31137943E+05,   0.11338314E+04,   0.55096550E+04
1986, 9,   0.20768530E+04,   0.13665597E+04,   0.30288664E+04,   0.19617935E+03,   0.42605424E+03
1986,10,   0.29359185E+04,   0.17714575E+04,   0.45874231E+04,   0.21680963E+03,   0.72327331E+03
1986,11,   0.37760007E+05,   0.20909743E+05,   0.62999413E+05,   0.21846067E+04,   0.10837711E+05
1986,12,   0.11612990E+06,   0.53323315E+05,   0.22162183E+06,   0.77268647E+04,   0.43636305E+05
1987, 1,   0.58502751E+05,   0.33802567E+05,   0.94519184E+05,   0.31433763E+04,   0.15613824E+05
1987, 2,   0.20977757E+05,   0.13577850E+05,   0.31004101E+05,   0.11700138E+04,   0.44680638E+04
1987, 3,   0.54478277E+05,   0.22294740E+05,   0.11229633E+06,   0.31176645E+04,   0.23459701E+05
1987, 4,   0.90102332E+05,   0.57560662E+05,   0.13457406E+06,   0.50951709E+04,   0.19752161E+05
1987, 5,   0.62695060E+05,   0.31323051E+05,   0.11277700E+06,   0.37391095E+04,   0.21048192E+05
1987, 6,   0.35615060E+05,   0.16036694E+05,   0.68882944E+05,   0.21349884E+04,   0.13713489E+05
1987, 7,   0.34630508E+05,   0.18488631E+05,   0.59367578E+05,   0.21116497E+04,   0.10538499E+05
1987, 8,   0.46825451E+04,   0.30893583E+04,   0.68141342E+04,   0.34002777E+03,   0.95461479E+03
1987, 9,   0.19932632E+06,   0.98197655E+05,   0.36215152E+06,   0.14251793E+05,   0.68243522E+05
1987,10,   0.22765828E+05,   0.89359421E+04,   0.48209941E+05,   0.12730092E+04,   0.10258966E+05
1987,11,   0.70651101E+05,   0.22653439E+05,   0.16933349E+06,   0.46375269E+04,   0.38777763E+05
1987,12,   0.45832164E+05,   0.25514687E+05,   0.76163636E+05,   0.24004545E+04,   0.13039477E+05
1988, 1,   0.64591453E+05,   0.30157000E+05,   0.12185673E+06,   0.34351720E+04,   0.23759189E+05
1988, 2,   0.77789951E+05,   0.49199776E+05,   0.11711829E+06,   0.38629488E+04,   0.17423721E+05
1988, 3,   0.43057980E+05,   0.25240623E+05,   0.68800082E+05,   0.21878242E+04,   0.11197051E+05
1988, 4,   0.49877835E+05,   0.31113979E+05,   0.75922310E+05,   0.26751662E+04,   0.11498977E+05
1988, 5,   0.31771416E+06,   0.19949953E+06,   0.48109627E+06,   0.19887580E+05,   0.72253197E+05
1988, 6,   0.25483602E+05,   0.16531597E+05,   0.37594910E+05,   0.14747552E+04,   0.54003203E+04
1988, 7,   0.70401959E+05,   0.24499932E+05,   0.16070150E+06,   0.48219173E+04,   0.35820766E+05
1988, 8,   0.16478333E+05,   0.79537245E+04,   0.30374580E+05,   0.93025729E+03,   0.58013740E+04
1988, 9,   0.11824944E+05,   0.50135610E+04,   0.23814214E+05,   0.65468074E+03,   0.48921318E+04
1988,10,   0.67679442E+04,   0.31472769E+04,   0.12803579E+05,   0.37714755E+03,   0.25023417E+04
1988,11,   0.40543956E+05,   0.20114087E+05,   0.73298106E+05,   0.22088090E+04,   0.13746714E+05
1988,12,   0.76680731E+04,   0.49480225E+04,   0.11360950E+05,   0.45437024E+03,   0.16443809E+04
1989, 1,   0.20793628E+05,   0.12039870E+05,   0.33540706E+05,   0.10888298E+04,   0.55287931E+04
1989, 2,   0.28123985E+05,   0.14635142E+05,   0.49126021E+05,   0.14008723E+04,   0.88994963E+04
1989, 3,   0.81002157E+05,   0.46345532E+05,   0.13185261E+06,   0.40260331E+04,   0.21995272E+05
1989, 4,   0.68079052E+05,   0.46094757E+05,   0.96991626E+05,   0.36737947E+04,   0.13037036E+05
1989, 5,   0.67605298E+06,   0.36049532E+06,   0.11600031E+07,   0.61918404E+05,   0.20611968E+06
1989, 6,   0.52948352E+06,   0.30497923E+06,   0.85749369E+06,   0.37581435E+05,   0.14209704E+06
1989, 7,   0.23168081E+06,   0.13844100E+06,   0.36474651E+06,   0.15907336E+05,   0.58141235E+05
1989, 8,   0.76973926E+05,   0.51875354E+05,   0.11008455E+06,   0.49699830E+04,   0.14911502E+05
1989, 9,   0.51164046E+05,   0.28980128E+05,   0.83922186E+05,   0.32348856E+04,   0.14137201E+05
1989,10,   0.12447321E+06,   0.58854052E+05,   0.23277689E+06,   0.80795279E+04,   0.45039606E+05
