YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.31867119E+03,   0.24037400E+03,   0.41439546E+03,   0.30753448E+02,   0.44489059E+02
1985, 2,   0.61780439E+03,   0.46251658E+03,   0.80863707E+03,   0.58388499E+02,   0.88496798E+02
1985, 3,   0.30413703E+03,   0.23098967E+03,   0.39314512E+03,   0.28964919E+02,   0.41451253E+02
1985, 4,   0.20419605E+03,   0.15461477E+03,   0.26465423E+03,   0.19406521E+02,   0.28130281E+02
1985, 5,   0.11404671E+03,   0.86173455E+02,   0.14808373E+03,   0.10669911E+02,   0.15827122E+02
1985, 6,   0.14371209E+03,   0.10544232E+03,   0.19139328E+03,   0.12917103E+02,   0.21983190E+02
1985, 7,   0.37432385E+02,   0.27927274E+02,   0.49140733E+02,   0.33566068E+01,   0.54241909E+01
1985, 8,   0.18879743E+03,   0.13287758E+03,   0.26045870E+03,   0.17503078E+02,   0.32654548E+02
1985, 9,   0.65366565E+02,   0.45807900E+02,   0.90503709E+02,   0.56552355E+01,   0.11440873E+02
1985,10,   0.23304861E+03,   0.16864083E+03,   0.31405324E+03,   0.20646113E+02,   0.37199970E+02
1985,11,   0.46440528E+03,   0.34852817E+03,   0.60656747E+03,   0.41005952E+02,   0.65973530E+02
1985,12,   0.38177591E+03,   0.28848043E+03,   0.49569927E+03,   0.31688988E+02,   0.52974662E+02
1986, 1,   0.26429507E+03,   0.20310390E+03,   0.33815435E+03,   0.21505798E+02,   0.34516652E+02
1986, 2,   0.44164655E+03,   0.34055768E+03,   0.56337557E+03,   0.35054979E+02,   0.56945824E+02
1986, 3,   0.34642228E+03,   0.26801948E+03,   0.44061666E+03,   0.27431203E+02,   0.44108831E+02
1986, 4,   0.26969607E+03,   0.20856278E+03,   0.34316576E+03,   0.21192307E+02,   0.34399272E+02
1986, 5,   0.18696683E+03,   0.14121710E+03,   0.24284830E+03,   0.14326671E+02,   0.25981774E+02
1986, 6,   0.39792756E+02,   0.29983510E+02,   0.51794136E+02,   0.31829319E+01,   0.55760360E+01
1986, 7,   0.43522318E+02,   0.33476202E+02,   0.55640629E+02,   0.33104040E+01,   0.56647870E+01
1986, 8,   0.59032518E+02,   0.44204719E+02,   0.77251450E+02,   0.43900434E+01,   0.84494255E+01
1986, 9,   0.24228604E+02,   0.18505777E+02,   0.31165299E+02,   0.18126080E+01,   0.32358451E+01
1986,10,   0.26803058E+02,   0.20035761E+02,   0.35127953E+02,   0.19769714E+01,   0.38588928E+01
1986,11,   0.69233791E+02,   0.53720610E+02,   0.87834180E+02,   0.50149092E+01,   0.87176971E+01
1986,12,   0.30270017E+03,   0.22828380E+03,   0.39369164E+03,   0.20796836E+02,   0.42287082E+02
