CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.10387276E+02,   0.85564085E+01,   0.12492902E+02,   0.93345997E+00,   0.10052442E+01
1986,   0.72728979E+01,   0.61558830E+01,   0.85331775E+01,   0.55678210E+00,   0.60691765E+00
1987,   0.15099979E+02,   0.13109866E+02,   0.17305168E+02,   0.93286785E+00,   0.10708220E+01
1988,   0.99256591E+01,   0.87909689E+01,   0.11165201E+02,   0.50435308E+00,   0.60591948E+00
1989,   0.19669957E+02,   0.17795702E+02,   0.21686365E+02,   0.77687100E+00,   0.99279394E+00
1990,   0.18788283E+02,   0.17042824E+02,   0.20662569E+02,   0.62789830E+00,   0.92364953E+00
1991,   0.80217163E+01,   0.72764796E+01,   0.88219569E+01,   0.25433170E+00,   0.39435908E+00
1992,   0.12564546E+02,   0.11562058E+02,   0.13629920E+02,   0.33223026E+00,   0.52761798E+00
1993,   0.23872141E+02,   0.21804380E+02,   0.26081483E+02,   0.68968151E+00,   0.10913483E+01
1994,   0.25240063E+02,   0.22957025E+02,   0.27686842E+02,   0.75239744E+00,   0.12068892E+01
1995,   0.13877136E+02,   0.12772666E+02,   0.15050706E+02,   0.37711801E+00,   0.58124479E+00
1996,   0.30679099E+02,   0.28207115E+02,   0.33307780E+02,   0.93015327E+00,   0.13014471E+01
1997,   0.18321080E+02,   0.16874666E+02,   0.19857214E+02,   0.49736230E+00,   0.76099831E+00
1998,   0.24200849E+02,   0.21832714E+02,   0.26753815E+02,   0.82436715E+00,   0.12557542E+01
1999,   0.86484730E+01,   0.78546001E+01,   0.95001887E+01,   0.22827438E+00,   0.41990171E+00
2000,   0.11763084E+02,   0.10775855E+02,   0.12815669E+02,   0.35240563E+00,   0.52047269E+00
2001,   0.82220105E+01,   0.74187432E+01,   0.90878645E+01,   0.27884198E+00,   0.42592180E+00
2002,   0.41297801E+01,   0.36882267E+01,   0.46092657E+01,   0.16871204E+00,   0.23504258E+00
2003,   0.24835235E+02,   0.22072801E+02,   0.27845413E+02,   0.12478175E+01,   0.14731746E+01
2004,   0.16968587E+02,   0.14864202E+02,   0.19285605E+02,   0.10051534E+01,   0.11284575E+01
