CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.91931235E+03,   0.84314856E+03,   0.10004493E+04,   0.36372532E+02,   0.40136131E+02
1986,   0.53522377E+03,   0.49656035E+03,   0.57607004E+03,   0.17928255E+02,   0.20286282E+02
1987,   0.10283369E+04,   0.96397029E+03,   0.10958286E+04,   0.27968192E+02,   0.33641283E+02
1988,   0.56635843E+03,   0.53522448E+03,   0.59881212E+03,   0.12665607E+02,   0.16222796E+02
1989,   0.97150936E+03,   0.92712854E+03,   0.10174424E+04,   0.17111691E+02,   0.23040663E+02
1990,   0.91388536E+03,   0.87156610E+03,   0.95770567E+03,   0.14035924E+02,   0.21975775E+02
1991,   0.35586516E+03,   0.33844595E+03,   0.37393880E+03,   0.52768366E+01,   0.90549395E+01
1992,   0.47509341E+03,   0.45570206E+03,   0.49508846E+03,   0.60876815E+01,   0.10048045E+02
1993,   0.10630945E+04,   0.10149497E+04,   0.11129081E+04,   0.15504526E+02,   0.24990910E+02
1994,   0.10986346E+04,   0.10428036E+04,   0.11566464E+04,   0.17346358E+02,   0.29043767E+02
1995,   0.50232958E+03,   0.48179226E+03,   0.52350737E+03,   0.67586424E+01,   0.10642135E+02
1996,   0.12437893E+04,   0.11927841E+04,   0.12963902E+04,   0.18359628E+02,   0.26431436E+02
1997,   0.72674238E+03,   0.69753798E+03,   0.75684151E+03,   0.97374874E+01,   0.15129169E+02
1998,   0.11773548E+04,   0.11152375E+04,   0.12419950E+04,   0.20844111E+02,   0.32338770E+02
1999,   0.34956072E+03,   0.33272961E+03,   0.36701345E+03,   0.45533026E+01,   0.87464785E+01
2000,   0.48361667E+03,   0.46290283E+03,   0.50500825E+03,   0.71487558E+01,   0.10741760E+02
2001,   0.37199587E+03,   0.35293317E+03,   0.39180967E+03,   0.63009916E+01,   0.99182478E+01
2002,   0.21366851E+03,   0.20144009E+03,   0.22643752E+03,   0.43881534E+01,   0.63775191E+01
2003,   0.16655385E+04,   0.15695083E+04,   0.17658470E+04,   0.42336354E+02,   0.50091371E+02
2004,   0.11902554E+04,   0.11148745E+04,   0.12693415E+04,   0.35130706E+02,   0.39409572E+02
