YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.90462756E+03,   0.79598513E+03,   0.10238664E+04,   0.40940560E+02,   0.58159393E+02
1985, 2,   0.18244951E+04,   0.16006001E+04,   0.20707520E+04,   0.81019349E+02,   0.11999376E+03
1985, 3,   0.75746132E+03,   0.66953775E+03,   0.85364626E+03,   0.33830034E+02,   0.46986326E+02
1985, 4,   0.51350842E+03,   0.45357645E+03,   0.57910534E+03,   0.22877599E+02,   0.32036379E+02
1985, 5,   0.31567082E+03,   0.27819592E+03,   0.35675471E+03,   0.13805557E+02,   0.20049398E+02
1985, 6,   0.49825689E+03,   0.43313575E+03,   0.57035089E+03,   0.20939621E+02,   0.35022883E+02
1985, 7,   0.13358353E+03,   0.11706840E+03,   0.15176169E+03,   0.55815686E+01,   0.88546051E+01
1985, 8,   0.10189270E+04,   0.86783782E+03,   0.11886419E+04,   0.44253074E+02,   0.81895978E+02
1985, 9,   0.28921904E+03,   0.24513536E+03,   0.33890844E+03,   0.11657948E+02,   0.23939749E+02
1985,10,   0.11502426E+04,   0.99133967E+03,   0.13272415E+04,   0.47719246E+02,   0.85741624E+02
1985,11,   0.22192130E+04,   0.19422380E+04,   0.25243713E+04,   0.92220927E+02,   0.14857659E+03
1985,12,   0.14890750E+04,   0.13050712E+04,   0.16915973E+04,   0.58169098E+02,   0.98651165E+02
1986, 1,   0.75622726E+03,   0.67222384E+03,   0.84775344E+03,   0.28800474E+02,   0.44795230E+02
1986, 2,   0.12635503E+04,   0.11255969E+04,   0.14136274E+04,   0.47002929E+02,   0.73504511E+02
1986, 3,   0.94142544E+03,   0.83913280E+03,   0.10526611E+04,   0.34887163E+02,   0.54491561E+02
1986, 4,   0.75864798E+03,   0.67624282E+03,   0.84825486E+03,   0.27870113E+02,   0.43896769E+02
1986, 5,   0.60953260E+03,   0.53440565E+03,   0.69219917E+03,   0.21756812E+02,   0.40272771E+02
1986, 6,   0.12296464E+03,   0.10856725E+03,   0.13872770E+03,   0.45916930E+01,   0.76973091E+01
1986, 7,   0.16304938E+03,   0.14495912E+03,   0.18275758E+03,   0.57690294E+01,   0.96461747E+01
1986, 8,   0.25936627E+03,   0.22744534E+03,   0.29448557E+03,   0.89621969E+01,   0.17110284E+02
1986, 9,   0.97451632E+02,   0.86476391E+02,   0.10942461E+03,   0.33803318E+01,   0.58564627E+01
1986,10,   0.10091608E+03,   0.88606821E+02,   0.11444659E+03,   0.34504537E+01,   0.65948725E+01
1986,11,   0.23845794E+03,   0.21324193E+03,   0.26581436E+03,   0.80330223E+01,   0.13416000E+02
1986,12,   0.11517927E+04,   0.10116962E+04,   0.13057459E+04,   0.37007015E+02,   0.75047703E+02
1987, 1,   0.11008325E+04,   0.98775544E+03,   0.12232103E+04,   0.34453863E+02,   0.60084685E+02
1987, 2,   0.13921460E+04,   0.12470678E+04,   0.15493452E+04,   0.42763185E+02,   0.77137578E+02
1987, 3,   0.12631233E+04,   0.11281398E+04,   0.14096964E+04,   0.38332247E+02,   0.71851225E+02
1987, 4,   0.27906096E+04,   0.24628463E+04,   0.31495698E+04,   0.88670104E+02,   0.17526053E+03
1987, 5,   0.20032309E+04,   0.17894132E+04,   0.22353826E+04,   0.60694162E+02,   0.11380806E+03
1987, 6,   0.11574543E+04,   0.10224499E+04,   0.13052112E+04,   0.34939409E+02,   0.72163814E+02
1987, 7,   0.28425547E+03,   0.25405596E+03,   0.31703143E+03,   0.85246381E+01,   0.16070812E+02
1987, 8,   0.10293148E+03,   0.92177646E+02,   0.11458624E+03,   0.31009888E+01,   0.57184180E+01
1987, 9,   0.34309160E+03,   0.30213656E+03,   0.38801469E+03,   0.10085131E+02,   0.21917515E+02
1987,10,   0.17285252E+03,   0.15397160E+03,   0.19339362E+03,   0.49744282E+01,   0.10060382E+02
1987,11,   0.55354082E+03,   0.49610356E+03,   0.61575446E+03,   0.15386402E+02,   0.30533396E+02
1987,12,   0.12347734E+04,   0.11099970E+04,   0.13696329E+04,   0.33332832E+02,   0.66254606E+02
1988, 1,   0.13210297E+04,   0.11763021E+04,   0.14785242E+04,   0.34342588E+02,   0.77126370E+02
1988, 2,   0.12100123E+04,   0.10916085E+04,   0.13376574E+04,   0.30995601E+02,   0.62786160E+02
1988, 3,   0.71745233E+03,   0.64588414E+03,   0.79472353E+03,   0.18966498E+02,   0.37980924E+02
1988, 4,   0.85532418E+03,   0.77213254E+03,   0.94496668E+03,   0.22022096E+02,   0.44103221E+02
1988, 5,   0.12695465E+04,   0.11424154E+04,   0.14068506E+04,   0.32092076E+02,   0.67478892E+02
1988, 6,   0.31834269E+03,   0.28517451E+03,   0.35428138E+03,   0.83745386E+01,   0.17635249E+02
1988, 7,   0.18391797E+03,   0.16154429E+03,   0.20850491E+03,   0.47233655E+01,   0.11985345E+02
