YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.71700715E+02,   0.58140952E+02,   0.87468313E+02,   0.51940600E+01,   0.74904764E+01
1985, 2,   0.14604406E+03,   0.11784695E+03,   0.17894462E+03,   0.10384405E+02,   0.15605777E+02
1985, 3,   0.57074574E+02,   0.46697501E+02,   0.69065753E+02,   0.40690590E+01,   0.57124898E+01
1985, 4,   0.38979018E+02,   0.31868265E+02,   0.47200109E+02,   0.27695677E+01,   0.39155366E+01
1985, 5,   0.25052706E+02,   0.20382659E+02,   0.30470488E+02,   0.17447175E+01,   0.25764277E+01
1985, 6,   0.42915821E+02,   0.34104744E+02,   0.53306767E+02,   0.28720034E+01,   0.49055427E+01
1985, 7,   0.11855422E+02,   0.95548488E+01,   0.14542022E+02,   0.78850314E+00,   0.12738590E+01
1985, 8,   0.10405681E+03,   0.79772428E+02,   0.13341741E+03,   0.72356404E+01,   0.13711236E+02
1985, 9,   0.27732979E+02,   0.21047789E+02,   0.35871770E+02,   0.17887885E+01,   0.37894448E+01
1985,10,   0.11409153E+03,   0.89148846E+02,   0.14385346E+03,   0.76137393E+01,   0.13978412E+02
1985,11,   0.21749118E+03,   0.17418737E+03,   0.26828369E+03,   0.14577943E+02,   0.24036524E+02
1985,12,   0.13558836E+03,   0.10871848E+03,   0.16707937E+03,   0.85322926E+01,   0.14907845E+02
1986, 1,   0.61056808E+02,   0.50379792E+02,   0.73321573E+02,   0.37190887E+01,   0.58584338E+01
1986, 2,   0.10161351E+03,   0.84161681E+02,   0.12160737E+03,   0.60451688E+01,   0.95617937E+01
1986, 3,   0.74379915E+02,   0.61639465E+02,   0.88970451E+02,   0.43995419E+01,   0.69789547E+01
1986, 4,   0.60877275E+02,   0.50460648E+02,   0.72804712E+02,   0.35645785E+01,   0.57055336E+01
1986, 5,   0.52065919E+02,   0.41797847E+02,   0.64089874E+02,   0.29563190E+01,   0.56942487E+01
1986, 6,   0.10444594E+02,   0.85346312E+01,   0.12653631E+02,   0.62086877E+00,   0.10519406E+01
1986, 7,   0.14930683E+02,   0.12320125E+02,   0.17929386E+02,   0.83996062E+00,   0.14323855E+01
1986, 8,   0.25149126E+02,   0.20252802E+02,   0.30870206E+02,   0.13850638E+01,   0.27119971E+01
1986, 9,   0.92627705E+01,   0.76232807E+01,   0.11149484E+02,   0.51210166E+00,   0.90047878E+00
1986,10,   0.93516542E+01,   0.75558821E+01,   0.11445076E+02,   0.51059648E+00,   0.99337656E+00
1986,11,   0.21189698E+02,   0.17665360E+02,   0.25208870E+02,   0.11415603E+01,   0.19261164E+01
1986,12,   0.10502087E+03,   0.84652435E+02,   0.12880487E+03,   0.54262442E+01,   0.11277709E+02
1987, 1,   0.93987000E+02,   0.78694323E+02,   0.11137374E+03,   0.47118387E+01,   0.83438236E+01
1987, 2,   0.11650074E+03,   0.97305202E+02,   0.13836268E+03,   0.57248086E+01,   0.10483189E+02
1987, 3,   0.10531628E+03,   0.87415746E+02,   0.12579327E+03,   0.51061221E+01,   0.97995244E+01
1987, 4,   0.25639723E+03,   0.20808047E+03,   0.31254852E+03,   0.13074177E+02,   0.26681847E+02
1987, 5,   0.18438163E+03,   0.15316859E+03,   0.22006649E+03,   0.89027073E+01,   0.17081931E+02
1987, 6,   0.11008625E+03,   0.89652631E+02,   0.13377536E+03,   0.52854687E+01,   0.11268807E+02
1987, 7,   0.26866426E+02,   0.22371250E+02,   0.31997053E+02,   0.12795811E+01,   0.24578262E+01
1987, 8,   0.99503559E+01,   0.83141011E+01,   0.11813386E+02,   0.47656658E+00,   0.89346752E+00
1987, 9,   0.34689471E+02,   0.28124358E+02,   0.42324440E+02,   0.16299250E+01,   0.36268380E+01
1987,10,   0.16554038E+02,   0.13694786E+02,   0.19832483E+02,   0.76105104E+00,   0.15672859E+01
1987,11,   0.52412068E+02,   0.43786720E+02,   0.62233882E+02,   0.23377078E+01,   0.47100954E+01
1987,12,   0.11582739E+03,   0.97082186E+02,   0.13712375E+03,   0.50338124E+01,   0.10223450E+02
1988, 1,   0.11817891E+03,   0.97377892E+02,   0.14209649E+03,   0.49345077E+01,   0.11419546E+02
1988, 2,   0.10318904E+03,   0.87168136E+02,   0.12129005E+03,   0.42270085E+01,   0.87114001E+01
1988, 3,   0.59400205E+02,   0.49959585E+02,   0.70099485E+02,   0.25014875E+01,   0.51419695E+01
1988, 4,   0.72902316E+02,   0.61680335E+02,   0.85567253E+02,   0.29913797E+01,   0.60982962E+01
1988, 5,   0.11772526E+03,   0.98949952E+02,   0.13901363E+03,   0.47333836E+01,   0.10228824E+02
1988, 6,   0.29143221E+02,   0.24359970E+02,   0.34587963E+02,   0.12176356E+01,   0.26114899E+01
1988, 7,   0.18128006E+02,   0.14621460E+02,   0.22220739E+02,   0.73878189E+00,   0.19410440E+01
1988, 8,   0.13970412E+02,   0.11543289E+02,   0.16755768E+02,   0.57084400E+00,   0.13310444E+01
