CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1989,   0.14695346E+05,   0.11856797E+05,   0.18007631E+05,   0.12569408E+04,   0.15710689E+04
1990,   0.15066583E+05,   0.12208483E+05,   0.18391716E+05,   0.10525913E+04,   0.15792673E+04
1991,   0.52668017E+04,   0.42181277E+04,   0.64968316E+04,   0.31289454E+03,   0.58208575E+03
1992,   0.67433925E+04,   0.56596711E+04,   0.79734352E+04,   0.30254878E+03,   0.59074485E+03
1993,   0.20582606E+05,   0.17144802E+05,   0.24505423E+05,   0.10658420E+04,   0.18794344E+04
1994,   0.22614677E+05,   0.17898834E+05,   0.28191816E+05,   0.14225511E+04,   0.26296822E+04
1995,   0.76123523E+04,   0.64382966E+04,   0.89377028E+04,   0.36439299E+03,   0.63809690E+03
1996,   0.24228112E+05,   0.20376000E+05,   0.28594027E+05,   0.14011841E+04,   0.20981668E+04
1997,   0.12185894E+05,   0.10370775E+05,   0.14225911E+05,   0.61576616E+03,   0.98415906E+03
1998,   0.26583527E+05,   0.21113591E+05,   0.33036814E+05,   0.19077204E+04,   0.30460484E+04
1999,   0.52822772E+04,   0.42321413E+04,   0.65136931E+04,   0.24986367E+03,   0.58281056E+03
2000,   0.67716273E+04,   0.57136006E+04,   0.79680122E+04,   0.34545586E+03,   0.57556250E+03
2001,   0.52654441E+04,   0.42537331E+04,   0.64449636E+04,   0.29933132E+03,   0.55968419E+03
2002,   0.29723118E+04,   0.23313381E+04,   0.37351209E+04,   0.20801279E+03,   0.35868410E+03
2003,   0.33630564E+05,   0.26999725E+05,   0.41394995E+05,   0.29247751E+04,   0.36771078E+04
2004,   0.20491877E+05,   0.16156168E+05,   0.25633233E+05,   0.20756396E+04,   0.24213475E+04
