CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.48869055E+03,   0.40905195E+03,   0.57925354E+03,   0.39622993E+02,   0.43456592E+02
1986,   0.23265803E+03,   0.20941581E+03,   0.25775524E+03,   0.10647424E+02,   0.12335296E+02
1987,   0.59975693E+03,   0.51985092E+03,   0.68840300E+03,   0.38826649E+02,   0.43022321E+02
1988,   0.27455668E+03,   0.24988090E+03,   0.30099009E+03,   0.10197436E+02,   0.13041289E+02
1989,   0.57489093E+03,   0.51243545E+03,   0.64280561E+03,   0.29090912E+02,   0.33269935E+02
1990,   0.55875293E+03,   0.49023262E+03,   0.63411159E+03,   0.32183403E+02,   0.36721249E+02
1991,   0.24830268E+03,   0.22227163E+03,   0.27652268E+03,   0.10232266E+02,   0.13844281E+02
1992,   0.25775574E+03,   0.23743814E+03,   0.27933155E+03,   0.80084307E+01,   0.10689113E+02
1993,   0.78688985E+03,   0.66637776E+03,   0.92280885E+03,   0.60577509E+02,   0.65465946E+02
1994,   0.77350850E+03,   0.64391714E+03,   0.92144698E+03,   0.65457019E+02,   0.70863899E+02
1995,   0.46725803E+03,   0.41372742E+03,   0.52574671E+03,   0.23781188E+02,   0.28588108E+02
1996,   0.10277231E+04,   0.89293975E+03,   0.11769933E+04,   0.67665960E+02,   0.72502313E+02
1997,   0.51181177E+03,   0.46726334E+03,   0.55942637E+03,   0.20083889E+02,   0.23516430E+02
1998,   0.94989250E+03,   0.78133029E+03,   0.11439483E+04,   0.87397382E+02,   0.92601505E+02
1999,   0.18177223E+03,   0.16438113E+03,   0.20048816E+03,   0.61617508E+01,   0.92135765E+01
2000,   0.24389981E+03,   0.22408671E+03,   0.26497979E+03,   0.80950817E+01,   0.10434003E+02
2001,   0.21368918E+03,   0.18992238E+03,   0.23958728E+03,   0.95593506E+01,   0.12674517E+02
2002,   0.76059023E+02,   0.68767001E+02,   0.83907781E+02,   0.33538053E+01,   0.38635387E+01
2003,   0.12025460E+04,   0.10086360E+04,   0.14227375E+04,   0.10126900E+03,   0.10572807E+03
2004,   0.51665373E+03,   0.45270234E+03,   0.58705338E+03,   0.32284629E+02,   0.34289825E+02
