YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.40519576E+03,   0.33736848E+03,   0.48261642E+03,   0.25431289E+02,   0.37087247E+02
1985, 2,   0.10245314E+04,   0.82715806E+03,   0.12547430E+04,   0.78580910E+02,   0.10921456E+03
1985, 3,   0.28077419E+03,   0.23448413E+03,   0.33349865E+03,   0.17300895E+02,   0.25281366E+02
1985, 4,   0.12697421E+03,   0.10659169E+03,   0.15010516E+03,   0.82232371E+01,   0.11109733E+02
1985, 5,   0.19541343E+03,   0.16226700E+03,   0.23331953E+03,   0.11777375E+02,   0.18142862E+02
1985, 6,   0.20290980E+03,   0.16505272E+03,   0.24683442E+03,   0.12251432E+02,   0.20887061E+02
1985, 7,   0.58602617E+02,   0.50090911E+02,   0.68139493E+02,   0.35030416E+01,   0.46073623E+01
1985, 8,   0.69965255E+03,   0.52523369E+03,   0.91359221E+03,   0.68306971E+02,   0.99292106E+02
1985, 9,   0.10583933E+03,   0.78630443E+02,   0.13945216E+03,   0.63618789E+01,   0.15552887E+02
1985,10,   0.26162117E+03,   0.20826607E+03,   0.32446770E+03,   0.16579431E+02,   0.29685412E+02
1985,11,   0.18865722E+04,   0.13677302E+04,   0.25382856E+04,   0.24620927E+03,   0.29944646E+03
1985,12,   0.67991142E+03,   0.52360993E+03,   0.86829390E+03,   0.55514463E+02,   0.88092863E+02
1986, 1,   0.31944931E+03,   0.27056826E+03,   0.37457345E+03,   0.16968700E+02,   0.26552118E+02
1986, 2,   0.64327143E+03,   0.55271058E+03,   0.74436512E+03,   0.33956022E+02,   0.48922582E+02
1986, 3,   0.48450544E+03,   0.41850022E+03,   0.55791134E+03,   0.25461556E+02,   0.35585169E+02
1986, 4,   0.22544028E+03,   0.18398568E+03,   0.27342798E+03,   0.11746804E+02,   0.22842745E+02
1986, 5,   0.24059084E+03,   0.19786281E+03,   0.28978710E+03,   0.12428002E+02,   0.23474685E+02
1986, 6,   0.73247567E+02,   0.62564361E+02,   0.85223513E+02,   0.38900332E+01,   0.57843636E+01
1986, 7,   0.67989609E+02,   0.58682635E+02,   0.78345701E+02,   0.34365221E+01,   0.50190959E+01
1986, 8,   0.97433107E+02,   0.81623495E+02,   0.11540076E+03,   0.49046613E+01,   0.86240864E+01
1986, 9,   0.52374641E+02,   0.45449411E+02,   0.60051003E+02,   0.25926160E+01,   0.37269709E+01
1986,10,   0.55236029E+02,   0.47830604E+02,   0.63457117E+02,   0.27208349E+01,   0.39886420E+01
1986,11,   0.68332668E+02,   0.59223154E+02,   0.78439243E+02,   0.34040030E+01,   0.49048419E+01
1986,12,   0.48727064E+03,   0.38235438E+03,   0.61209239E+03,   0.31286181E+02,   0.58700617E+02
1987, 1,   0.53072425E+03,   0.45412431E+03,   0.61648504E+03,   0.24893894E+02,   0.41446354E+02
1987, 2,   0.80994241E+03,   0.68817417E+03,   0.94695660E+03,   0.40481890E+02,   0.66064277E+02
1987, 3,   0.63877285E+03,   0.52360927E+03,   0.77167563E+03,   0.35755238E+02,   0.63350861E+02
1987, 4,   0.20578387E+04,   0.15483734E+04,   0.26817619E+04,   0.23565858E+03,   0.28976472E+03
1987, 5,   0.10306029E+04,   0.83807605E+03,   0.12540329E+04,   0.71536531E+02,   0.10623580E+03
1987, 6,   0.37851381E+03,   0.30118576E+03,   0.46962606E+03,   0.20775852E+02,   0.43030782E+02
1987, 7,   0.60151885E+02,   0.52391784E+02,   0.68731014E+02,   0.27340293E+01,   0.41703745E+01
1987, 8,   0.55047616E+02,   0.48120678E+02,   0.62685803E+02,   0.24316858E+01,   0.37174565E+01
1987, 9,   0.31589497E+03,   0.25221126E+03,   0.39075415E+03,   0.18414978E+02,   0.35391546E+02
1987,10,   0.75997819E+02,   0.65391726E+02,   0.87825501E+02,   0.32783259E+01,   0.57264770E+01
1987,11,   0.46166808E+03,   0.36210700E+03,   0.58015434E+03,   0.27492790E+02,   0.55713836E+02
1987,12,   0.82855515E+03,   0.67665519E+03,   0.10043107E+04,   0.51655310E+02,   0.83679612E+02
1988, 1,   0.81592541E+03,   0.66065367E+03,   0.99666372E+03,   0.51567601E+02,   0.85821467E+02
1988, 2,   0.61050170E+03,   0.52380607E+03,   0.70737882E+03,   0.25681921E+02,   0.46860145E+02
1988, 3,   0.33638941E+03,   0.28425655E+03,   0.39527719E+03,   0.13577469E+02,   0.28343731E+02
1988, 4,   0.34152026E+03,   0.29680601E+03,   0.39103160E+03,   0.14009814E+02,   0.24050252E+02
1988, 5,   0.63815600E+03,   0.53832790E+03,   0.75105643E+03,   0.30596180E+02,   0.54310765E+02
1988, 6,   0.12321201E+03,   0.10719604E+03,   0.14093257E+03,   0.50355584E+01,   0.86108820E+01
1988, 7,   0.10149365E+03,   0.88202498E+02,   0.11621105E+03,   0.40776390E+01,   0.71489384E+01
1988, 8,   0.80568410E+02,   0.69943006E+02,   0.92342949E+02,   0.32060660E+01,   0.57174366E+01
1988, 9,   0.46728050E+02,   0.40938496E+02,   0.53101987E+02,   0.19473249E+01,   0.31044373E+01
1988,10,   0.50184982E+02,   0.43996926E+02,   0.56994347E+02,   0.20965758E+01,   0.33172617E+01
1988,11,   0.88838272E+02,   0.74674562E+02,   0.10489709E+03,   0.35124249E+01,   0.77162335E+01
1988,12,   0.66773648E+02,   0.58220779E+02,   0.76222091E+02,   0.29845721E+01,   0.45945626E+01
1989, 1,   0.73581997E+02,   0.63911321E+02,   0.84294568E+02,   0.35233536E+01,   0.52026672E+01
1989, 2,   0.39661219E+03,   0.32609065E+03,   0.47782417E+03,   0.16323713E+02,   0.38748258E+02
1989, 3,   0.11896279E+04,   0.98179191E+03,   0.14283375E+04,   0.75706668E+02,   0.11403005E+03
1989, 4,   0.60062678E+03,   0.51805837E+03,   0.69254673E+03,   0.23707473E+02,   0.44539268E+02
1989, 5,   0.16911794E+04,   0.13223141E+04,   0.21311160E+04,   0.15753792E+03,   0.20666756E+03
1989, 6,   0.72532065E+03,   0.59513425E+03,   0.87545737E+03,   0.40938321E+02,   0.71587801E+02
1989, 7,   0.55835419E+03,   0.46094620E+03,   0.67020796E+03,   0.30430528E+02,   0.53436994E+02
1989, 8,   0.21953214E+03,   0.17337095E+03,   0.27420772E+03,   0.10831983E+02,   0.25762798E+02
1989, 9,   0.32702756E+03,   0.26610589E+03,   0.39769629E+03,   0.17328339E+02,   0.33608081E+02
1989,10,   0.31608061E+03,   0.25886152E+03,   0.38215518E+03,   0.15577210E+02,   0.31486878E+02
1989,11,   0.50576093E+03,   0.42737763E+03,   0.59430069E+03,   0.23822999E+02,   0.42615702E+02
1989,12,   0.27319113E+03,   0.23902787E+03,   0.31083814E+03,   0.11236013E+02,   0.18328014E+02
1990, 1,   0.11428927E+04,   0.94828410E+03,   0.13655699E+04,   0.70459972E+02,   0.10655241E+03
1990, 2,   0.72184038E+03,   0.61939950E+03,   0.83630323E+03,   0.29125973E+02,   0.55368409E+02
1990, 3,   0.57394552E+03,   0.48661120E+03,   0.67236411E+03,   0.23058752E+02,   0.47421560E+02
1990, 4,   0.90412885E+03,   0.77227790E+03,   0.10519324E+04,   0.41604269E+02,   0.71389378E+02
1990, 5,   0.17478774E+04,   0.12943252E+04,   0.23094229E+04,   0.20467475E+03,   0.25958682E+03
1990, 6,   0.43651665E+03,   0.34846238E+03,   0.54003413E+03,   0.22466087E+02,   0.48938155E+02
1990, 7,   0.69739990E+02,   0.61473282E+02,   0.78801499E+02,   0.26022338E+01,   0.44224178E+01
1990, 8,   0.90901449E+02,   0.78630533E+02,   0.10453427E+03,   0.34555570E+01,   0.66119437E+01
1990, 9,   0.54554430E+02,   0.47889562E+02,   0.61881699E+02,   0.20776909E+01,   0.35711044E+01
1990,10,   0.23738004E+03,   0.17470999E+03,   0.31529677E+03,   0.14627109E+02,   0.35955248E+02
1990,11,   0.25619709E+03,   0.20690759E+03,   0.31367434E+03,   0.11483216E+02,   0.27270464E+02
1990,12,   0.46601708E+03,   0.39006314E+03,   0.55239157E+03,   0.20135905E+02,   0.41446395E+02
1991, 1,   0.11609298E+04,   0.93484765E+03,   0.14251058E+04,   0.84009304E+02,   0.12522643E+03
1991, 2,   0.26841872E+03,   0.23502197E+03,   0.30520208E+03,   0.10583629E+02,   0.17911856E+02
1991, 3,   0.60953332E+03,   0.50240458E+03,   0.73268576E+03,   0.28682360E+02,   0.58805469E+02
