CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.14064402E+03,   0.91840302E+02,   0.20638591E+03,   0.26912441E+02,   0.29363394E+02
1986,   0.50562329E+02,   0.38854911E+02,   0.64693708E+02,   0.59065114E+01,   0.66039696E+01
1987,   0.10979688E+03,   0.78449942E+02,   0.14956170E+03,   0.16523542E+02,   0.18196137E+02
1988,   0.41178281E+02,   0.32638732E+02,   0.51267293E+02,   0.38417180E+01,   0.47591944E+01
1989,   0.72495405E+02,   0.55396145E+02,   0.93215339E+02,   0.85146650E+01,   0.96667375E+01
1990,   0.60596751E+02,   0.44667232E+02,   0.80380995E+02,   0.80263358E+01,   0.91336119E+01
1991,   0.23103248E+02,   0.17727796E+02,   0.29598225E+02,   0.22535019E+01,   0.30339486E+01
1992,   0.20233125E+02,   0.16768058E+02,   0.24201260E+02,   0.14444274E+01,   0.18980641E+01
1993,   0.56968934E+02,   0.38911130E+02,   0.80579591E+02,   0.98789633E+01,   0.10671308E+02
1994,   0.50915630E+02,   0.33420353E+02,   0.74402645E+02,   0.97131154E+01,   0.10504457E+02
1995,   0.28155924E+02,   0.21107849E+02,   0.36809120E+02,   0.33423265E+01,   0.40144479E+01
1996,   0.59097415E+02,   0.42298752E+02,   0.80382102E+02,   0.90967579E+01,   0.97444972E+01
1997,   0.26148319E+02,   0.21254788E+02,   0.31828967E+02,   0.23107564E+01,   0.27006687E+01
1998,   0.47452523E+02,   0.30176391E+02,   0.71132843E+02,   0.99280588E+01,   0.10505529E+02
1999,   0.85900453E+01,   0.68566643E+01,   0.10627948E+02,   0.64409964E+00,   0.96339806E+00
2000,   0.11039800E+02,   0.91478924E+01,   0.13206590E+02,   0.80432703E+00,   0.10363876E+01
2001,   0.96892382E+01,   0.74218772E+01,   0.12432108E+02,   0.96656864E+00,   0.12805905E+01
2002,   0.36481810E+01,   0.29248709E+01,   0.44959560E+01,   0.34384463E+00,   0.40132234E+00
2003,   0.62301571E+02,   0.41395456E+02,   0.90142335E+02,   0.11969770E+02,   0.12491305E+02
2004,   0.26790170E+02,   0.19985855E+02,   0.35172137E+02,   0.36427867E+01,   0.38830719E+01
