CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.50878241E+03,   0.43740224E+03,   0.58843259E+03,   0.33414850E+02,   0.38552492E+02
1986,   0.32491367E+03,   0.28711697E+03,   0.36627021E+03,   0.17835195E+02,   0.20200734E+02
1987,   0.59807833E+03,   0.53565801E+03,   0.66572222E+03,   0.26601806E+02,   0.33190874E+02
1988,   0.35905291E+03,   0.32552838E+03,   0.39506516E+03,   0.13213494E+02,   0.17743732E+02
1989,   0.66415264E+03,   0.61110028E+03,   0.72053709E+03,   0.19537241E+02,   0.27922975E+02
1990,   0.63220307E+03,   0.58153282E+03,   0.68606717E+03,   0.15762604E+02,   0.26672138E+02
1991,   0.34015301E+03,   0.31285356E+03,   0.36917567E+03,   0.76756711E+01,   0.14370701E+02
1992,   0.39608595E+03,   0.36701223E+03,   0.42682910E+03,   0.85740826E+01,   0.15261892E+02
1993,   0.84434014E+03,   0.77550676E+03,   0.91759147E+03,   0.20263904E+02,   0.36253438E+02
1994,   0.90503346E+03,   0.82873568E+03,   0.98640648E+03,   0.22363470E+02,   0.40230872E+02
1995,   0.56111307E+03,   0.51756448E+03,   0.60731440E+03,   0.12560346E+02,   0.22899577E+02
1996,   0.10833936E+04,   0.10040760E+04,   0.11672532E+04,   0.26464855E+02,   0.41633579E+02
1997,   0.63265426E+03,   0.58730838E+03,   0.68053922E+03,   0.14479569E+02,   0.23787069E+02
1998,   0.10023784E+04,   0.90812581E+03,   0.11036781E+04,   0.30404995E+02,   0.49899380E+02
1999,   0.34442606E+03,   0.31678171E+03,   0.37381552E+03,   0.74770625E+01,   0.14552294E+02
2000,   0.44280773E+03,   0.40964222E+03,   0.47791871E+03,   0.10870075E+02,   0.17420430E+02
2001,   0.36041360E+03,   0.32719508E+03,   0.39606307E+03,   0.98504241E+01,   0.17572954E+02
2002,   0.21343515E+03,   0.19397883E+03,   0.23429856E+03,   0.69562219E+01,   0.10288270E+02
2003,   0.13178844E+04,   0.11903560E+04,   0.14552473E+04,   0.54701165E+02,   0.67593837E+02
2004,   0.80870200E+03,   0.72462680E+03,   0.89978334E+03,   0.38634285E+02,   0.44697793E+02
