CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.37327311E+02,   0.30671248E+02,   0.44995691E+02,   0.32487558E+01,   0.36580636E+01
1986,   0.25126777E+02,   0.21433673E+02,   0.29270653E+02,   0.18228642E+01,   0.20006245E+01
1987,   0.39477635E+02,   0.34365896E+02,   0.45131088E+02,   0.23119191E+01,   0.27476857E+01
1988,   0.26598785E+02,   0.23608351E+02,   0.29860562E+02,   0.12869496E+01,   0.15955828E+01
1989,   0.44796438E+02,   0.40387113E+02,   0.49552098E+02,   0.17365884E+01,   0.23387067E+01
1990,   0.41804763E+02,   0.37822726E+02,   0.46088706E+02,   0.13394722E+01,   0.21092580E+01
1991,   0.26426214E+02,   0.24041506E+02,   0.28981524E+02,   0.78478184E+00,   0.12605238E+01
1992,   0.30953966E+02,   0.28311181E+02,   0.33774938E+02,   0.87465306E+00,   0.13941262E+01
1993,   0.54122427E+02,   0.48922743E+02,   0.59719990E+02,   0.15896078E+01,   0.27551840E+01
1994,   0.60229470E+02,   0.54400983E+02,   0.66507446E+02,   0.17845339E+01,   0.30892762E+01
1995,   0.43692828E+02,   0.39720033E+02,   0.47952152E+02,   0.12648027E+01,   0.21005637E+01
1996,   0.78464367E+02,   0.71214410E+02,   0.86246302E+02,   0.25062713E+01,   0.38356729E+01
1997,   0.49524894E+02,   0.45318847E+02,   0.54012931E+02,   0.14229716E+01,   0.22183674E+01
1998,   0.71260833E+02,   0.63505381E+02,   0.79695498E+02,   0.25624344E+01,   0.41316579E+01
1999,   0.35371507E+02,   0.32218206E+02,   0.38747470E+02,   0.99876364E+00,   0.16660344E+01
2000,   0.43239465E+02,   0.39541090E+02,   0.47187679E+02,   0.13224985E+01,   0.19510966E+01
2001,   0.37956666E+02,   0.34216146E+02,   0.41991366E+02,   0.13005670E+01,   0.19840700E+01
2002,   0.30155874E+02,   0.26973984E+02,   0.33607211E+02,   0.12927691E+01,   0.16927357E+01
2003,   0.12682094E+03,   0.11159162E+03,   0.14353550E+03,   0.66810448E+01,   0.81526530E+01
2004,   0.90875971E+02,   0.79005191E+02,   0.10401704E+03,   0.55957152E+01,   0.63840381E+01
