YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.14043699E+03,   0.10232052E+03,   0.18815383E+03,   0.13571485E+02,   0.21955659E+02
1985, 2,   0.30942389E+03,   0.22134224E+03,   0.42107062E+03,   0.29529108E+02,   0.51105599E+02
1985, 3,   0.84828887E+02,   0.63777200E+02,   0.11062406E+03,   0.79601010E+01,   0.11977120E+02
1985, 4,   0.54142689E+02,   0.40880105E+02,   0.70346258E+02,   0.50394259E+01,   0.75329905E+01
1985, 5,   0.54564939E+02,   0.40429293E+02,   0.72059488E+02,   0.49022233E+01,   0.80885876E+01
1985, 6,   0.57531833E+02,   0.42113483E+02,   0.76772304E+02,   0.50841237E+01,   0.88648307E+01
1985, 7,   0.44110709E+02,   0.31100886E+02,   0.60762831E+02,   0.38408190E+01,   0.75917607E+01
1985, 8,   0.54867376E+03,   0.34203116E+03,   0.83562372E+03,   0.56124722E+02,   0.12667078E+03
1985, 9,   0.50722452E+02,   0.36174593E+02,   0.69199935E+02,   0.43326086E+01,   0.84508307E+01
1985,10,   0.15939093E+03,   0.10733796E+03,   0.22809488E+03,   0.13800283E+02,   0.30934899E+02
1985,11,   0.86834465E+03,   0.59354345E+03,   0.12274692E+04,   0.82502374E+02,   0.16234616E+03
1985,12,   0.28582184E+03,   0.19844066E+03,   0.39883077E+03,   0.24008797E+02,   0.51303387E+02
1986, 1,   0.11439374E+03,   0.86632842E+02,   0.14824058E+03,   0.93046166E+01,   0.15749246E+02
1986, 2,   0.19589305E+03,   0.15056898E+03,   0.25059273E+03,   0.15519529E+02,   0.25564337E+02
1986, 3,   0.14188816E+03,   0.10903700E+03,   0.18154042E+03,   0.11050038E+02,   0.18530671E+02
1986, 4,   0.90021512E+02,   0.67539038E+02,   0.11760957E+03,   0.69051333E+01,   0.12801714E+02
1986, 5,   0.79710440E+02,   0.58607396E+02,   0.10596550E+03,   0.59784130E+01,   0.12112095E+02
1986, 6,   0.24914518E+02,   0.19042742E+02,   0.32028391E+02,   0.19493878E+01,   0.33191719E+01
1986, 7,   0.44410592E+02,   0.33401988E+02,   0.57896222E+02,   0.32710479E+01,   0.62622919E+01
