YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1989, 1,   0.69357555E+04,   0.39359079E+04,   0.11360253E+05,   0.94630688E+03,   0.19102580E+04
1989, 2,   0.51496249E+05,   0.21153927E+05,   0.10588867E+06,   0.61477634E+04,   0.22082721E+05
1989, 3,   0.19243376E+06,   0.10073824E+06,   0.33467748E+06,   0.22651333E+05,   0.60349505E+05
1989, 4,   0.81947166E+05,   0.42303385E+05,   0.14397781E+06,   0.94957188E+04,   0.26241929E+05
1989, 5,   0.31892686E+06,   0.16109284E+06,   0.56921226E+06,   0.38683781E+05,   0.10541766E+06
1989, 6,   0.10716281E+06,   0.50322640E+05,   0.20136359E+06,   0.12469904E+05,   0.39125033E+05
1989, 7,   0.21025270E+06,   0.85570845E+05,   0.43495467E+06,   0.26314354E+05,   0.91095022E+05
1989, 8,   0.34642779E+05,   0.15627340E+05,   0.66919339E+05,   0.40934933E+04,   0.13309105E+05
1989, 9,   0.56959176E+05,   0.27046617E+05,   0.10620353E+06,   0.66899702E+04,   0.20495180E+05
1989,10,   0.65401768E+05,   0.28729133E+05,   0.12863141E+06,   0.73671864E+04,   0.25952981E+05
1989,11,   0.81714174E+05,   0.43473135E+05,   0.14044554E+06,   0.88281617E+04,   0.25002217E+05
1989,12,   0.31294730E+05,   0.19306464E+05,   0.48054869E+05,   0.33718445E+04,   0.73796553E+04
1990, 1,   0.21708938E+06,   0.11977408E+06,   0.36319060E+06,   0.21372786E+05,   0.62684834E+05
1990, 2,   0.12370582E+06,   0.68197108E+05,   0.20708404E+06,   0.11894127E+05,   0.35767197E+05
1990, 3,   0.75998514E+05,   0.39042264E+05,   0.13399721E+06,   0.72140152E+04,   0.24511897E+05
1990, 4,   0.16432910E+06,   0.91943660E+05,   0.27204927E+06,   0.15394221E+05,   0.46360588E+05
1990, 5,   0.30375518E+06,   0.11891414E+06,   0.64433355E+06,   0.35390209E+05,   0.13726659E+06
1990, 6,   0.19066310E+06,   0.61090785E+05,   0.45716149E+06,   0.22068684E+05,   0.10471400E+06
1990, 7,   0.44549619E+04,   0.25616903E+04,   0.72240887E+04,   0.45443533E+03,   0.11991469E+04
