YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,7.41E+03,6.74E+03,8.14E+03,2.22E+02,3.57E+02,,,,,,
1985,2,2.06E+04,1.86E+04,2.28E+04,5.80E+02,1.08E+03,,,,,,
1985,3,1.07E+04,9.75E+03,1.17E+04,3.08E+02,5.00E+02,,,,,,
1985,4,8.86E+03,8.05E+03,9.73E+03,2.50E+02,4.27E+02,,,,,,
1985,5,7.45E+03,6.78E+03,8.18E+03,2.06E+02,3.59E+02,,,,,,
1985,6,3.78E+03,3.43E+03,4.15E+03,1.05E+02,1.84E+02,,,,,,
1985,7,1.80E+03,1.63E+03,1.97E+03,5.33E+01,8.67E+01,,,,,,
1985,8,3.00E+03,2.71E+03,3.31E+03,8.17E+01,1.54E+02,,,,,,
1985,9,1.15E+04,9.39E+03,1.40E+04,3.78E+02,1.18E+03,,,,,,
1985,10,1.49E+04,1.33E+04,1.65E+04,4.51E+02,8.03E+02,,,,,,
1985,11,7.78E+03,7.09E+03,8.53E+03,2.06E+02,3.68E+02,,,,,,
1985,12,1.46E+04,1.33E+04,1.59E+04,3.76E+02,6.80E+02,,,,,,
1986,1,2.23E+04,1.97E+04,2.53E+04,5.34E+02,1.44E+03,,,,,,
1986,2,3.81E+04,3.47E+04,4.17E+04,8.83E+02,1.79E+03,,,,,,
1986,3,2.84E+04,2.58E+04,3.12E+04,6.44E+02,1.37E+03,,,,,,
1986,4,1.38E+04,1.27E+04,1.51E+04,3.24E+02,6.11E+02,,,,,,
1986,5,6.22E+03,5.69E+03,6.78E+03,1.48E+02,2.78E+02,,,,,,
1986,6,2.34E+03,2.14E+03,2.56E+03,6.05E+01,1.08E+02,,,,,,
1986,7,1.43E+03,1.30E+03,1.56E+03,3.99E+01,6.85E+01,,,,,,
1986,8,1.84E+03,1.68E+03,2.02E+03,4.54E+01,8.82E+01,,,,,,
1986,9,1.16E+03,1.06E+03,1.28E+03,3.41E+01,5.63E+01,,,,,,
1986,10,1.43E+03,1.30E+03,1.57E+03,4.08E+01,6.98E+01,,,,,,
1986,11,3.90E+03,3.53E+03,4.29E+03,8.95E+01,1.94E+02,,,,,,
1986,12,3.11E+04,2.72E+04,3.53E+04,7.12E+02,2.07E+03,,,,,,
1987,1,4.78E+04,4.34E+04,5.26E+04,1.01E+03,2.34E+03,,,,,,
1987,2,3.31E+04,3.03E+04,3.61E+04,6.54E+02,1.49E+03,,,,,,
1987,3,3.61E+04,3.24E+04,4.01E+04,6.90E+02,1.97E+03,,,,,,
1987,4,1.88E+04,1.72E+04,2.04E+04,3.73E+02,8.01E+02,,,,,,
1987,5,1.44E+04,1.32E+04,1.57E+04,2.92E+02,6.29E+02,,,,,,
1987,6,4.80E+03,4.39E+03,5.23E+03,9.82E+01,2.13E+02,,,,,,
1987,7,2.04E+03,1.86E+03,2.24E+03,4.54E+01,9.56E+01,,,,,,
1987,8,6.95E+02,6.26E+02,7.70E+02,2.50E+01,3.66E+01,,,,,,
1987,9,1.05E+03,9.54E+02,1.16E+03,2.98E+01,5.14E+01,,,,,,
1987,10,1.40E+03,1.28E+03,1.53E+03,3.82E+01,6.52E+01,,,,,,
1987,11,2.00E+03,1.82E+03,2.19E+03,5.03E+01,9.50E+01,,,,,,
1987,12,3.10E+03,2.84E+03,3.38E+03,7.55E+01,1.38E+02,,,,,,
1988,1,8.17E+03,7.36E+03,9.05E+03,1.62E+02,4.32E+02,,,,,,
1988,2,2.68E+04,2.41E+04,2.96E+04,4.65E+02,1.39E+03,,,,,,
1988,3,1.57E+04,1.45E+04,1.71E+04,2.94E+02,6.64E+02,,,,,,
1988,4,1.62E+04,1.48E+04,1.76E+04,2.92E+02,7.07E+02,,,,,,
1988,5,2.06E+04,1.88E+04,2.24E+04,3.76E+02,9.22E+02,,,,,,
1988,6,5.11E+03,4.67E+03,5.57E+03,9.57E+01,2.29E+02,,,,,,
1988,7,2.48E+03,2.26E+03,2.72E+03,4.79E+01,1.17E+02,,,,,,
1988,8,2.29E+03,2.09E+03,2.51E+03,4.47E+01,1.08E+02,,,,,,
1988,9,2.30E+03,2.10E+03,2.51E+03,4.60E+01,1.02E+02,,,,,,
1988,10,2.23E+03,2.04E+03,2.43E+03,4.79E+01,9.98E+01,,,,,,
1988,11,9.62E+03,8.59E+03,1.07E+04,1.88E+02,5.49E+02,,,,,,
1988,12,1.13E+04,1.03E+04,1.22E+04,2.15E+02,4.86E+02,,,,,,
1989,1,1.53E+04,1.41E+04,1.66E+04,2.82E+02,6.53E+02,,,,,,
1989,2,2.15E+04,1.95E+04,2.37E+04,3.61E+02,1.07E+03,,,,,,
1989,3,5.36E+04,4.84E+04,5.92E+04,8.72E+02,2.76E+03,,,,,,
1989,4,4.00E+04,3.65E+04,4.37E+04,6.31E+02,1.82E+03,,,,,,
1989,5,5.91E+04,5.38E+04,6.49E+04,1.04E+03,2.83E+03,,,,,,
1989,6,3.89E+04,3.53E+04,4.28E+04,8.00E+02,1.91E+03,,,,,,
