YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,1.56E+02,1.19E+02,2.01E+02,1.22E+01,2.10E+01,,,,,,
1985,2,6.52E+02,4.72E+02,8.78E+02,4.81E+01,1.04E+02,,,,,,
1985,3,2.68E+02,2.06E+02,3.41E+02,2.02E+01,3.45E+01,,,,,,
1985,4,2.56E+02,1.95E+02,3.30E+02,1.90E+01,3.43E+01,,,,,,
1985,5,2.73E+02,2.06E+02,3.55E+02,1.99E+01,3.82E+01,,,,,,
1985,6,1.38E+02,1.05E+02,1.79E+02,1.01E+01,1.88E+01,,,,,,
1985,7,6.31E+01,4.81E+01,8.14E+01,4.95E+00,8.52E+00,,,,,,
1985,8,1.29E+02,9.46E+01,1.73E+02,9.39E+00,2.01E+01,,,,,,
1985,9,1.18E+03,5.54E+02,2.21E+03,1.10E+02,4.29E+02,,,,,,
1985,10,8.39E+02,5.86E+02,1.16E+03,6.98E+01,1.48E+02,,,,,,
1985,11,2.37E+02,1.81E+02,3.05E+02,1.66E+01,3.15E+01,,,,,,
1985,12,4.53E+02,3.43E+02,5.88E+02,3.11E+01,6.27E+01,,,,,,
1986,1,8.73E+02,5.38E+02,1.34E+03,5.61E+01,2.07E+02,,,,,,
1986,2,1.44E+03,1.09E+03,1.87E+03,8.81E+01,1.98E+02,,,,,,
1986,3,1.06E+03,7.79E+02,1.42E+03,6.33E+01,1.63E+02,,,,,,
1986,4,4.56E+02,3.56E+02,5.76E+02,2.81E+01,5.63E+01,,,,,,
1986,5,2.00E+02,1.56E+02,2.53E+02,1.26E+01,2.48E+01,,,,,,
1986,6,7.38E+01,5.68E+01,9.41E+01,5.05E+00,9.53E+00,,,,,,
1986,7,4.66E+01,3.55E+01,6.02E+01,3.46E+00,6.30E+00,,,,,,
1986,8,6.73E+01,5.09E+01,8.72E+01,4.35E+00,9.26E+00,,,,,,
1986,9,3.40E+01,2.58E+01,4.38E+01,2.63E+00,4.61E+00,,,,,,
1986,10,3.50E+01,2.64E+01,4.53E+01,2.62E+00,4.83E+00,,,,,,
1986,11,9.77E+01,7.25E+01,1.29E+02,5.88E+00,1.44E+01,,,,,,
1986,12,1.62E+03,9.61E+02,2.56E+03,1.06E+02,4.11E+02,,,,,,
1987,1,2.11E+03,1.52E+03,2.86E+03,1.22E+02,3.43E+02,,,,,,
1987,2,1.15E+03,8.84E+02,1.47E+03,6.01E+01,1.50E+02,,,,,,
1987,3,1.60E+03,1.07E+03,2.31E+03,8.36E+01,3.18E+02,,,,,,
1987,4,6.72E+02,5.28E+02,8.42E+02,3.53E+01,8.02E+01,,,,,,
1987,5,6.04E+02,4.70E+02,7.65E+02,3.26E+01,7.54E+01,,,,,,
1987,6,1.81E+02,1.40E+02,2.29E+02,9.83E+00,2.27E+01,,,,,,
1987,7,7.24E+01,5.50E+01,9.36E+01,4.24E+00,9.85E+00,,,,,,
1987,8,1.96E+01,1.46E+01,2.58E+01,1.88E+00,2.88E+00,,,,,,
1987,9,2.92E+01,2.21E+01,3.77E+01,2.19E+00,3.99E+00,,,,,,
1987,10,3.38E+01,2.60E+01,4.32E+01,2.42E+00,4.42E+00,,,,,,
1987,11,4.11E+01,3.13E+01,5.32E+01,2.70E+00,5.60E+00,,,,,,
1987,12,5.49E+01,4.28E+01,6.94E+01,3.52E+00,6.81E+00,,,,,,
1988,1,1.88E+02,1.33E+02,2.58E+02,9.57E+00,3.18E+01,,,,,,
1988,2,9.44E+02,6.47E+02,1.33E+03,4.34E+01,1.75E+02,,,,,,
1988,3,4.33E+02,3.39E+02,5.46E+02,2.12E+01,5.28E+01,,,,,,
1988,4,5.56E+02,4.30E+02,7.08E+02,2.65E+01,7.12E+01,,,,,,
1988,5,1.03E+03,7.87E+02,1.34E+03,5.09E+01,1.40E+02,,,,,,
1988,6,1.95E+02,1.51E+02,2.49E+02,9.76E+00,2.51E+01,,,,,,
1988,7,9.54E+01,7.17E+01,1.24E+02,4.86E+00,1.35E+01,,,,,,
1988,8,8.66E+01,6.55E+01,1.12E+02,4.47E+00,1.20E+01,,,,,,
1988,9,7.76E+01,5.98E+01,9.91E+01,4.10E+00,1.01E+01,,,,,,
1988,10,5.90E+01,4.55E+01,7.51E+01,3.33E+00,7.57E+00,,,,,,
1988,11,3.39E+02,2.28E+02,4.85E+02,1.79E+01,6.58E+01,,,,,,
1988,12,3.04E+02,2.34E+02,3.88E+02,1.54E+01,3.94E+01,,,,,,
1989,1,3.82E+02,2.98E+02,4.82E+02,1.85E+01,4.71E+01,,,,,,
1989,2,6.79E+02,4.86E+02,9.25E+02,2.97E+01,1.12E+02,,,,,,
1989,3,2.83E+03,1.85E+03,4.14E+03,1.37E+02,5.87E+02,,,,,,
1989,4,2.00E+03,1.49E+03,2.63E+03,8.45E+01,2.90E+02,,,,,,
1989,5,4.62E+03,3.37E+03,6.17E+03,2.26E+02,7.14E+02,,,,,,
1989,6,3.42E+03,2.47E+03,4.62E+03,1.95E+02,5.51E+02,,,,,,
1989,7,1.83E+03,1.36E+03,2.41E+03,1.15E+02,2.69E+02,,,,,,
1989,8,9.21E+02,7.12E+02,1.17E+03,5.97E+01,1.18E+02,,,,,,
1989,9,1.21E+03,8.30E+02,1.70E+03,8.29E+01,2.23E+02,,,,,,
1989,10,1.20E+03,9.06E+02,1.57E+03,7.88E+01,1.70E+02,,,,,,
1989,11,8.02E+02,6.21E+02,1.02E+03,4.62E+01,1.02E+02,,,,,,
1989,12,3.62E+02,2.86E+02,4.53E+02,1.84E+01,4.26E+01,,,,,,
1990,1,1.16E+03,8.80E+02,1.50E+03,5.35E+01,1.58E+02,,,,,,
1990,2,5.24E+02,4.11E+02,6.60E+02,2.46E+01,6.35E+01,,,,,,
1990,3,5.73E+02,4.43E+02,7.29E+02,2.64E+01,7.31E+01,,,,,,
1990,4,1.24E+03,9.58E+02,1.58E+03,5.36E+01,1.58E+02,,,,,,
1990,5,2.85E+03,1.80E+03,4.29E+03,1.43E+02,6.38E+02,,,,,,
1990,6,7.16E+02,5.17E+02,9.67E+02,3.57E+01,1.15E+02,,,,,,
1990,7,3.66E+02,2.73E+02,4.80E+02,1.96E+01,5.29E+01,,,,,,
1990,8,2.59E+02,1.87E+02,3.51E+02,1.41E+01,4.20E+01,,,,,,
1990,9,9.25E+01,7.27E+01,1.16E+02,4.79E+00,1.11E+01,,,,,,
1990,10,1.18E+02,8.26E+01,1.64E+02,6.12E+00,2.09E+01,,,,,,
1990,11,6.33E+01,4.97E+01,7.94E+01,3.65E+00,7.59E+00,,,,,,
1990,12,1.43E+02,1.07E+02,1.87E+02,7.44E+00,2.05E+01,,,,,,
1991,1,1.35E+03,9.59E+02,1.84E+03,6.45E+01,2.26E+02,,,,,,
1991,2,3.28E+02,2.57E+02,4.13E+02,1.67E+01,4.00E+01,,,,,,
1991,3,8.65E+02,6.57E+02,1.12E+03,3.92E+01,1.18E+02,,,,,,
1991,4,1.01E+03,7.84E+02,1.29E+03,4.64E+01,1.29E+02,,,,,,
1991,5,4.35E+02,3.39E+02,5.51E+02,2.16E+01,5.42E+01,,,,,,
1991,6,4.47E+02,2.97E+02,6.48E+02,2.29E+01,8.99E+01,,,,,,
1991,7,9.74E+02,5.46E+02,1.61E+03,6.18E+01,2.74E+02,,,,,,
1991,8,2.71E+02,2.08E+02,3.46E+02,1.50E+01,3.53E+01,,,,,,
1991,9,1.03E+02,7.96E+01,1.31E+02,5.41E+00,1.31E+01,,,,,,
1991,10,9.31E+01,7.26E+01,1.18E+02,5.01E+00,1.15E+01,,,,,,
1991,11,6.56E+01,5.15E+01,8.24E+01,3.85E+00,7.91E+00,,,,,,
1991,12,2.74E+02,2.13E+02,3.46E+02,1.46E+01,3.40E+01,,,,,,
1992,1,2.47E+02,1.94E+02,3.10E+02,1.33E+01,2.94E+01,,,,,,
1992,2,2.50E+02,1.89E+02,3.24E+02,1.35E+01,3.45E+01,,,,,,
1992,3,9.69E+02,7.21E+02,1.28E+03,4.54E+01,1.42E+02,,,,,,
1992,4,4.54E+02,3.55E+02,5.71E+02,2.34E+01,5.52E+01,,,,,,
1992,5,6.73E+02,4.84E+02,9.11E+02,3.31E+01,1.09E+02,,,,,,
1992,6,4.65E+02,3.39E+02,6.22E+02,2.44E+01,7.23E+01,,,,,,
1992,7,1.04E+02,8.13E+01,1.30E+02,5.58E+00,1.25E+01,,,,,,
1992,8,4.79E+02,3.02E+02,7.21E+02,3.02E+01,1.07E+02,,,,,,
1992,9,1.94E+02,1.42E+02,2.59E+02,1.09E+01,2.98E+01,,,,,,
1992,10,1.55E+02,1.22E+02,1.95E+02,8.53E+00,1.85E+01,,,,,,
1992,11,2.59E+02,2.03E+02,3.26E+02,1.45E+01,3.14E+01,,,,,,
1992,12,4.96E+02,3.84E+02,6.31E+02,2.70E+01,6.31E+01,,,,,,
1993,1,7.09E+02,5.52E+02,8.96E+02,3.69E+01,8.78E+01,,,,,,
1993,2,6.36E+02,4.85E+02,8.20E+02,3.25E+01,8.57E+01,,,,,,
1993,3,3.82E+03,2.71E+03,5.24E+03,2.07E+02,6.49E+02,,,,,,
1993,4,1.96E+03,1.50E+03,2.52E+03,9.35E+01,2.59E+02,,,,,,
1993,5,5.56E+02,4.37E+02,6.98E+02,2.96E+01,6.66E+01,,,,,,
1993,6,1.71E+02,1.32E+02,2.18E+02,9.31E+00,2.19E+01,,,,,,
1993,7,4.64E+01,3.56E+01,5.94E+01,3.15E+00,6.07E+00,,,,,,
1993,8,3.30E+01,2.51E+01,4.25E+01,2.45E+00,4.47E+00,,,,,,
1993,9,2.77E+01,2.10E+01,3.58E+01,2.13E+00,3.78E+00,,,,,,
1993,10,3.64E+01,2.80E+01,4.65E+01,2.56E+00,4.74E+00,,,,,,
1993,11,5.49E+01,3.97E+01,7.41E+01,3.36E+00,8.80E+00,,,,,,
1993,12,1.60E+02,1.23E+02,2.06E+02,9.13E+00,2.11E+01,,,,,,
1994,1,1.06E+03,7.07E+02,1.53E+03,5.45E+01,2.10E+02,,,,,,
1994,2,2.18E+03,1.47E+03,3.11E+03,1.18E+02,4.18E+02,,,,,,
1994,3,8.74E+03,5.57E+03,1.31E+04,7.30E+02,1.93E+03,,,,,,
1994,4,2.16E+03,1.64E+03,2.79E+03,1.06E+02,2.94E+02,,,,,,
1994,5,6.57E+02,5.14E+02,8.28E+02,3.56E+01,8.03E+01,,,,,,
1994,6,2.74E+02,2.12E+02,3.48E+02,1.51E+01,3.48E+01,,,,,,
1994,7,5.27E+02,3.74E+02,7.21E+02,3.16E+01,8.87E+01,,,,,,
1994,8,1.48E+03,1.03E+03,2.05E+03,1.01E+02,2.63E+02,,,,,,
