YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,1,2.57E+05,1.92E+05,3.35E+05,2.16E+04,3.65E+04,,,,,,
1989,2,1.36E+06,8.63E+05,2.03E+06,1.04E+05,3.00E+05,,,,,,
1989,3,2.98E+06,2.15E+06,4.03E+06,2.26E+05,4.83E+05,,,,,,
1989,4,1.94E+06,1.40E+06,2.61E+06,1.45E+05,3.09E+05,,,,,,
1989,5,3.80E+06,2.66E+06,5.27E+06,3.00E+05,6.68E+05,,,,,,
1989,6,7.25E+05,5.38E+05,9.55E+05,5.52E+04,1.07E+05,,,,,,
1989,7,8.89E+05,5.71E+05,1.32E+06,6.89E+04,1.92E+05,,,,,,
1989,8,1.58E+05,1.19E+05,2.07E+05,1.17E+04,2.25E+04,,,,,,
1989,9,6.67E+05,4.43E+05,9.65E+05,5.10E+04,1.34E+05,,,,,,
1989,10,6.39E+05,4.56E+05,8.72E+05,4.69E+04,1.07E+05,,,,,,
1989,11,5.88E+05,4.51E+05,7.54E+05,4.14E+04,7.74E+04,,,,,,
1989,12,4.37E+05,3.36E+05,5.59E+05,2.98E+04,5.70E+04,,,,,,
1990,1,3.39E+06,2.51E+06,4.47E+06,2.10E+05,5.02E+05,,,,,,
1990,2,1.53E+06,1.15E+06,2.01E+06,9.39E+04,2.21E+05,,,,,,
1990,3,7.80E+05,5.99E+05,9.98E+05,4.93E+04,1.02E+05,,,,,,
1990,4,2.43E+06,1.77E+06,3.26E+06,1.46E+05,3.81E+05,,,,,,
1990,5,1.27E+06,8.05E+05,1.92E+06,7.91E+04,2.86E+05,,,,,,
1990,6,1.15E+06,6.52E+05,1.89E+06,7.61E+04,3.18E+05,,,,,,
1990,7,5.91E+04,4.52E+04,7.60E+04,3.86E+03,7.88E+03,,,,,,
1990,8,1.20E+05,8.39E+04,1.67E+05,7.52E+03,2.13E+04,,,,,,
1990,9,2.36E+04,1.81E+04,3.03E+04,1.81E+03,3.11E+03,,,,,,
1990,10,1.94E+05,1.19E+05,3.00E+05,1.17E+04,4.64E+04,,,,,,
1990,11,1.15E+05,8.40E+04,1.54E+05,6.82E+03,1.80E+04,,,,,,
1990,12,3.37E+05,2.48E+05,4.49E+05,1.90E+04,5.14E+04,,,,,,
1991,1,2.49E+06,1.74E+06,3.46E+06,1.26E+05,4.38E+05,,,,,,
1991,2,4.75E+05,3.49E+05,6.31E+05,2.57E+04,7.23E+04,,,,,,
1991,3,1.81E+06,1.18E+06,2.66E+06,8.95E+04,3.78E+05,,,,,,
1991,4,1.90E+06,1.19E+06,2.88E+06,1.00E+05,4.35E+05,,,,,,
1991,5,1.78E+05,1.37E+05,2.29E+05,9.95E+03,2.36E+04,,,,,,
1991,6,6.74E+04,4.64E+04,9.47E+04,3.76E+03,1.24E+04,,,,,,
1991,7,4.05E+05,2.13E+05,7.01E+05,2.50E+04,1.26E+05,,,,,,
1991,8,2.91E+05,1.71E+05,4.65E+05,1.78E+04,7.57E+04,,,,,,
