YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1,4.21E+05,3.36E+05,5.22E+05,2.71E+04,4.76E+04,,,,,,
1985,2,7.48E+05,6.00E+05,9.22E+05,4.69E+04,8.23E+04,,,,,,
1985,3,3.34E+05,2.76E+05,4.01E+05,2.08E+04,3.20E+04,,,,,,
1985,4,1.97E+05,1.63E+05,2.35E+05,1.22E+04,1.82E+04,,,,,,
1985,5,3.86E+05,3.09E+05,4.75E+05,2.31E+04,4.22E+04,,,,,,
1985,6,1.35E+05,1.11E+05,1.62E+05,8.15E+03,1.29E+04,,,,,,
1985,7,1.14E+05,9.19E+04,1.40E+05,6.82E+03,1.24E+04,,,,,,
1985,8,8.17E+05,5.94E+05,1.10E+06,5.06E+04,1.29E+05,,,,,,
1985,9,9.48E+04,7.81E+04,1.14E+05,5.55E+03,9.20E+03,,,,,,
1985,10,1.10E+05,8.92E+04,1.35E+05,6.30E+03,1.16E+04,,,,,,
1985,11,4.88E+06,3.35E+06,6.89E+06,3.87E+05,9.08E+05,,,,,,
1985,12,7.08E+05,5.52E+05,8.96E+05,3.93E+04,8.79E+04,,,,,,
1986,1,1.69E+05,1.42E+05,2.00E+05,9.40E+03,1.48E+04,,,,,,
1986,2,4.02E+05,3.35E+05,4.78E+05,2.12E+04,3.64E+04,,,,,,
1986,3,6.11E+05,4.81E+05,7.65E+05,3.10E+04,7.24E+04,,,,,,
1986,4,1.77E+05,1.49E+05,2.09E+05,9.29E+03,1.53E+04,,,,,,
1986,5,2.13E+05,1.74E+05,2.58E+05,1.08E+04,2.14E+04,,,,,,
1986,6,7.92E+04,6.60E+04,9.43E+04,4.24E+03,7.24E+03,,,,,,
1986,7,5.92E+04,4.96E+04,7.03E+04,3.26E+03,5.28E+03,,,,,,
1986,8,8.45E+04,6.92E+04,1.02E+05,4.25E+03,8.38E+03,,,,,,
1986,9,8.17E+04,6.79E+04,9.76E+04,4.08E+03,7.60E+03,,,,,,
1986,10,4.41E+04,3.69E+04,5.24E+04,2.52E+03,3.95E+03,,,,,,
1986,11,1.12E+05,9.37E+04,1.33E+05,5.41E+03,9.98E+03,,,,,,
1986,12,6.69E+05,5.29E+05,8.34E+05,3.05E+04,7.78E+04,,,,,,
1987,1,3.99E+05,3.28E+05,4.79E+05,1.78E+04,3.86E+04,,,,,,
1987,2,5.23E+05,4.40E+05,6.17E+05,2.28E+04,4.51E+04,,,,,,
1987,3,1.07E+06,8.42E+05,1.35E+06,4.65E+04,1.30E+05,,,,,,
1987,4,3.67E+06,2.84E+06,4.67E+06,1.99E+05,4.67E+05,,,,,,
1987,5,5.40E+05,4.55E+05,6.38E+05,2.27E+04,4.67E+04,,,,,,
1987,6,1.82E+05,1.53E+05,2.14E+05,7.82E+03,1.56E+04,,,,,,
1987,7,9.40E+04,7.95E+04,1.10E+05,4.15E+03,7.90E+03,,,,,,
1987,8,4.13E+04,3.48E+04,4.86E+04,2.18E+03,3.52E+03,,,,,,
1987,9,1.35E+06,9.05E+05,1.93E+06,6.81E+04,2.62E+05,,,,,,
1987,10,8.89E+04,7.57E+04,1.04E+05,3.79E+03,7.13E+03,,,,,,
1987,11,2.36E+05,1.73E+05,3.13E+05,9.24E+03,3.59E+04,,,,,,
1987,12,4.03E+05,3.37E+05,4.77E+05,1.60E+04,3.59E+04,,,,,,
1988,1,4.35E+05,3.59E+05,5.22E+05,1.63E+04,4.17E+04,,,,,,
1988,2,2.51E+05,2.13E+05,2.93E+05,9.66E+03,2.05E+04,,,,,,
1988,3,1.62E+05,1.35E+05,1.92E+05,6.30E+03,1.44E+04,,,,,,
1988,4,1.99E+05,1.70E+05,2.31E+05,7.52E+03,1.55E+04,,,,,,
1988,5,4.44E+05,3.74E+05,5.23E+05,1.60E+04,3.82E+04,,,,,,
1988,6,1.08E+05,9.15E+04,1.26E+05,4.16E+03,8.78E+03,,,,,,
1988,7,7.69E+04,6.39E+04,9.17E+04,3.00E+03,7.11E+03,,,,,,
1988,8,4.98E+04,4.16E+04,5.92E+04,2.15E+03,4.51E+03,,,,,,
1988,9,6.58E+04,5.55E+04,7.75E+04,2.57E+03,5.63E+03,,,,,,
1988,10,4.35E+04,3.69E+04,5.09E+04,2.01E+03,3.57E+03,,,,,,
1988,11,1.25E+05,1.05E+05,1.48E+05,4.49E+03,1.08E+04,,,,,,
1988,12,9.09E+04,7.71E+04,1.07E+05,3.49E+03,7.54E+03,,,,,,
1989,1,1.84E+05,1.54E+05,2.18E+05,6.39E+03,1.65E+04,,,,,,
